#
# Transition date estimate for NEON.D02.BLAN.DP1.00033
#
# Site: NEON.D02.BLAN.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:08:40
# Spline RMSE gcc_mean: 0.00425
# Spline RMSE gcc_50: 0.00441
# Spline RMSE gcc_75: 0.00419
# Spline RMSE gcc_90: 0.00445
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_90,2017-03-31,2017-04-04,2017-04-11,2017-03-30,2017-04-03,2017-04-09,2017-04-02,2017-04-06,2017-04-12,0.33449,0.35084,0.3833,0.32624,0.4326
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_90,2018-04-12,2018-04-20,2018-04-28,2018-04-11,2018-04-19,2018-04-26,2018-04-15,2018-04-22,2018-04-30,0.33284,0.35027,0.38347,0.32411,0.44025
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_75,2017-03-31,2017-04-04,2017-04-11,2017-03-30,2017-04-03,2017-04-09,2017-04-02,2017-04-06,2017-04-12,0.33381,0.34915,0.38138,0.32554,0.42908
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_75,2018-04-12,2018-04-20,2018-04-27,2018-04-11,2018-04-19,2018-04-25,2018-04-14,2018-04-22,2018-04-29,0.33219,0.34875,0.37962,0.32322,0.43573
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_50,2017-03-31,2017-04-04,2017-04-11,2017-03-26,2017-04-03,2017-04-09,2017-04-02,2017-04-06,2017-04-12,0.33271,0.34782,0.37931,0.32364,0.42425
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_50,2018-04-13,2018-04-20,2018-04-29,2018-04-11,2018-04-19,2018-04-26,2018-04-15,2018-04-22,2018-04-30,0.3337,0.34752,0.37887,0.32305,0.43183
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_mean,2017-03-31,2017-04-04,2017-04-11,2017-03-29,2017-04-03,2017-04-09,2017-04-02,2017-04-06,2017-04-12,0.33265,0.34809,0.37924,0.32395,0.42447
NEON.D02.BLAN.DP1.00033,DB,1000,rising,gcc_mean,2018-04-13,2018-04-20,2018-04-29,2018-04-11,2018-04-19,2018-04-26,2018-04-15,2018-04-22,2018-04-30,0.33387,0.34776,0.37978,0.32295,0.43232
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_90,2018-11-13,2018-10-31,2018-10-15,2018-11-19,2018-11-01,2018-10-17,2018-11-10,2018-10-28,2018-10-14,0.33478,0.34877,0.37759,0.32477,0.42544
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_90,2017-11-11,2017-11-03,2017-10-14,2017-11-12,2017-11-06,2017-10-16,2017-11-09,2017-10-29,2017-10-13,0.33169,0.34948,0.37709,0.32403,0.42764
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_75,2018-11-14,2018-10-31,2018-10-16,2018-11-19,2018-11-02,2018-10-18,2018-11-11,2018-10-29,2018-10-15,0.33302,0.34755,0.37331,0.32388,0.42199
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_75,2017-11-11,2017-11-03,2017-10-14,2017-11-12,2017-11-06,2017-10-16,2017-11-09,2017-10-30,2017-10-13,0.33093,0.348,0.37551,0.32314,0.42397
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_50,2018-11-14,2018-10-31,2018-10-16,2018-11-21,2018-11-02,2018-10-18,2018-11-11,2018-10-29,2018-10-14,0.33182,0.34606,0.37085,0.32245,0.41878
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_50,2017-11-11,2017-11-05,2017-10-15,2017-11-13,2017-11-07,2017-10-17,2017-11-09,2017-11-01,2017-10-14,0.32995,0.34486,0.37056,0.32034,0.41904
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_mean,2018-11-15,2018-11-01,2018-10-16,2018-11-21,2018-11-02,2018-10-18,2018-11-11,2018-10-29,2018-10-15,0.33099,0.34366,0.37099,0.32198,0.41765
NEON.D02.BLAN.DP1.00033,DB,1000,falling,gcc_mean,2017-11-11,2017-11-06,2017-10-15,2017-11-13,2017-11-08,2017-10-17,2017-11-09,2017-11-01,2017-10-14,0.32993,0.3438,0.37014,0.32021,0.41838
