#
# Transition date estimate for NEON.D02.SERC.DP1.00033
#
# Site: NEON.D02.SERC.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:09:28
# Spline RMSE gcc_mean: 0.00346
# Spline RMSE gcc_50: 0.00356
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00368
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2016-03-25,2016-03-30,2016-04-13,2016-03-24,2016-03-29,2016-04-09,2016-03-29,2016-04-01,2016-04-17,0.33045,0.34266,0.37434,0.32198,0.42498
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2017-03-31,2017-04-14,2017-04-16,2017-03-20,2017-03-20,2017-03-20,2017-04-19,2017-04-19,2017-04-19,0.33293,0.34972,0.40048,0.32094,0.44152
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2018-04-12,2018-04-15,2018-04-25,2018-04-11,2018-04-14,2018-04-23,2018-04-14,2018-04-16,2018-04-26,0.3271,0.34537,0.3791,0.32102,0.42186
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2016-03-26,2016-03-30,2016-04-16,2016-03-24,2016-03-29,2016-04-11,2016-03-29,2016-04-01,2016-04-17,0.33177,0.34149,0.37368,0.32166,0.4241
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2017-03-31,2017-04-14,2017-04-16,2017-03-20,2017-03-20,2017-03-20,2017-04-19,2017-04-19,2017-04-19,0.3321,0.34823,0.40026,0.32048,0.43968
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2018-04-12,2018-04-15,2018-04-25,2018-04-11,2018-04-14,2018-04-23,2018-04-14,2018-04-17,2018-04-26,0.32682,0.34357,0.37637,0.32038,0.41898
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2016-03-26,2016-03-30,2016-04-13,2016-03-24,2016-03-29,2016-04-11,2016-03-29,2016-04-01,2016-04-17,0.33094,0.33933,0.37038,0.32116,0.41929
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2017-03-31,2017-04-14,2017-04-16,2017-03-20,2017-03-20,2017-03-20,2017-04-19,2017-04-19,2017-04-19,0.33086,0.34694,0.403,0.31987,0.43699
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_50,2018-04-12,2018-04-15,2018-04-25,2018-04-11,2018-04-14,2018-04-24,2018-04-14,2018-04-17,2018-04-26,0.32629,0.3425,0.37268,0.31984,0.42008
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_mean,2016-03-25,2016-03-30,2016-04-15,2016-03-24,2016-03-29,2016-04-11,2016-03-29,2016-04-01,2016-04-17,0.32925,0.33968,0.3707,0.32114,0.41968
