#
# Transition date estimate for NEON.D05.TREE.DP1.00033
#
# Site: NEON.D05.TREE.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:11:38
# Spline RMSE gcc_mean: 0.00403
# Spline RMSE gcc_50: 0.00426
# Spline RMSE gcc_75: 0.00414
# Spline RMSE gcc_90: 0.00417
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_90,2017-05-10,2017-05-12,2017-05-16,2017-05-09,2017-05-11,2017-05-15,2017-05-12,2017-05-14,2017-05-17,0.35252,0.36215,0.39788,0.34454,0.44402
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_90,2018-05-09,2018-05-12,2018-05-16,2018-05-08,2018-05-11,2018-05-15,2018-05-11,2018-05-13,2018-05-17,0.35097,0.36474,0.39699,0.34441,0.43874
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_75,2017-05-10,2017-05-12,2017-05-16,2017-05-09,2017-05-11,2017-05-15,2017-05-12,2017-05-14,2017-05-17,0.35198,0.3609,0.39314,0.34399,0.43841
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_75,2018-05-09,2018-05-12,2018-05-16,2018-05-08,2018-05-11,2018-05-15,2018-05-11,2018-05-14,2018-05-17,0.35003,0.36301,0.39348,0.34379,0.43456
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_50,2017-05-10,2017-05-12,2017-05-16,2017-05-08,2017-05-11,2017-05-15,2017-05-12,2017-05-14,2017-05-17,0.35081,0.35926,0.39057,0.3434,0.43248
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_50,2018-05-09,2018-05-12,2018-05-16,2018-05-08,2018-05-11,2018-05-15,2018-05-11,2018-05-14,2018-05-17,0.34851,0.36013,0.39001,0.34301,0.43095
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_mean,2017-05-10,2017-05-12,2017-05-16,2017-05-09,2017-05-11,2017-05-15,2017-05-12,2017-05-14,2017-05-17,0.35063,0.359,0.39066,0.34333,0.4321
NEON.D05.TREE.DP1.00033,DB,1000,rising,gcc_mean,2018-05-09,2018-05-12,2018-05-16,2018-05-08,2018-05-11,2018-05-15,2018-05-11,2018-05-14,2018-05-17,0.34822,0.36027,0.38885,0.34297,0.42919
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_90,2018-10-01,2018-09-28,2018-09-23,2018-10-02,2018-09-29,2018-09-24,2018-09-29,2018-09-26,2018-09-22,0.35398,0.36842,0.39195,0.3483,0.43091
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_90,2017-10-05,2017-10-03,2017-09-10,2017-10-06,2017-10-04,2017-09-12,2017-10-03,2017-10-01,2017-09-09,0.33861,0.3545,0.39032,0.33556,0.43848
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_75,2018-10-01,2018-09-28,2018-09-23,2018-10-02,2018-09-29,2018-09-24,2018-09-30,2018-09-27,2018-09-22,0.35293,0.36735,0.39072,0.34714,0.42824
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_75,2017-10-05,2017-10-03,2017-09-10,2017-10-06,2017-10-04,2017-09-12,2017-10-03,2017-10-01,2017-09-09,0.33703,0.35312,0.38861,0.33397,0.43506
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_50,2018-10-01,2018-09-28,2018-09-23,2018-10-02,2018-09-29,2018-09-25,2018-09-29,2018-09-26,2018-09-22,0.35118,0.36451,0.38848,0.34572,0.42308
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_50,2017-10-05,2017-10-03,2017-09-11,2017-10-06,2017-10-04,2017-09-12,2017-10-03,2017-10-01,2017-09-10,0.3351,0.3508,0.38276,0.33218,0.43061
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_mean,2018-10-01,2018-09-28,2018-09-23,2018-10-02,2018-09-29,2018-09-25,2018-09-30,2018-09-27,2018-09-22,0.35102,0.3647,0.38821,0.34553,0.42254
NEON.D05.TREE.DP1.00033,DB,1000,falling,gcc_mean,2017-10-05,2017-10-03,2017-09-11,2017-10-06,2017-10-04,2017-09-12,2017-10-03,2017-10-01,2017-09-10,0.33527,0.35095,0.38226,0.33226,0.42972
