#
# Transition date estimate for NEON.D05.TREE.DP1.00042
#
# Site: NEON.D05.TREE.DP1.00042
# Veg Type: UN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:11:39
# Spline RMSE gcc_mean: 0.00316
# Spline RMSE gcc_50: 0.00326
# Spline RMSE gcc_75: 0.00359
# Spline RMSE gcc_90: 0.00424
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_90,2017-05-12,2017-05-16,2017-05-25,2017-05-11,2017-05-15,2017-05-23,2017-05-14,2017-05-18,2017-05-26,0.34877,0.36425,0.3989,0.3386,0.45174
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_90,2018-05-14,2018-05-16,2018-05-21,2018-05-13,2018-05-15,2018-05-20,2018-05-16,2018-05-18,2018-05-22,0.34569,0.35919,0.39481,0.33932,0.44334
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_75,2017-05-12,2017-05-16,2017-05-25,2017-05-11,2017-05-15,2017-05-23,2017-05-14,2017-05-18,2017-05-26,0.34699,0.36144,0.39566,0.33792,0.44236
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_75,2018-05-15,2018-05-17,2018-05-21,2018-05-14,2018-05-16,2018-05-20,2018-05-16,2018-05-19,2018-05-22,0.34643,0.35864,0.38831,0.33871,0.43754
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_50,2017-05-12,2017-05-16,2017-05-25,2017-05-11,2017-05-15,2017-05-23,2017-05-14,2017-05-18,2017-05-26,0.345,0.35869,0.39059,0.33654,0.43456
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_50,2018-05-15,2018-05-18,2018-05-22,2018-05-14,2018-05-17,2018-05-20,2018-05-17,2018-05-19,2018-05-23,0.34285,0.3609,0.39174,0.33763,0.43189
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_mean,2017-05-12,2017-05-16,2017-05-24,2017-05-11,2017-05-15,2017-05-23,2017-05-14,2017-05-17,2017-05-25,0.3453,0.35912,0.38538,0.33644,0.4332
NEON.D05.TREE.DP1.00042,UN,1000,rising,gcc_mean,2018-05-15,2018-05-17,2018-05-22,2018-05-14,2018-05-16,2018-05-20,2018-05-16,2018-05-19,2018-05-23,0.34385,0.35508,0.39027,0.33736,0.4299
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_90,2018-10-10,2018-10-05,2018-09-25,2018-10-11,2018-10-06,2018-09-27,2018-10-08,2018-10-03,2018-09-24,0.33652,0.35552,0.38805,0.32752,0.4415
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_90,2017-10-07,2017-10-02,2017-09-20,2017-10-08,2017-10-03,2017-09-22,2017-10-06,2017-09-29,2017-09-19,0.33695,0.35515,0.38773,0.32505,0.44894
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_75,2018-10-10,2018-10-06,2018-09-26,2018-10-11,2018-10-07,2018-09-27,2018-10-08,2018-10-04,2018-09-25,0.33594,0.35073,0.38212,0.32569,0.43683
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_75,2017-10-07,2017-10-02,2017-09-20,2017-10-08,2017-10-03,2017-09-22,2017-10-06,2017-09-29,2017-09-19,0.33499,0.35209,0.38427,0.324,0.44154
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_50,2018-10-11,2018-10-06,2018-09-26,2018-10-12,2018-10-07,2018-09-28,2018-10-09,2018-10-05,2018-09-25,0.33223,0.34976,0.37873,0.32354,0.43089
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_50,2017-10-08,2017-10-01,2017-09-20,2017-10-09,2017-10-03,2017-09-22,2017-10-06,2017-09-29,2017-09-19,0.33054,0.35025,0.3798,0.32227,0.43523
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_mean,2018-10-11,2018-10-07,2018-09-26,2018-10-12,2018-10-08,2018-09-28,2018-10-09,2018-10-05,2018-09-25,0.33207,0.34573,0.37789,0.32316,0.42745
NEON.D05.TREE.DP1.00042,UN,1000,falling,gcc_mean,2017-10-08,2017-10-03,2017-09-21,2017-10-09,2017-10-04,2017-09-23,2017-10-06,2017-09-30,2017-09-20,0.33053,0.34721,0.37707,0.32189,0.43005
