#
# Transition date estimate for NEON.D07.ORNL.DP1.00033
#
# Site: NEON.D07.ORNL.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:13:18
# Spline RMSE gcc_mean: 0.00359
# Spline RMSE gcc_50: 0.00481
# Spline RMSE gcc_75: 0.00449
# Spline RMSE gcc_90: 0.00421
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_90,2017-03-30,2017-04-05,2017-04-11,2017-03-25,2017-04-04,2017-04-10,2017-04-02,2017-04-07,2017-04-12,0.33687,0.35176,0.37878,0.3267,0.43013
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_90,2018-04-07,2018-04-12,2018-04-18,2018-04-05,2018-04-11,2018-04-16,2018-04-09,2018-04-14,2018-04-19,0.34056,0.35436,0.38105,0.33261,0.42455
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_75,2017-03-30,2017-04-05,2017-04-11,2017-03-23,2017-04-04,2017-04-10,2017-04-02,2017-04-07,2017-04-12,0.33532,0.34952,0.37585,0.32561,0.42385
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_75,2018-04-07,2018-04-12,2018-04-18,2018-04-05,2018-04-11,2018-04-16,2018-04-10,2018-04-14,2018-04-19,0.33865,0.35137,0.37712,0.33172,0.41992
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_50,2017-03-30,2017-04-05,2017-04-12,2017-03-23,2017-04-04,2017-04-10,2017-04-03,2017-04-07,2017-04-13,0.33327,0.34623,0.3768,0.32443,0.41808
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_50,2018-04-08,2018-04-12,2018-04-18,2018-04-05,2018-04-11,2018-04-16,2018-04-11,2018-04-14,2018-04-19,0.33847,0.34825,0.37277,0.33042,0.41501
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_mean,2017-03-28,2017-04-06,2017-04-12,2017-03-23,2017-04-04,2017-04-10,2017-04-02,2017-04-08,2017-04-13,0.33296,0.34774,0.37586,0.32457,0.418
NEON.D07.ORNL.DP1.00033,DB,1000,rising,gcc_mean,2018-04-09,2018-04-13,2018-04-19,2018-04-07,2018-04-12,2018-04-17,2018-04-12,2018-04-15,2018-04-20,0.33862,0.35049,0.37686,0.33156,0.41547
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_90,2018-10-29,2018-10-25,2018-10-19,2018-10-30,2018-10-26,2018-10-21,2018-10-27,2018-10-23,2018-10-18,0.34197,0.3541,0.37834,0.33488,0.41963
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_90,2017-10-30,2017-10-25,2017-10-16,2017-11-01,2017-10-26,2017-10-19,2017-10-28,2017-10-23,2017-10-15,0.34263,0.35424,0.37947,0.33404,0.41996
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_75,2018-10-29,2018-10-25,2018-10-19,2018-10-30,2018-10-26,2018-10-21,2018-10-26,2018-10-23,2018-10-17,0.33977,0.35135,0.37554,0.33397,0.41655
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_75,2017-10-30,2017-10-25,2017-10-16,2017-11-01,2017-10-26,2017-10-19,2017-10-27,2017-10-23,2017-10-15,0.34039,0.35165,0.37669,0.33309,0.41625
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_50,2018-11-01,2018-10-26,2018-10-16,2018-11-06,2018-10-28,2018-10-19,2018-10-28,2018-10-23,2018-10-14,0.34093,0.35155,0.37433,0.33354,0.41214
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_50,2017-10-29,2017-10-24,2017-10-16,2017-10-31,2017-10-26,2017-10-19,2017-10-27,2017-10-22,2017-10-15,0.33944,0.35126,0.37374,0.33165,0.41094
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_mean,2018-10-28,2018-10-24,2018-10-18,2018-10-29,2018-10-26,2018-10-20,2018-10-26,2018-10-23,2018-10-17,0.33907,0.35187,0.37262,0.33224,0.41078
NEON.D07.ORNL.DP1.00033,DB,1000,falling,gcc_mean,2017-10-26,2017-10-22,2017-10-14,2017-10-28,2017-10-23,2017-10-17,2017-10-24,2017-10-20,2017-10-12,0.34694,0.35711,0.37671,0.34066,0.4104
