#
# Transition date estimate for NEON.D07.WALK.DP1.20002
#
# Site: NEON.D07.WALK.DP1.20002
# Veg Type: WL
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:13:54
# Spline RMSE gcc_mean: 0.00214
# Spline RMSE gcc_50: 0.00223
# Spline RMSE gcc_75: 0.00227
# Spline RMSE gcc_90: 0.00251
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_90,2017-02-25,2017-03-22,2017-04-08,2017-02-23,2017-03-19,2017-04-05,2017-02-28,2017-03-26,2017-04-09,0.31962,0.33016,0.34928,0.31288,0.38398
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_90,2018-03-13,2018-03-25,2018-04-11,2018-03-11,2018-03-23,2018-04-09,2018-03-16,2018-03-27,2018-04-12,0.32337,0.33418,0.35203,0.31695,0.38591
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_75,2017-02-23,2017-03-20,2017-04-08,2017-02-21,2017-03-18,2017-04-05,2017-02-27,2017-03-24,2017-04-09,0.31697,0.32789,0.34625,0.31066,0.3807
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_75,2018-03-13,2018-03-24,2018-04-12,2018-03-11,2018-03-22,2018-04-10,2018-03-16,2018-03-26,2018-04-13,0.32227,0.33251,0.35071,0.31589,0.38339
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_50,2017-02-24,2017-03-19,2017-04-09,2017-02-22,2017-03-17,2017-04-06,2017-02-27,2017-03-23,2017-04-10,0.31567,0.3255,0.34443,0.30915,0.37743
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_50,2018-03-11,2018-03-22,2018-04-11,2018-03-07,2018-03-20,2018-04-09,2018-03-14,2018-03-25,2018-04-12,0.3201,0.32984,0.34698,0.31392,0.37939
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_mean,2017-02-24,2017-03-19,2017-04-08,2017-02-22,2017-03-17,2017-04-02,2017-02-27,2017-03-22,2017-04-09,0.31554,0.32526,0.34362,0.30892,0.3763
NEON.D07.WALK.DP1.20002,WL,1000,rising,gcc_mean,2018-03-12,2018-03-22,2018-04-11,2018-03-08,2018-03-21,2018-04-09,2018-03-15,2018-03-25,2018-04-12,0.32039,0.32954,0.34714,0.314,0.37906
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_90,2018-11-14,2018-11-02,2018-10-05,2018-11-18,2018-11-03,2018-10-09,2018-11-08,2018-10-31,2018-10-01,0.32085,0.32932,0.3457,0.31504,0.37567
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_90,2017-11-05,2017-10-31,2017-09-22,2017-11-06,2017-11-01,2017-09-25,2017-11-04,2017-10-27,2017-09-20,0.31917,0.32806,0.34558,0.31273,0.37728
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_90,2016-11-03,2016-10-23,2016-09-25,2016-11-04,2016-10-25,2016-09-28,2016-11-01,2016-10-21,2016-09-23,0.31582,0.32636,0.34362,0.30987,0.37643
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_75,2018-11-15,2018-11-03,2018-10-06,2018-11-18,2018-11-04,2018-10-10,2018-11-09,2018-11-01,2018-10-03,0.31941,0.32707,0.34268,0.31404,0.37062
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_75,2017-11-06,2017-11-01,2017-09-24,2017-11-07,2017-11-02,2017-09-27,2017-11-04,2017-10-30,2017-09-23,0.31619,0.32541,0.34214,0.31079,0.37211
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_75,2016-10-31,2016-10-22,2016-09-26,2016-11-02,2016-10-24,2016-10-07,2016-10-29,2016-10-20,2016-09-24,0.31625,0.32531,0.34086,0.31022,0.37125
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_50,2018-11-16,2018-11-04,2018-10-07,2018-11-18,2018-11-05,2018-10-18,2018-11-11,2018-11-02,2018-10-03,0.3175,0.32467,0.33878,0.31257,0.36491
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_50,2017-11-07,2017-11-02,2017-09-25,2017-11-08,2017-11-03,2017-09-28,2017-11-05,2017-10-31,2017-09-23,0.3136,0.32282,0.339,0.30934,0.36769
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_50,2016-10-31,2016-10-24,2016-10-08,2016-11-02,2016-10-26,2016-10-12,2016-10-29,2016-10-22,2016-09-30,0.31239,0.32099,0.33634,0.30643,0.3661
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_mean,2018-11-16,2018-11-03,2018-10-16,2018-11-18,2018-11-04,2018-10-19,2018-11-10,2018-11-01,2018-10-06,0.31733,0.32511,0.33804,0.31234,0.36357
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_mean,2017-11-06,2017-11-02,2017-09-25,2017-11-07,2017-11-03,2017-09-28,2017-11-05,2017-10-30,2017-09-23,0.31496,0.32254,0.33868,0.30939,0.36694
NEON.D07.WALK.DP1.20002,WL,1000,falling,gcc_mean,2016-10-31,2016-10-24,2016-10-05,2016-11-01,2016-10-25,2016-10-08,2016-10-29,2016-10-21,2016-09-27,0.31294,0.32094,0.33678,0.30778,0.36548
