#
# Transition date estimate for NEON.D08.LENO.DP1.00033
#
# Site: NEON.D08.LENO.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:14:17
# Spline RMSE gcc_mean: 0.00267
# Spline RMSE gcc_50: 0.00275
# Spline RMSE gcc_75: 0.00399
# Spline RMSE gcc_90: 0.00452
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_90,2017-03-18,2017-03-22,2017-03-27,2017-03-16,2017-03-21,2017-03-25,2017-03-21,2017-03-24,2017-03-28,0.34778,0.35644,0.37906,0.34203,0.41037
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_90,2018-03-21,2018-03-28,2018-04-04,2018-03-18,2018-03-27,2018-04-02,2018-03-24,2018-03-30,2018-04-05,0.348,0.35886,0.38218,0.34078,0.416
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_75,2017-03-18,2017-03-22,2017-03-27,2017-03-16,2017-03-21,2017-03-25,2017-03-21,2017-03-24,2017-03-28,0.34663,0.3549,0.37651,0.34115,0.40707
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_75,2018-03-21,2018-03-28,2018-04-04,2018-03-19,2018-03-27,2018-04-02,2018-03-24,2018-03-30,2018-04-05,0.34685,0.35745,0.37975,0.3402,0.41248
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_50,2017-03-21,2017-03-25,2017-03-28,2017-03-17,2017-03-20,2017-03-23,2017-03-26,2017-03-27,2017-03-29,0.34445,0.35585,0.3772,0.34031,0.40335
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_50,2018-03-23,2018-03-30,2018-04-04,2018-03-16,2018-03-26,2018-04-03,2018-03-25,2018-04-01,2018-04-05,0.34622,0.357,0.37728,0.33929,0.41064
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_mean,2017-03-21,2017-03-25,2017-03-28,2017-03-17,2017-03-20,2017-03-23,2017-03-26,2017-03-27,2017-03-29,0.34538,0.35559,0.3773,0.34024,0.4022
NEON.D08.LENO.DP1.00033,DB,1000,rising,gcc_mean,2018-03-22,2018-03-30,2018-04-04,2018-03-16,2018-03-25,2018-04-03,2018-03-25,2018-04-01,2018-04-05,0.34415,0.35683,0.37736,0.33925,0.40992
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_90,2018-11-20,2018-11-16,2018-10-24,2018-11-21,2018-11-17,2018-10-30,2018-11-18,2018-11-14,2018-10-20,0.3493,0.35764,0.37477,0.34464,0.40426
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_90,2017-11-19,2017-11-11,2017-10-27,2017-11-21,2017-11-13,2017-11-01,2017-11-16,2017-11-09,2017-10-21,0.351,0.36012,0.37454,0.34624,0.40212
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_90,2016-11-19,2016-11-14,2016-10-24,2016-12-07,2016-12-07,2016-11-17,2016-11-03,2016-11-03,2016-10-21,0.34991,0.35768,0.37474,0.34438,0.40334
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_75,2018-11-20,2018-11-16,2018-10-25,2018-11-21,2018-11-17,2018-10-31,2018-11-18,2018-11-14,2018-10-22,0.34832,0.35666,0.37256,0.3428,0.40178
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_75,2017-11-19,2017-11-11,2017-10-28,2017-11-21,2017-11-13,2017-11-01,2017-11-16,2017-11-09,2017-10-22,0.34991,0.35877,0.37251,0.34542,0.39902
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_75,2016-11-20,2016-11-14,2016-10-25,2016-12-07,2016-12-07,2016-11-18,2016-11-03,2016-11-03,2016-10-22,0.34756,0.35659,0.37188,0.34196,0.40068
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_50,2018-11-20,2018-11-16,2018-11-06,2018-11-21,2018-11-17,2018-11-07,2018-11-17,2018-11-14,2018-10-25,0.34455,0.35404,0.36938,0.34068,0.39783
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_50,2017-11-16,2017-11-09,2017-10-23,2017-11-19,2017-11-10,2017-10-24,2017-11-10,2017-11-07,2017-10-22,0.35289,0.35845,0.37386,0.34834,0.39752
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_50,2016-11-19,2016-11-15,2016-10-25,2016-12-07,2016-12-07,2016-11-19,2016-11-03,2016-11-03,2016-10-20,0.34645,0.35306,0.36914,0.34112,0.39458
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_mean,2018-11-19,2018-11-16,2018-11-06,2018-11-21,2018-11-17,2018-11-07,2018-11-17,2018-11-14,2018-10-25,0.3463,0.35386,0.36939,0.34088,0.39728
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_mean,2017-11-17,2017-11-09,2017-10-23,2017-11-19,2017-11-10,2017-10-24,2017-11-10,2017-11-07,2017-10-22,0.35263,0.35858,0.3732,0.34783,0.39705
NEON.D08.LENO.DP1.00033,DB,1000,falling,gcc_mean,2016-11-19,2016-11-15,2016-11-03,2016-12-07,2016-12-07,2016-11-19,2016-11-03,2016-11-03,2016-10-20,0.34616,0.35311,0.36808,0.34169,0.39404
