#
# Transition date estimate for NEON.D08.TALL.DP1.00033
#
# Site: NEON.D08.TALL.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:14:15
# Spline RMSE gcc_mean: 0.00487
# Spline RMSE gcc_50: 0.00469
# Spline RMSE gcc_75: 0.00421
# Spline RMSE gcc_90: 0.00436
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_90,2017-04-08,2017-05-10,2017-05-20,2017-03-18,2017-04-09,2017-05-15,2017-04-10,2017-05-11,2017-05-30,0.40068,0.40583,0.41222,0.39993,0.42396
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_90,2018-05-14,2018-05-18,2018-07-03,2018-05-05,2018-05-15,2018-06-11,2018-05-15,2018-05-22,2018-07-11,0.40295,0.40588,0.41169,0.40119,0.42156
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_75,2017-04-08,2017-04-10,2017-05-21,2017-03-18,2017-04-08,2017-05-15,2017-04-10,2017-04-12,2017-05-29,0.40012,0.40395,0.4098,0.39833,0.42107
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_75,2018-05-14,2018-05-18,2018-07-04,2018-05-04,2018-05-15,2018-06-10,2018-05-15,2018-05-23,2018-07-13,0.40101,0.40382,0.40921,0.3995,0.41889
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_50,2017-04-08,2017-04-09,2017-05-21,2017-03-18,2017-04-07,2017-05-15,2017-04-10,2017-04-12,2017-05-29,0.39858,0.40047,0.4073,0.39644,0.41804
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_50,2018-05-14,2018-05-18,2018-06-16,2018-05-05,2018-05-15,2018-06-10,2018-05-15,2018-05-23,2018-07-13,0.39806,0.40089,0.40636,0.39673,0.41598
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_mean,2017-04-08,2017-05-13,2017-05-24,2017-03-18,2017-04-08,2017-05-19,2017-04-11,2017-05-14,2017-06-17,0.39785,0.40186,0.40704,0.39691,0.41677
NEON.D08.TALL.DP1.00033,EN,1000,rising,gcc_mean,2018-05-14,2018-05-18,2018-06-16,2018-05-07,2018-05-14,2018-06-09,2018-05-15,2018-05-23,2018-07-11,0.39764,0.39964,0.40429,0.39606,0.41227
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_90,2018-11-12,2018-10-30,2018-10-22,2018-11-14,2018-11-10,2018-10-25,2018-11-08,2018-10-26,2018-10-20,0.399,0.40303,0.41019,0.39713,0.42124
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_90,2017-11-12,2017-10-27,2017-10-15,2017-11-16,2017-11-10,2017-10-20,2017-11-09,2017-10-22,2017-10-14,0.40086,0.40513,0.41289,0.39881,0.42467
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_75,2018-11-12,2018-11-01,2018-10-23,2018-11-14,2018-11-10,2018-10-26,2018-11-08,2018-10-26,2018-10-21,0.39721,0.40114,0.40728,0.39545,0.41884
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_75,2017-11-12,2017-11-08,2017-10-16,2017-11-17,2017-11-10,2017-10-22,2017-11-09,2017-10-24,2017-10-14,0.39893,0.40286,0.40946,0.39696,0.42104
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_50,2018-11-10,2018-11-01,2018-10-23,2018-11-14,2018-11-09,2018-10-26,2018-11-06,2018-10-27,2018-10-21,0.39539,0.39893,0.40494,0.39351,0.41537
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_50,2017-11-12,2017-11-07,2017-10-16,2017-11-19,2017-11-10,2017-10-22,2017-11-08,2017-10-25,2017-10-14,0.39729,0.40057,0.40681,0.3952,0.41746
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_mean,2018-11-06,2018-11-01,2018-10-25,2018-11-14,2018-11-04,2018-10-28,2018-11-02,2018-10-29,2018-10-22,0.39353,0.39705,0.4031,0.39128,0.41444
NEON.D08.TALL.DP1.00033,EN,1000,falling,gcc_mean,2017-11-15,2017-11-05,2017-10-18,2017-11-20,2017-11-13,2017-10-24,2017-11-09,2017-10-28,2017-10-07,0.39569,0.39932,0.4054,0.39357,0.41678
