#
# 3-day summary product time series for NEON.D09.PRPO.DP1.20002
#
# Site: NEON.D09.PRPO.DP1.20002
# Veg Type: WL
# ROI ID Number: 1000
# Lat: 47.12999
# Lon: -99.250551
# Elev: 587
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2019-01-09
# Creation Time: 10:44:31
# Update Date: 2019-01-14
# Update Time: 05:37:48
# Final Processing Date:: 2019-01-14
# Final Processing Time:: 17:15:16
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2017-12-21,2017,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335,0.33492,0.33555,0.33677,0.31803,0.31313,0.33227,0.33812,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-22,2017,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335,0.33492,0.33555,0.33677,0.31803,0.31313,0.33227,0.33812,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-23,2017,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3349,0.33487,0.33568,0.33686,0.31535,0.31194,0.32908,0.33472,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-24,2017,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3348,0.33483,0.3358,0.33695,0.3129,0.31085,0.32618,0.3316,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-25,2017,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33472,0.33479,0.33592,0.33704,0.3107,0.3099,0.32359,0.32879,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-26,2017,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33465,0.33476,0.33604,0.33713,0.30874,0.30906,0.3213,0.32628,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-27,2017,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33458,0.33473,0.33615,0.33722,0.30699,0.30832,0.31926,0.32402,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-28,2017,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33453,0.3347,0.33626,0.33731,0.30542,0.30767,0.31745,0.32199,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-29,2017,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33448,0.33468,0.33636,0.33741,0.30406,0.30712,0.31591,0.32025,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-30,2017,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33444,0.33467,0.33646,0.3375,0.30293,0.30668,0.31467,0.3188,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-12-31,2017,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33441,0.33466,0.33656,0.33759,0.302,0.30634,0.31368,0.31762,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-01,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33439,0.33466,0.33665,0.33767,0.30123,0.30607,0.31288,0.31663,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-02,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33438,0.33466,0.33674,0.33776,0.30059,0.30586,0.31221,0.3158,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-03,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33437,0.33466,0.33683,0.33785,0.30025,0.30581,0.31192,0.31532,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-04,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33437,0.33466,0.33692,0.33795,0.30034,0.30599,0.31216,0.31532,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-05,2018,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33438,0.33467,0.337,0.33806,0.30071,0.3063,0.31272,0.31564,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-06,2018,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3344,0.33468,0.33708,0.33816,0.3012,0.30668,0.31341,0.3161,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-07,2018,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33443,0.3347,0.33715,0.33825,0.30168,0.30702,0.31404,0.31655,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-08,2018,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33446,0.33473,0.33722,0.33833,0.30199,0.30725,0.31439,0.31683,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-09,2018,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33453,0.33477,0.33728,0.3384,0.30226,0.3074,0.31454,0.31709,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-10,2018,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33461,0.33484,0.33733,0.33845,0.30263,0.30754,0.31467,0.31748,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-11,2018,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33469,0.3349,0.33738,0.33851,0.30293,0.30768,0.3148,0.31781,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-12,2018,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33475,0.33495,0.33743,0.33856,0.30314,0.30779,0.31494,0.31806,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-13,2018,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33482,0.33502,0.33748,0.3386,0.30334,0.30789,0.31506,0.31834,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-14,2018,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33491,0.3351,0.33752,0.33863,0.30354,0.30797,0.31518,0.31864,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-15,2018,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33499,0.33518,0.33755,0.33866,0.30374,0.30805,0.31529,0.31895,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-16,2018,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33507,0.33526,0.33759,0.33869,0.30394,0.30814,0.31541,0.31924,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-17,2018,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33514,0.33532,0.33764,0.33873,0.30415,0.30824,0.31554,0.31951,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-18,2018,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3352,0.33538,0.33769,0.33878,0.30436,0.30835,0.31567,0.31976,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-19,2018,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33527,0.33544,0.33774,0.33883,0.30457,0.30846,0.3158,0.32002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-20,2018,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33533,0.33551,0.33779,0.33888,0.30478,0.30857,0.31593,0.32027,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-21,2018,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3354,0.33557,0.33784,0.33893,0.30499,0.30868,0.31606,0.32052,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-22,2018,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33546,0.33563,0.33789,0.33897,0.3052,0.3088,0.3162,0.32077,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-23,2018,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33553,0.33569,0.33794,0.33902,0.30541,0.30891,0.31633,0.32102,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-24,2018,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33559,0.33575,0.33799,0.33907,0.30562,0.30902,0.31646,0.32127,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-25,2018,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33566,0.33581,0.33804,0.33912,0.30582,0.30913,0.31659,0.32152,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-26,2018,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33572,0.33587,0.33809,0.33917,0.30603,0.30924,0.31672,0.32178,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-01-27,2018,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33579,0.33593,0.33814,0.33922,0.30624,0.30935,0.31685,0.32203,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
