#
# Transition date estimate for NEON.D10.STER.DP1.00033
#
# Site: NEON.D10.STER.DP1.00033
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:16:23
# Spline RMSE gcc_mean: 0.00085
# Spline RMSE gcc_50: 0.00128
# Spline RMSE gcc_75: 0.00133
# Spline RMSE gcc_90: 0.00162
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_90,2017-05-22,2017-06-20,2017-07-13,2017-05-21,2017-06-19,2017-07-11,2017-05-23,2017-06-23,2017-07-14,0.3468,0.35365,0.36671,0.34261,0.38936
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_90,2018-04-17,2018-04-25,2018-05-02,2018-04-16,2018-04-24,2018-04-30,2018-04-19,2018-04-26,2018-05-03,0.35371,0.3653,0.38763,0.34687,0.42318
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_90,2018-07-20,2018-07-24,2018-07-30,2018-07-14,2018-07-23,2018-07-29,2018-07-22,2018-07-26,2018-07-31,0.35601,0.36132,0.37335,0.35182,0.39414
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_75,2017-05-30,2017-06-22,2017-07-14,2017-05-22,2017-06-21,2017-07-12,2017-05-31,2017-06-24,2017-07-15,0.34668,0.35309,0.36554,0.34218,0.38806
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_75,2018-04-06,2018-04-22,2018-05-01,2018-04-05,2018-04-21,2018-04-30,2018-04-08,2018-04-24,2018-05-02,0.34856,0.36078,0.38242,0.3413,0.42092
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_75,2018-07-19,2018-07-24,2018-07-31,2018-07-15,2018-07-23,2018-07-29,2018-07-22,2018-07-26,2018-08-01,0.35469,0.35927,0.37301,0.35077,0.39211
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_50,2017-06-13,2017-07-05,2017-07-15,2017-05-30,2017-06-22,2017-07-13,2017-06-14,2017-07-06,2017-07-16,0.34572,0.35213,0.36413,0.34144,0.38542
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_50,2018-04-06,2018-04-22,2018-05-01,2018-04-05,2018-04-21,2018-04-30,2018-04-08,2018-04-24,2018-05-02,0.34759,0.35965,0.38098,0.34071,0.41864
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_50,2018-07-20,2018-07-25,2018-07-31,2018-07-16,2018-07-24,2018-07-29,2018-07-22,2018-07-26,2018-08-01,0.35408,0.35971,0.37158,0.35016,0.39
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_mean,2017-06-14,2017-07-05,2017-07-15,2017-05-30,2017-07-04,2017-07-13,2017-06-15,2017-07-06,2017-07-16,0.34596,0.35288,0.36447,0.342,0.38612
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_mean,2018-04-16,2018-04-23,2018-05-01,2018-04-15,2018-04-22,2018-04-29,2018-04-17,2018-04-24,2018-05-02,0.34788,0.35975,0.38175,0.34121,0.41664
NEON.D10.STER.DP1.00033,AG,1000,rising,gcc_mean,2018-07-20,2018-07-24,2018-07-30,2018-07-14,2018-07-23,2018-07-28,2018-07-22,2018-07-26,2018-07-31,0.35367,0.35825,0.37041,0.35015,0.38911
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_90,2018-09-15,2018-09-06,2018-09-01,2018-09-17,2018-09-07,2018-09-02,2018-09-11,2018-09-04,2018-08-31,0.3453,0.35189,0.37008,0.3403,0.39396
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_90,2018-06-05,2018-06-04,2018-06-01,2018-06-06,2018-06-05,2018-06-02,2018-06-04,2018-06-02,2018-05-31,0.35783,0.36398,0.39014,0.35192,0.42506
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_90,2017-09-16,2017-09-13,2017-09-06,2017-09-17,2017-09-14,2017-09-08,2017-09-15,2017-09-11,2017-09-05,0.34449,0.3515,0.36611,0.34103,0.38972
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_75,2018-09-14,2018-09-05,2018-09-01,2018-09-16,2018-09-06,2018-09-02,2018-09-12,2018-09-04,2018-08-31,0.34496,0.35204,0.36861,0.33972,0.39214
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_75,2018-06-06,2018-06-04,2018-06-01,2018-06-07,2018-06-05,2018-06-02,2018-06-04,2018-06-03,2018-05-31,0.35291,0.36314,0.38742,0.34963,0.42147
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_75,2017-09-15,2017-09-12,2017-09-06,2017-09-16,2017-09-13,2017-09-07,2017-09-14,2017-09-11,2017-09-05,0.34505,0.35229,0.36424,0.34151,0.3868
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_50,2018-09-15,2018-09-05,2018-09-01,2018-09-17,2018-09-06,2018-09-02,2018-09-12,2018-09-04,2018-08-31,0.34403,0.35047,0.36621,0.33907,0.38944
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_50,2018-06-06,2018-06-04,2018-05-31,2018-06-07,2018-06-05,2018-06-02,2018-06-05,2018-06-03,2018-05-30,0.35166,0.36083,0.39015,0.3473,0.41934
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_50,2017-09-15,2017-09-12,2017-09-05,2017-09-16,2017-09-13,2017-09-07,2017-09-13,2017-09-11,2017-09-04,0.34377,0.35074,0.3632,0.3406,0.38466
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_mean,2018-09-14,2018-09-05,2018-08-31,2018-09-17,2018-09-06,2018-09-02,2018-09-12,2018-09-03,2018-08-30,0.3443,0.35116,0.37204,0.33925,0.3898
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_mean,2018-06-05,2018-06-03,2018-05-31,2018-06-06,2018-06-04,2018-06-01,2018-06-04,2018-06-02,2018-05-30,0.35644,0.36486,0.39025,0.35154,0.41777
NEON.D10.STER.DP1.00033,AG,1000,falling,gcc_mean,2017-09-15,2017-09-13,2017-09-08,2017-09-16,2017-09-14,2017-09-09,2017-09-14,2017-09-12,2017-09-07,0.34289,0.3492,0.36082,0.34032,0.38113
