#
# Transition date estimate for NEON.D11.OAES.DP1.00033
#
# Site: NEON.D11.OAES.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:16:32
# Spline RMSE gcc_mean: 0.00188
# Spline RMSE gcc_50: 0.00189
# Spline RMSE gcc_75: 0.00194
# Spline RMSE gcc_90: 0.00285
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_90,2017-03-24,2017-04-08,2017-04-19,2017-03-18,2017-04-07,2017-04-17,2017-04-01,2017-04-11,2017-04-21,0.34359,0.35363,0.37445,0.33651,0.41079
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_90,2018-03-31,2018-04-22,2018-05-02,2018-03-20,2018-04-20,2018-04-30,2018-04-16,2018-04-25,2018-05-04,0.34122,0.34793,0.36238,0.33626,0.38724
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_75,2017-03-23,2017-04-09,2017-04-18,2017-03-17,2017-04-07,2017-04-16,2017-03-31,2017-04-11,2017-04-19,0.34241,0.35276,0.37164,0.33544,0.40667
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_75,2018-04-02,2018-04-23,2018-05-03,2018-03-22,2018-04-21,2018-04-30,2018-04-15,2018-04-26,2018-05-04,0.34049,0.34754,0.36277,0.33544,0.3865
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_50,2017-03-20,2017-04-09,2017-04-18,2017-03-16,2017-04-07,2017-04-16,2017-03-31,2017-04-11,2017-04-19,0.34065,0.35085,0.36942,0.33398,0.40275
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_50,2018-03-29,2018-04-23,2018-05-02,2018-03-20,2018-04-20,2018-04-30,2018-04-12,2018-04-25,2018-05-04,0.33882,0.34628,0.35901,0.33396,0.38381
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_mean,2017-03-23,2017-04-09,2017-04-18,2017-03-17,2017-04-07,2017-04-16,2017-04-02,2017-04-11,2017-04-19,0.34077,0.35098,0.36888,0.33388,0.40291
NEON.D11.OAES.DP1.00033,GR,1000,rising,gcc_mean,2018-03-30,2018-04-23,2018-05-02,2018-03-20,2018-04-20,2018-04-30,2018-04-10,2018-04-25,2018-05-03,0.33861,0.34597,0.35904,0.33372,0.38351
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_90,2018-10-27,2018-10-21,2018-10-13,2018-10-31,2018-10-22,2018-10-16,2018-10-23,2018-10-19,2018-10-12,0.34185,0.34893,0.36534,0.33704,0.38933
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_90,2017-10-25,2017-10-17,2017-10-07,2017-10-27,2017-10-19,2017-10-08,2017-10-21,2017-10-14,2017-10-05,0.34637,0.3544,0.36864,0.34214,0.39423
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_75,2018-10-28,2018-10-20,2018-10-12,2018-10-31,2018-10-22,2018-10-14,2018-10-24,2018-10-18,2018-10-11,0.34101,0.34916,0.36306,0.33647,0.3876
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_75,2017-10-24,2017-10-15,2017-10-05,2017-10-26,2017-10-17,2017-10-06,2017-10-20,2017-10-12,2017-10-04,0.34729,0.35513,0.37009,0.34255,0.39557
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_50,2018-10-28,2018-10-20,2018-10-12,2018-11-01,2018-10-22,2018-10-14,2018-10-24,2018-10-18,2018-10-10,0.33988,0.34764,0.3606,0.33534,0.38544
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_50,2017-10-24,2017-10-15,2017-10-06,2017-10-26,2017-10-17,2017-10-07,2017-10-21,2017-10-13,2017-10-04,0.34589,0.35413,0.36752,0.34127,0.39326
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_mean,2018-10-27,2018-10-20,2018-10-12,2018-10-31,2018-10-21,2018-10-14,2018-10-23,2018-10-18,2018-10-11,0.3398,0.34697,0.36182,0.33491,0.3854
NEON.D11.OAES.DP1.00033,GR,1000,falling,gcc_mean,2017-10-24,2017-10-16,2017-10-07,2017-10-26,2017-10-18,2017-10-08,2017-10-21,2017-10-14,2017-10-06,0.3456,0.35254,0.36563,0.34092,0.38925
