#
# Transition date estimate for NEON.D16.ABBY.DP1.00033
#
# Site: NEON.D16.ABBY.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:17:39
# Spline RMSE gcc_mean: 0.00363
# Spline RMSE gcc_50: 0.00467
# Spline RMSE gcc_75: 0.00443
# Spline RMSE gcc_90: 0.00401
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_90,2018-05-06,2018-05-10,2018-05-18,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.3908,0.39495,0.40499,0.38766,0.42174
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_75,2018-05-04,2018-05-09,2018-05-17,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38902,0.39306,0.40251,0.38608,0.41888
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_50,2018-04-26,2018-05-08,2018-05-15,2018-04-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38622,0.39099,0.39949,0.38307,0.41476
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_mean,2018-04-03,2018-05-03,2018-05-13,2018-03-29,2018-05-02,2018-05-02,2018-05-19,2018-06-10,2018-06-10,0.38289,0.38765,0.3975,0.37979,0.41335
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2018-10-12,2018-10-08,2018-09-10,2018-10-15,2018-10-10,2018-09-30,2018-10-11,2018-10-03,2018-08-10,0.39107,0.39522,0.40365,0.38862,0.41857
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2017-10-22,2017-10-05,2017-08-25,2017-11-28,2017-10-10,2017-09-02,2017-10-07,2017-10-01,2017-07-25,0.39303,0.39781,0.40667,0.38971,0.4234
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2018-10-13,2018-10-08,2018-09-03,2018-10-16,2018-10-10,2018-09-19,2018-10-12,2018-10-04,2018-08-16,0.38771,0.39247,0.40087,0.3854,0.41626
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2017-10-18,2017-10-03,2017-08-24,2017-10-23,2017-10-08,2017-09-02,2017-10-05,2017-09-30,2017-08-18,0.38945,0.39425,0.40301,0.38624,0.41909
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2018-10-12,2018-10-06,2018-08-30,2018-11-13,2018-10-09,2018-09-13,2018-10-11,2018-09-22,2018-08-17,0.38524,0.38948,0.39735,0.38268,0.41196
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2017-10-13,2017-09-29,2017-08-19,2017-10-19,2017-10-05,2017-09-01,2017-10-12,2017-09-21,2017-07-23,0.38613,0.3912,0.39931,0.38312,0.41544
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2018-10-12,2018-10-08,2018-09-01,2018-11-12,2018-10-11,2018-09-18,2018-10-11,2018-09-19,2018-08-10,0.38488,0.38857,0.3967,0.38217,0.41098
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2017-10-12,2017-10-02,2017-08-21,2017-10-24,2017-10-08,2017-09-06,2017-10-11,2017-09-26,2017-07-23,0.38608,0.39045,0.39861,0.38303,0.41381
