#
# Transition date estimate for NEON.D19.HEAL.DP1.00042
#
# Site: NEON.D19.HEAL.DP1.00042
# Veg Type: TN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:18:45
# Spline RMSE gcc_mean: 0.00226
# Spline RMSE gcc_50: 0.00243
# Spline RMSE gcc_75: 0.00233
# Spline RMSE gcc_90: 0.00238
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_90,2016-05-19,2016-05-26,2016-06-04,2016-05-18,2016-05-24,2016-06-02,2016-05-22,2016-05-28,2016-06-05,0.35342,0.36318,0.37898,0.34853,0.40852
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_90,2017-05-27,2017-05-31,2017-06-07,2017-05-26,2017-05-30,2017-06-06,2017-05-29,2017-06-02,2017-06-08,0.34682,0.35585,0.37379,0.34104,0.40577
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_90,2018-05-29,2018-06-02,2018-06-12,2018-05-28,2018-06-01,2018-06-10,2018-05-31,2018-06-04,2018-06-13,0.34696,0.35605,0.37477,0.34176,0.40704
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_75,2016-05-20,2016-05-26,2016-06-05,2016-05-18,2016-05-25,2016-06-02,2016-05-22,2016-05-28,2016-06-06,0.35287,0.36115,0.37854,0.34706,0.40675
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_75,2017-05-27,2017-05-31,2017-06-08,2017-05-26,2017-05-30,2017-06-06,2017-05-29,2017-06-02,2017-06-09,0.34574,0.3545,0.37461,0.34045,0.40408
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_75,2018-05-30,2018-06-03,2018-06-13,2018-05-29,2018-06-02,2018-06-11,2018-06-01,2018-06-05,2018-06-14,0.34738,0.35619,0.37503,0.34149,0.40556
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_50,2016-05-22,2016-05-28,2016-06-06,2016-05-20,2016-05-26,2016-06-04,2016-05-24,2016-05-30,2016-06-07,0.35223,0.3608,0.37666,0.34657,0.40472
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_50,2017-05-28,2017-06-01,2017-06-08,2017-05-26,2017-05-31,2017-06-06,2017-05-29,2017-06-03,2017-06-09,0.34592,0.35439,0.37203,0.33978,0.40148
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_50,2018-05-30,2018-06-04,2018-06-13,2018-05-29,2018-06-03,2018-06-11,2018-06-01,2018-06-06,2018-06-14,0.34595,0.35614,0.37297,0.34098,0.40262
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_mean,2016-05-20,2016-05-26,2016-06-05,2016-05-18,2016-05-25,2016-06-03,2016-05-22,2016-05-28,2016-06-06,0.35014,0.35801,0.37515,0.34481,0.40269
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_mean,2017-05-27,2017-06-01,2017-06-08,2017-05-26,2017-05-31,2017-06-06,2017-05-29,2017-06-02,2017-06-09,0.34404,0.35446,0.37166,0.3395,0.39965
NEON.D19.HEAL.DP1.00042,TN,1000,rising,gcc_mean,2018-05-30,2018-06-03,2018-06-13,2018-05-29,2018-06-02,2018-06-11,2018-06-01,2018-06-06,2018-06-14,0.34566,0.35408,0.37253,0.34078,0.40132
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_90,2018-09-08,2018-09-05,2018-08-30,2018-09-09,2018-09-06,2018-08-31,2018-09-07,2018-09-04,2018-08-29,0.34357,0.35294,0.37245,0.33668,0.40681
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_90,2017-09-06,2017-09-02,2017-08-25,2017-09-07,2017-09-03,2017-08-27,2017-09-05,2017-08-31,2017-08-24,0.3399,0.35033,0.37062,0.33358,0.4055
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_90,2016-09-08,2016-09-02,2016-08-24,2016-09-09,2016-09-03,2016-08-26,2016-09-06,2016-08-31,2016-08-23,0.34141,0.35245,0.37176,0.33489,0.40792
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_75,2018-09-08,2018-09-05,2018-08-30,2018-09-09,2018-09-06,2018-09-01,2018-09-07,2018-09-04,2018-08-29,0.34186,0.35139,0.37116,0.3348,0.40563
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_75,2017-09-04,2017-08-31,2017-08-24,2017-09-05,2017-09-01,2017-08-26,2017-09-03,2017-08-30,2017-08-23,0.34243,0.35271,0.37163,0.33576,0.40398
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_75,2016-09-08,2016-09-02,2016-08-24,2016-09-09,2016-09-03,2016-08-26,2016-09-06,2016-08-31,2016-08-23,0.34019,0.35113,0.37056,0.33388,0.40643
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_50,2018-09-08,2018-09-05,2018-08-30,2018-09-09,2018-09-06,2018-08-31,2018-09-07,2018-09-04,2018-08-29,0.33885,0.34832,0.36816,0.33188,0.40291
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_50,2017-09-04,2017-08-31,2017-08-24,2017-09-05,2017-09-01,2017-08-26,2017-09-03,2017-08-30,2017-08-23,0.34046,0.35068,0.36976,0.33396,0.40178
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_50,2016-09-07,2016-09-02,2016-08-24,2016-09-09,2016-09-03,2016-08-26,2016-09-05,2016-08-31,2016-08-23,0.34005,0.3494,0.36924,0.33332,0.40426
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_mean,2018-09-08,2018-09-05,2018-08-30,2018-09-09,2018-09-06,2018-09-01,2018-09-07,2018-09-04,2018-08-29,0.33866,0.34802,0.36761,0.3318,0.40133
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_mean,2017-09-06,2017-09-02,2017-08-26,2017-09-07,2017-09-03,2017-08-27,2017-09-04,2017-08-31,2017-08-25,0.33544,0.34551,0.36462,0.32951,0.39964
NEON.D19.HEAL.DP1.00042,TN,1000,falling,gcc_mean,2016-09-07,2016-09-02,2016-08-24,2016-09-08,2016-09-03,2016-08-26,2016-09-05,2016-08-31,2016-08-23,0.33957,0.34916,0.36833,0.333,0.40234
