#
# Transition date estimate for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2011
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:41:00
# Spline RMSE gcc_mean: 0.00233
# Spline RMSE gcc_50: 0.00256
# Spline RMSE gcc_75: 0.00202
# Spline RMSE gcc_90: 0.00218
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ahwahnee,GR,1000,rising,gcc_90,2009-03-07,2009-03-28,2009-04-13,2009-03-04,2009-03-15,2009-03-15,2009-03-12,2009-05-23,2009-05-23,0.33845,0.34747,0.36475,0.33272,0.39502
ahwahnee,GR,1000,rising,gcc_90,2010-03-02,2010-03-20,2010-04-08,2010-02-22,2010-03-18,2010-04-05,2010-03-09,2010-03-23,2010-04-11,0.33896,0.34729,0.36239,0.33349,0.39098
ahwahnee,GR,1000,rising,gcc_90,2011-03-30,2011-04-05,2011-04-14,2011-03-29,2011-04-04,2011-04-12,2011-04-02,2011-04-07,2011-04-15,0.33771,0.34784,0.36525,0.33224,0.39713
ahwahnee,GR,1000,rising,gcc_75,2009-03-07,2009-03-27,2009-04-12,2009-03-04,2009-03-15,2009-03-15,2009-03-11,2009-05-23,2009-05-23,0.33692,0.34563,0.36137,0.33117,0.39105
ahwahnee,GR,1000,rising,gcc_75,2010-03-02,2010-03-20,2010-04-08,2010-02-22,2010-03-18,2010-04-05,2010-03-08,2010-03-23,2010-04-11,0.3378,0.34616,0.36051,0.33235,0.38848
ahwahnee,GR,1000,rising,gcc_75,2011-04-01,2011-04-06,2011-04-15,2011-03-31,2011-04-05,2011-04-13,2011-04-03,2011-04-08,2011-04-16,0.33856,0.34716,0.36492,0.33308,0.39388
ahwahnee,GR,1000,rising,gcc_50,2009-03-07,2009-03-28,2009-04-13,2009-03-05,2009-03-15,2009-03-15,2009-03-11,2009-05-23,2009-05-23,0.33481,0.34372,0.35894,0.32976,0.38668
ahwahnee,GR,1000,rising,gcc_50,2010-03-02,2010-03-18,2010-04-06,2010-02-22,2010-03-15,2010-04-02,2010-03-07,2010-03-22,2010-04-09,0.33563,0.34314,0.3575,0.33034,0.38369
ahwahnee,GR,1000,rising,gcc_50,2011-04-02,2011-04-07,2011-04-15,2011-04-01,2011-04-06,2011-04-13,2011-04-04,2011-04-09,2011-04-16,0.33639,0.34415,0.36054,0.33121,0.38882
ahwahnee,GR,1000,rising,gcc_mean,2009-03-08,2009-04-03,2009-04-15,2009-03-04,2009-03-15,2009-03-15,2009-04-13,2009-05-23,2009-05-23,0.33445,0.34335,0.35802,0.32908,0.38641
