#
# Transition date estimate for alligatorriver
#
# Site: alligatorriver
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:42:48
# Spline RMSE gcc_mean: 0.00381
# Spline RMSE gcc_50: 0.00432
# Spline RMSE gcc_75: 0.00361
# Spline RMSE gcc_90: 0.0033
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
alligatorriver,DB,1000,rising,gcc_90,2013-04-05,2013-04-09,2013-04-16,2013-04-04,2013-04-08,2013-04-14,2013-04-07,2013-04-11,2013-04-17,0.34077,0.35384,0.38503,0.33103,0.43389
alligatorriver,DB,1000,rising,gcc_90,2014-04-02,2014-04-08,2014-04-16,2014-04-01,2014-04-07,2014-04-14,2014-04-04,2014-04-10,2014-04-17,0.34083,0.3574,0.38708,0.33196,0.43862
alligatorriver,DB,1000,rising,gcc_90,2015-04-06,2015-04-10,2015-04-18,2015-04-05,2015-04-09,2015-04-16,2015-04-08,2015-04-12,2015-04-19,0.34188,0.35572,0.39123,0.33169,0.44297
alligatorriver,DB,1000,rising,gcc_90,2016-03-26,2016-04-04,2016-04-16,2016-03-24,2016-04-02,2016-04-14,2016-03-28,2016-04-06,2016-04-17,0.34539,0.36173,0.39058,0.33488,0.44429
alligatorriver,DB,1000,rising,gcc_90,2017-04-01,2017-04-07,2017-04-14,2017-03-31,2017-04-06,2017-04-12,2017-04-04,2017-04-09,2017-04-15,0.3426,0.36006,0.39167,0.33378,0.44376
alligatorriver,DB,1000,rising,gcc_90,2018-04-07,2018-04-14,2018-04-23,2018-04-05,2018-04-13,2018-04-21,2018-04-10,2018-04-16,2018-04-24,0.34508,0.36152,0.39543,0.33509,0.44782
alligatorriver,DB,1000,rising,gcc_75,2013-04-06,2013-04-10,2013-04-16,2013-04-05,2013-04-09,2013-04-15,2013-04-07,2013-04-12,2013-04-17,0.33912,0.3524,0.38034,0.3292,0.42948
alligatorriver,DB,1000,rising,gcc_75,2014-04-03,2014-04-08,2014-04-16,2014-04-01,2014-04-07,2014-04-15,2014-04-05,2014-04-10,2014-04-17,0.33998,0.35309,0.38189,0.32999,0.43345
alligatorriver,DB,1000,rising,gcc_75,2015-04-06,2015-04-10,2015-04-18,2015-04-04,2015-04-09,2015-04-16,2015-04-08,2015-04-12,2015-04-19,0.34019,0.3536,0.38778,0.32956,0.43653
alligatorriver,DB,1000,rising,gcc_75,2016-03-26,2016-04-04,2016-04-16,2016-03-24,2016-04-02,2016-04-13,2016-03-29,2016-04-06,2016-04-17,0.34281,0.35876,0.38741,0.3333,0.43623
alligatorriver,DB,1000,rising,gcc_75,2017-04-02,2017-04-07,2017-04-15,2017-03-31,2017-04-06,2017-04-13,2017-04-04,2017-04-09,2017-04-16,0.34215,0.35597,0.39101,0.33238,0.43962
alligatorriver,DB,1000,rising,gcc_75,2018-04-07,2018-04-14,2018-04-22,2018-04-05,2018-04-13,2018-04-21,2018-04-10,2018-04-16,2018-04-23,0.34257,0.35787,0.38632,0.33296,0.43936
alligatorriver,DB,1000,rising,gcc_50,2013-04-07,2013-04-11,2013-04-17,2013-04-06,2013-04-10,2013-04-15,2013-04-09,2013-04-13,2013-04-18,0.33776,0.35096,0.37931,0.33072,0.42175
alligatorriver,DB,1000,rising,gcc_50,2014-04-03,2014-04-08,2014-04-17,2014-04-01,2014-04-07,2014-04-15,2014-04-06,2014-04-10,2014-04-18,0.33557,0.34802,0.37949,0.32611,0.42609
alligatorriver,DB,1000,rising,gcc_50,2015-04-06,2015-04-11,2015-04-18,2015-04-04,2015-04-10,2015-04-16,2015-04-08,2015-04-13,2015-04-19,0.33457,0.35048,0.38005,0.32556,0.42769
alligatorriver,DB,1000,rising,gcc_50,2016-03-26,2016-04-03,2016-04-15,2016-03-23,2016-04-01,2016-04-13,2016-03-29,2016-04-06,2016-04-17,0.33976,0.35336,0.37969,0.331,0.42657
alligatorriver,DB,1000,rising,gcc_50,2017-04-01,2017-04-07,2017-04-15,2017-03-30,2017-04-06,2017-04-13,2017-04-04,2017-04-09,2017-04-16,0.33725,0.35175,0.38352,0.32913,0.42971
alligatorriver,DB,1000,rising,gcc_50,2018-04-07,2018-04-14,2018-04-22,2018-04-04,2018-04-13,2018-04-20,2018-04-10,2018-04-16,2018-04-23,0.33957,0.35366,0.38017,0.33034,0.42802
alligatorriver,DB,1000,rising,gcc_mean,2013-04-09,2013-04-12,2013-04-18,2013-04-08,2013-04-11,2013-04-16,2013-04-11,2013-04-14,2013-04-19,0.33943,0.34939,0.37628,0.33348,0.41361
alligatorriver,DB,1000,rising,gcc_mean,2014-04-03,2014-04-09,2014-04-17,2014-04-01,2014-04-08,2014-04-15,2014-04-06,2014-04-11,2014-04-18,0.33275,0.34795,0.3752,0.32446,0.41945
alligatorriver,DB,1000,rising,gcc_mean,2015-04-07,2015-04-12,2015-04-18,2015-04-05,2015-04-11,2015-04-17,2015-04-09,2015-04-14,2015-04-19,0.33316,0.34779,0.37146,0.32464,0.41794
alligatorriver,DB,1000,rising,gcc_mean,2016-03-27,2016-04-05,2016-04-17,2016-03-25,2016-04-03,2016-04-15,2016-03-30,2016-04-08,2016-04-18,0.33781,0.3519,0.37787,0.33008,0.42199
alligatorriver,DB,1000,rising,gcc_mean,2017-04-02,2017-04-08,2017-04-15,2017-03-31,2017-04-07,2017-04-13,2017-04-04,2017-04-10,2017-04-16,0.33714,0.35206,0.37875,0.32844,0.42504
alligatorriver,DB,1000,rising,gcc_mean,2018-04-07,2018-04-13,2018-04-22,2018-04-04,2018-04-12,2018-04-19,2018-04-10,2018-04-15,2018-04-23,0.33756,0.34864,0.37672,0.32954,0.41704
alligatorriver,DB,1000,falling,gcc_90,2018-10-28,2018-10-20,2018-09-27,2018-12-22,2018-12-22,2018-10-01,2018-10-11,2018-10-11,2018-09-24,0.34391,0.36221,0.3899,0.33673,0.44103
alligatorriver,DB,1000,falling,gcc_90,2017-10-28,2017-10-17,2017-09-24,2017-10-30,2017-10-20,2017-09-28,2017-10-25,2017-10-14,2017-09-21,0.34278,0.35892,0.38633,0.33237,0.43888
alligatorriver,DB,1000,falling,gcc_90,2016-10-16,2016-10-11,2016-09-24,2016-10-17,2016-10-12,2016-09-29,2016-10-14,2016-10-09,2016-09-18,0.34781,0.36257,0.39028,0.3398,0.44057
alligatorriver,DB,1000,falling,gcc_90,2015-10-16,2015-10-11,2015-09-28,2015-10-17,2015-10-12,2015-10-01,2015-10-14,2015-10-09,2015-09-22,0.35142,0.36493,0.38817,0.34342,0.4323
alligatorriver,DB,1000,falling,gcc_90,2014-10-19,2014-10-10,2014-09-21,2014-10-20,2014-10-12,2014-09-24,2014-10-16,2014-10-08,2014-09-19,0.3508,0.36593,0.38937,0.34305,0.43482
alligatorriver,DB,1000,falling,gcc_90,2013-10-14,2013-09-28,2013-09-11,2013-10-16,2013-10-02,2013-09-15,2013-10-10,2013-09-24,2013-09-08,0.35947,0.37182,0.39241,0.35261,0.43057
alligatorriver,DB,1000,falling,gcc_90,2012-10-16,2012-10-10,2012-09-16,2012-10-18,2012-10-11,2012-09-19,2012-10-14,2012-10-07,2012-09-13,0.34848,0.36078,0.38684,0.33925,0.43396
