#
# Transition date estimate for arbutuslakeinlet
#
# Site: arbutuslakeinlet
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:43:55
# Spline RMSE gcc_mean: 0.00532
# Spline RMSE gcc_50: 0.00542
# Spline RMSE gcc_75: 0.00534
# Spline RMSE gcc_90: 0.0057
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
arbutuslakeinlet,DB,1000,rising,gcc_90,2016-05-18,2016-05-21,2016-05-26,2016-05-17,2016-05-20,2016-05-24,2016-05-20,2016-05-23,2016-05-27,0.34337,0.35429,0.37662,0.33918,0.40536
arbutuslakeinlet,DB,1000,rising,gcc_90,2017-05-18,2017-05-22,2017-05-28,2017-05-15,2017-05-20,2017-05-25,2017-05-21,2017-05-24,2017-05-29,0.34575,0.35641,0.3767,0.33996,0.40731
arbutuslakeinlet,DB,1000,rising,gcc_90,2018-05-20,2018-05-22,2018-05-27,2018-05-19,2018-05-21,2018-05-25,2018-05-22,2018-05-24,2018-05-28,0.34737,0.36055,0.39867,0.33988,0.44759
arbutuslakeinlet,DB,1000,rising,gcc_75,2016-05-19,2016-05-22,2016-05-26,2016-05-17,2016-05-20,2016-05-24,2016-05-21,2016-05-24,2016-05-27,0.34404,0.35313,0.37038,0.33849,0.3996
arbutuslakeinlet,DB,1000,rising,gcc_75,2017-05-19,2017-05-23,2017-05-28,2017-05-16,2017-05-21,2017-05-26,2017-05-22,2017-05-25,2017-05-30,0.34498,0.35424,0.37044,0.33926,0.40138
arbutuslakeinlet,DB,1000,rising,gcc_75,2018-05-20,2018-05-23,2018-05-27,2018-05-19,2018-05-22,2018-05-25,2018-05-22,2018-05-24,2018-05-28,0.34535,0.36411,0.39411,0.33918,0.44011
arbutuslakeinlet,DB,1000,rising,gcc_50,2016-05-19,2016-05-22,2016-05-27,2016-05-17,2016-05-21,2016-05-25,2016-05-22,2016-05-24,2016-05-28,0.34195,0.34992,0.37001,0.33753,0.39486
arbutuslakeinlet,DB,1000,rising,gcc_50,2017-05-19,2017-05-23,2017-05-28,2017-05-17,2017-05-21,2017-05-26,2017-05-22,2017-05-25,2017-05-30,0.34261,0.35143,0.36723,0.33845,0.3945
arbutuslakeinlet,DB,1000,rising,gcc_50,2018-05-21,2018-05-23,2018-05-27,2018-05-19,2018-05-22,2018-05-26,2018-05-22,2018-05-25,2018-05-28,0.34769,0.35876,0.38606,0.33835,0.43189
arbutuslakeinlet,DB,1000,rising,gcc_mean,2016-05-19,2016-05-22,2016-05-26,2016-05-17,2016-05-20,2016-05-24,2016-05-21,2016-05-24,2016-05-27,0.34243,0.35078,0.36675,0.33733,0.39492
