#
# Transition date estimate for archboldavir
#
# Site: archboldavir
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:44:35
# Spline RMSE gcc_mean: 0.00295
# Spline RMSE gcc_50: 0.00328
# Spline RMSE gcc_75: 0.0032
# Spline RMSE gcc_90: 0.0034
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
archboldavir,AG,1000,rising,gcc_90,2017-04-15,2017-05-23,2017-06-04,2017-04-08,2017-05-02,2017-06-02,2017-04-24,2017-05-27,2017-06-05,0.34783,0.35978,0.38122,0.34006,0.4192
archboldavir,AG,1000,rising,gcc_90,2018-03-24,2018-03-31,2018-04-16,2018-02-10,2018-03-29,2018-04-11,2018-03-28,2018-04-03,2018-04-20,0.33554,0.34593,0.36395,0.32998,0.39694
archboldavir,AG,1000,rising,gcc_75,2017-04-16,2017-05-24,2017-06-05,2017-04-10,2017-05-06,2017-06-03,2017-04-26,2017-05-29,2017-06-06,0.3466,0.35813,0.37893,0.33895,0.41654
archboldavir,AG,1000,rising,gcc_75,2018-03-30,2018-04-05,2018-04-24,2018-03-28,2018-04-03,2018-04-18,2018-04-02,2018-04-09,2018-04-28,0.34164,0.35013,0.36585,0.33708,0.39352
archboldavir,AG,1000,rising,gcc_50,2017-04-26,2017-05-27,2017-06-05,2017-04-11,2017-05-22,2017-06-03,2017-05-02,2017-05-30,2017-06-07,0.34403,0.35515,0.3749,0.33648,0.4124
archboldavir,AG,1000,rising,gcc_50,2018-03-23,2018-04-01,2018-04-16,2018-02-10,2018-03-30,2018-04-12,2018-03-24,2018-04-04,2018-04-21,0.3299,0.33981,0.35644,0.32412,0.38806
archboldavir,AG,1000,rising,gcc_mean,2017-04-23,2017-05-26,2017-06-05,2017-04-12,2017-05-23,2017-06-03,2017-04-30,2017-05-30,2017-06-06,0.34378,0.35435,0.37466,0.33652,0.41068
archboldavir,AG,1000,rising,gcc_mean,2018-03-23,2018-04-01,2018-04-16,2018-02-10,2018-03-30,2018-04-12,2018-03-24,2018-04-04,2018-04-20,0.3302,0.34037,0.35667,0.32462,0.38787
archboldavir,AG,1000,falling,gcc_90,2018-11-12,2018-10-30,2018-10-19,2018-11-16,2018-11-01,2018-10-22,2018-11-06,2018-10-27,2018-10-17,0.33147,0.34275,0.36352,0.32388,0.40192
archboldavir,AG,1000,falling,gcc_90,2017-10-26,2017-10-17,2017-10-05,2017-10-28,2017-10-19,2017-10-06,2017-10-23,2017-10-15,2017-09-05,0.3371,0.35081,0.37324,0.32914,0.41653
archboldavir,AG,1000,falling,gcc_75,2018-11-09,2018-10-30,2018-10-18,2018-11-14,2018-10-31,2018-10-21,2018-11-04,2018-10-27,2018-10-16,0.3284,0.33929,0.36122,0.32098,0.39967
archboldavir,AG,1000,falling,gcc_75,2017-10-26,2017-10-17,2017-10-04,2017-10-28,2017-10-19,2017-10-05,2017-10-23,2017-10-15,2017-09-05,0.33371,0.34718,0.37012,0.32594,0.41393
archboldavir,AG,1000,falling,gcc_50,2018-11-06,2018-10-29,2018-10-18,2018-11-11,2018-10-31,2018-10-21,2018-11-02,2018-10-27,2018-10-16,0.32554,0.33698,0.35821,0.31822,0.39649
archboldavir,AG,1000,falling,gcc_50,2017-10-25,2017-10-17,2017-10-05,2017-10-28,2017-10-19,2017-10-06,2017-10-23,2017-10-15,2017-09-05,0.3311,0.34342,0.3657,0.32263,0.40835
archboldavir,AG,1000,falling,gcc_mean,2018-11-07,2018-10-29,2018-10-18,2018-11-12,2018-10-31,2018-10-21,2018-11-03,2018-10-27,2018-10-17,0.32581,0.33704,0.35835,0.31868,0.39519
archboldavir,AG,1000,falling,gcc_mean,2017-10-25,2017-10-17,2017-10-05,2017-10-28,2017-10-19,2017-10-06,2017-10-23,2017-10-15,2017-09-05,0.3317,0.34414,0.36599,0.32329,0.40742
