#
# Transition date estimate for archboldwet
#
# Site: archboldwet
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:45:44
# Spline RMSE gcc_mean: 0.00681
# Spline RMSE gcc_50: 0.00701
# Spline RMSE gcc_75: 0.0071
# Spline RMSE gcc_90: 0.00745
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
archboldwet,AG,1000,rising,gcc_90,2017-04-27,2017-04-29,2017-05-17,2017-04-26,2017-04-28,2017-05-14,2017-04-29,2017-05-01,2017-05-26,0.37084,0.38844,0.41382,0.37016,0.4515
archboldwet,AG,1000,rising,gcc_90,2018-04-28,2018-04-30,2018-05-18,2018-01-13,2018-01-13,2018-01-13,2018-07-05,2018-07-05,2018-07-05,0.37649,0.38729,0.41259,0.37028,0.45336
archboldwet,AG,1000,rising,gcc_75,2017-04-27,2017-04-29,2017-05-16,2017-04-26,2017-04-28,2017-05-14,2017-04-29,2017-05-01,2017-05-26,0.37067,0.38757,0.41056,0.36958,0.44974
archboldwet,AG,1000,rising,gcc_75,2018-04-28,2018-04-30,2018-05-17,2018-01-13,2018-01-13,2018-01-13,2018-07-05,2018-07-05,2018-07-05,0.37619,0.38657,0.41028,0.36977,0.4486
archboldwet,AG,1000,rising,gcc_50,2017-04-27,2017-04-29,2017-05-16,2017-04-26,2017-04-28,2017-05-14,2017-04-29,2017-05-01,2017-05-23,0.3703,0.38633,0.40933,0.36786,0.44821
archboldwet,AG,1000,rising,gcc_50,2018-04-28,2018-04-30,2018-05-17,2018-01-13,2018-01-13,2018-01-13,2018-07-05,2018-07-05,2018-07-05,0.37575,0.38572,0.40965,0.36859,0.44473
archboldwet,AG,1000,rising,gcc_mean,2017-04-27,2017-04-29,2017-05-16,2017-04-26,2017-04-28,2017-05-14,2017-04-29,2017-05-01,2017-05-23,0.3706,0.38582,0.40845,0.36792,0.44853
archboldwet,AG,1000,rising,gcc_mean,2018-04-28,2018-04-30,2018-05-17,2018-01-13,2018-01-13,2018-01-13,2018-07-05,2018-07-05,2018-07-05,0.37567,0.3847,0.40915,0.36851,0.44525
archboldwet,AG,1000,falling,gcc_90,2018-11-07,2018-10-27,2018-10-16,2018-11-17,2018-10-28,2018-10-19,2018-11-06,2018-10-26,2018-09-25,0.37791,0.39091,0.41569,0.37078,0.45547
archboldwet,AG,1000,falling,gcc_90,2017-10-27,2017-09-27,2017-09-22,2017-10-28,2017-09-29,2017-09-29,2017-10-25,2017-09-05,2017-09-05,0.38156,0.39543,0.41888,0.37531,0.45837
archboldwet,AG,1000,falling,gcc_75,2018-11-07,2018-10-27,2018-10-16,2018-11-17,2018-10-28,2018-10-19,2018-11-06,2018-10-26,2018-09-25,0.37724,0.38965,0.4162,0.36946,0.4546
archboldwet,AG,1000,falling,gcc_75,2017-10-27,2017-10-21,2017-09-22,2017-10-28,2017-10-24,2017-09-29,2017-10-25,2017-10-16,2017-09-05,0.3804,0.39393,0.4181,0.3739,0.45645
archboldwet,AG,1000,falling,gcc_50,2018-11-07,2018-10-27,2018-10-16,2018-11-16,2018-10-28,2018-10-19,2018-11-06,2018-10-24,2018-09-25,0.37483,0.38748,0.41907,0.36631,0.45363
archboldwet,AG,1000,falling,gcc_50,2017-10-27,2017-10-20,2017-09-22,2017-10-28,2017-10-24,2017-09-29,2017-10-25,2017-10-16,2017-09-05,0.37844,0.39173,0.41679,0.37132,0.4561
archboldwet,AG,1000,falling,gcc_mean,2018-11-08,2018-10-27,2018-10-17,2018-11-17,2018-10-29,2018-10-19,2018-11-07,2018-10-26,2018-09-25,0.37242,0.38555,0.40854,0.3656,0.44917
archboldwet,AG,1000,falling,gcc_mean,2017-10-27,2017-10-21,2017-09-22,2017-10-28,2017-10-25,2017-09-29,2017-10-25,2017-10-17,2017-09-05,0.37886,0.39192,0.41679,0.37077,0.45575
