#
# ROI color statistics timeseries for arsgreatbasinltar098
#
# Site: arsgreatbasinltar098
# Veg Type: SH
# ROI ID Number: 1000
# Lat: 43.1675
# Lon: -116.7132
# Elev: 1426
# UTC Offset: -7
# Resize Flag: False
# Version: 1
# Creation Date: 2018-04-04
# Creation Time: 13:31:44
# Update Date: 2019-01-14
# Update Time: 04:16:53
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2017-05-18,13:00:00,138,arsgreatbasinltar098_2017_05_18_130000.jpg,66.30010,NA,1,0.34126,0.37156,105.19241,38.10145,37,55,81,108,132,151,163,96.61377,38.27318,30,46,72,98,123,145,157,81.30340,36.86494,17,33,57,82,106,128,141,0.94525,0.97936,0.92610
2017-05-18,13:30:00,138,arsgreatbasinltar098_2017_05_18_133000.jpg,64.59723,NA,1,0.34067,0.37186,113.09126,40.72020,39,59,88,116,141,161,174,103.60516,40.06661,32,51,79,106,130,153,166,87.42494,38.60534,18,36,63,89,113,135,149,0.94687,0.98047,0.92484
2017-05-18,14:00:00,138,arsgreatbasinltar098_2017_05_18_140000.jpg,61.57851,NA,1,0.34095,0.39997,107.34300,44.39059,19,44,81,112,138,159,172,91.50354,41.78424,8,31,66,95,120,141,154,69.53165,38.57811,0,12,44,71,96,117,130,0.95165,0.97943,0.92366
2017-05-18,14:30:00,138,arsgreatbasinltar098_2017_05_18_143000.jpg,57.62269,NA,1,0.34012,0.39451,121.89550,47.93337,28,54,93,127,155,178,192,105.08838,45.42255,15,41,78,109,136,159,173,81.99468,42.16353,1,21,55,85,111,134,148,0.95524,0.98166,0.93142
2017-05-19,10:00:00,139,arsgreatbasinltar098_2017_05_19_100000.jpg,48.76169,NA,1,0.34148,0.35107,101.61259,40.45617,29,48,76,103,130,152,165,98.83916,41.97067,26,44,71,99,127,153,168,88.98780,40.55012,20,36,62,89,116,142,156,0.95720,0.98144,0.94584
2017-05-19,10:30:00,139,arsgreatbasinltar098_2017_05_19_103000.jpg,53.71252,NA,1,0.34061,0.36021,104.99994,37.89731,37,55,81,107,131,151,163,99.28897,38.86044,32,49,74,100,126,149,162,87.21029,37.85754,22,38,62,88,113,136,149,0.94574,0.98064,0.93225
2017-05-19,11:00:00,139,arsgreatbasinltar098_2017_05_19_110000.jpg,58.24920,NA,1,0.34156,0.36986,107.39283,37.67289,40,58,84,110,134,154,165,99.17674,38.29622,33,49,74,100,125,148,161,83.79116,37.02654,20,35,59,84,109,131,144,0.94399,0.98055,0.93027
2017-05-19,11:30:00,139,arsgreatbasinltar098_2017_05_19_113000.jpg,62.13827,NA,1,0.34065,0.37938,117.25465,44.54199,30,57,92,122,148,169,181,105.28484,42.81011,21,48,80,109,134,157,170,86.53128,40.27747,8,31,61,89,114,136,150,0.95090,0.98174,0.93053
2017-05-19,12:00:00,139,arsgreatbasinltar098_2017_05_19_120000.jpg,65.05051,NA,1,0.34031,0.39543,108.49650,41.46386,27,51,84,113,137,157,169,93.37041,38.88833,17,40,71,97,120,140,152,72.50580,36.32668,2,20,49,74,97,117,129,0.95160,0.98167,0.92765
2017-05-19,12:30:00,139,arsgreatbasinltar098_2017_05_19_123000.jpg,66.60151,NA,1,0.33878,0.35818,105.56522,36.67336,38,59,85,109,130,148,159,99.84760,36.90866,34,54,78,102,125,145,157,89.31322,35.38716,26,45,68,90,113,133,145,0.95421,0.98328,0.93925
