#
# Transition date estimate for arsmnswanlake1
#
# Site: arsmnswanlake1
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:47:13
# Spline RMSE gcc_mean: 0.00213
# Spline RMSE gcc_50: 0.00222
# Spline RMSE gcc_75: 0.0037
# Spline RMSE gcc_90: 0.00375
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
arsmnswanlake1,AG,1000,rising,gcc_90,2016-05-27,2016-06-01,2016-06-09,2016-05-24,2016-05-31,2016-06-07,2016-05-28,2016-06-04,2016-06-10,0.31583,0.32453,0.34586,0.30895,0.38069
arsmnswanlake1,AG,1000,rising,gcc_90,2017-06-03,2017-06-10,2017-06-24,2017-05-31,2017-06-08,2017-06-20,2017-06-06,2017-06-13,2017-06-26,0.31631,0.32679,0.34821,0.30878,0.38522
arsmnswanlake1,AG,1000,rising,gcc_90,2018-05-30,2018-06-04,2018-06-13,2018-05-29,2018-06-03,2018-06-11,2018-06-02,2018-06-07,2018-06-14,0.31537,0.32665,0.35046,0.30922,0.38794
arsmnswanlake1,AG,1000,rising,gcc_75,2016-05-24,2016-05-31,2016-06-08,2016-05-20,2016-05-30,2016-06-06,2016-05-27,2016-06-03,2016-06-10,0.3109,0.32089,0.34095,0.30437,0.37667
arsmnswanlake1,AG,1000,rising,gcc_75,2017-06-03,2017-06-11,2017-06-24,2017-05-31,2017-06-09,2017-06-21,2017-06-06,2017-06-13,2017-06-26,0.31434,0.32573,0.34609,0.3073,0.3829
arsmnswanlake1,AG,1000,rising,gcc_75,2018-05-30,2018-06-05,2018-06-13,2018-05-29,2018-06-03,2018-06-11,2018-06-02,2018-06-07,2018-06-14,0.31293,0.32583,0.34697,0.30673,0.38511
arsmnswanlake1,AG,1000,rising,gcc_50,2016-05-22,2016-05-31,2016-06-09,2016-05-19,2016-05-30,2016-06-07,2016-05-26,2016-06-03,2016-06-10,0.3086,0.31835,0.33981,0.30229,0.37305
arsmnswanlake1,AG,1000,rising,gcc_50,2017-06-03,2017-06-10,2017-06-22,2017-06-01,2017-06-09,2017-06-20,2017-06-06,2017-06-12,2017-06-24,0.3114,0.32196,0.3422,0.30488,0.37847
arsmnswanlake1,AG,1000,rising,gcc_50,2018-05-31,2018-06-05,2018-06-13,2018-05-29,2018-06-04,2018-06-11,2018-06-02,2018-06-07,2018-06-14,0.31137,0.32138,0.34424,0.30404,0.38289
arsmnswanlake1,AG,1000,rising,gcc_mean,2016-05-23,2016-06-01,2016-06-09,2016-05-20,2016-05-31,2016-06-07,2016-05-27,2016-06-03,2016-06-10,0.30916,0.31972,0.34019,0.30277,0.3724
arsmnswanlake1,AG,1000,rising,gcc_mean,2017-06-03,2017-06-10,2017-06-22,2017-06-01,2017-06-08,2017-06-19,2017-06-06,2017-06-12,2017-06-24,0.31171,0.32267,0.34165,0.30488,0.37693
arsmnswanlake1,AG,1000,rising,gcc_mean,2018-05-31,2018-06-05,2018-06-13,2018-05-29,2018-06-04,2018-06-11,2018-06-02,2018-06-07,2018-06-14,0.31163,0.32185,0.34427,0.30412,0.38101
arsmnswanlake1,AG,1000,falling,gcc_90,2018-09-18,2018-09-13,2018-09-05,2018-09-19,2018-09-14,2018-09-07,2018-09-16,2018-09-11,2018-09-04,0.30882,0.32319,0.34784,0.3027,0.38788
arsmnswanlake1,AG,1000,falling,gcc_90,2017-09-24,2017-09-20,2017-09-13,2017-09-25,2017-09-21,2017-09-15,2017-09-22,2017-09-18,2017-09-12,0.31315,0.32401,0.34682,0.30629,0.3845
arsmnswanlake1,AG,1000,falling,gcc_90,2016-09-26,2016-09-20,2016-09-11,2016-09-27,2016-09-22,2016-09-13,2016-09-23,2016-09-18,2016-09-09,0.31382,0.32576,0.34352,0.3081,0.37877
arsmnswanlake1,AG,1000,falling,gcc_75,2018-09-18,2018-09-13,2018-09-06,2018-09-19,2018-09-14,2018-09-08,2018-09-16,2018-09-11,2018-09-05,0.30713,0.32161,0.34355,0.30101,0.38498
arsmnswanlake1,AG,1000,falling,gcc_75,2017-09-24,2017-09-20,2017-09-13,2017-09-26,2017-09-21,2017-09-15,2017-09-22,2017-09-18,2017-09-12,0.31158,0.32212,0.34436,0.30407,0.38278
arsmnswanlake1,AG,1000,falling,gcc_75,2016-09-26,2016-09-21,2016-09-11,2016-09-28,2016-09-22,2016-09-14,2016-09-24,2016-09-19,2016-09-09,0.31223,0.32174,0.34169,0.30538,0.37539
arsmnswanlake1,AG,1000,falling,gcc_50,2018-09-17,2018-09-12,2018-09-05,2018-09-18,2018-09-13,2018-09-07,2018-09-15,2018-09-11,2018-09-04,0.30406,0.31792,0.34275,0.29734,0.38216
arsmnswanlake1,AG,1000,falling,gcc_50,2017-09-23,2017-09-19,2017-09-12,2017-09-24,2017-09-20,2017-09-13,2017-09-21,2017-09-17,2017-09-11,0.30935,0.31952,0.34104,0.30202,0.37951
