#
# Transition date estimate for ashbottoms
#
# Site: ashbottoms
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:48:58
# Spline RMSE gcc_mean: 0.00204
# Spline RMSE gcc_50: 0.0021
# Spline RMSE gcc_75: 0.00251
# Spline RMSE gcc_90: 0.00274
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ashbottoms,AG,1000,rising,gcc_90,2016-04-04,2016-04-14,2016-04-21,2016-03-27,2016-04-13,2016-04-20,2016-04-10,2016-04-17,2016-04-22,0.33526,0.344,0.3636,0.32901,0.39457
ashbottoms,AG,1000,rising,gcc_75,2016-04-04,2016-04-14,2016-04-21,2016-03-27,2016-04-13,2016-04-20,2016-04-10,2016-04-17,2016-04-22,0.33418,0.34265,0.36094,0.32794,0.39196
ashbottoms,AG,1000,rising,gcc_50,2016-03-31,2016-04-13,2016-04-21,2016-03-20,2016-04-12,2016-04-20,2016-04-08,2016-04-16,2016-04-22,0.33209,0.33962,0.35682,0.32636,0.38405
ashbottoms,AG,1000,rising,gcc_mean,2016-03-30,2016-04-13,2016-04-20,2016-03-24,2016-04-11,2016-04-19,2016-04-06,2016-04-15,2016-04-21,0.33173,0.33963,0.35483,0.32618,0.38188
ashbottoms,AG,1000,falling,gcc_90,2016-11-11,2016-10-16,2016-09-30,2016-11-15,2016-10-19,2016-10-01,2016-11-06,2016-10-12,2016-09-29,0.33742,0.34551,0.36112,0.33194,0.38852
ashbottoms,AG,1000,falling,gcc_90,2015-09-28,2015-09-23,2015-08-30,2015-09-29,2015-09-24,2015-09-03,2015-09-25,2015-09-21,2015-08-21,0.33127,0.34318,0.36187,0.32651,0.39713
ashbottoms,AG,1000,falling,gcc_75,2016-11-11,2016-10-15,2016-09-30,2016-11-15,2016-10-18,2016-10-01,2016-11-05,2016-10-11,2016-09-28,0.33654,0.34485,0.35912,0.33128,0.38566
ashbottoms,AG,1000,falling,gcc_75,2015-09-27,2015-09-23,2015-08-29,2015-09-29,2015-09-24,2015-09-02,2015-09-25,2015-09-21,2015-08-20,0.3327,0.34174,0.36072,0.32583,0.3946
ashbottoms,AG,1000,falling,gcc_50,2016-11-14,2016-10-17,2016-10-01,2016-11-22,2016-10-20,2016-10-02,2016-11-09,2016-10-14,2016-09-30,0.33385,0.34138,0.35537,0.32908,0.38034
ashbottoms,AG,1000,falling,gcc_50,2015-09-26,2015-09-21,2015-08-30,2015-09-27,2015-09-22,2015-09-02,2015-09-24,2015-09-19,2015-08-27,0.33075,0.34125,0.35819,0.3252,0.39028
ashbottoms,AG,1000,falling,gcc_mean,2016-11-14,2016-10-18,2016-10-02,2016-11-24,2016-10-21,2016-10-05,2016-11-10,2016-10-15,2016-09-30,0.33317,0.34067,0.35395,0.32818,0.37838
ashbottoms,AG,1000,falling,gcc_mean,2015-09-27,2015-09-22,2015-08-31,2015-09-28,2015-09-23,2015-09-03,2015-09-24,2015-09-20,2015-08-29,0.32973,0.34043,0.3569,0.32477,0.38835
