#
# Transition date estimate for barrocolorado
#
# Site: barrocolorado
# Veg Type: EB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:50:33
# Spline RMSE gcc_mean: 0.00295
# Spline RMSE gcc_50: 0.00261
# Spline RMSE gcc_75: 0.0021
# Spline RMSE gcc_90: 0.00207
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
barrocolorado,EB,1000,rising,gcc_90,2013-03-28,2013-04-05,2013-04-16,2013-03-25,2013-04-03,2013-04-13,2013-04-01,2013-04-08,2013-04-18,0.37713,0.38294,0.3931,0.37394,0.41089
barrocolorado,EB,1000,rising,gcc_90,2014-04-08,2014-04-18,2014-05-02,2014-04-06,2014-04-16,2014-04-29,2014-04-12,2014-04-22,2014-05-04,0.38628,0.39206,0.4025,0.38283,0.42167
barrocolorado,EB,1000,rising,gcc_75,2013-03-28,2013-04-03,2013-04-15,2013-03-26,2013-04-01,2013-04-13,2013-03-31,2013-04-06,2013-04-17,0.3737,0.37894,0.38917,0.37024,0.40761
barrocolorado,EB,1000,rising,gcc_75,2014-04-04,2014-04-14,2014-04-29,2014-04-02,2014-04-12,2014-04-26,2014-04-07,2014-04-18,2014-05-01,0.37948,0.38563,0.39668,0.37592,0.41653
barrocolorado,EB,1000,rising,gcc_50,2013-03-24,2013-03-31,2013-04-13,2013-03-03,2013-03-29,2013-04-10,2013-03-27,2013-04-03,2013-04-15,0.36585,0.3716,0.38234,0.36194,0.40217
barrocolorado,EB,1000,rising,gcc_50,2014-04-03,2014-04-12,2014-04-28,2014-03-31,2014-04-09,2014-04-25,2014-04-06,2014-04-16,2014-04-30,0.37378,0.3793,0.38904,0.37042,0.40696
barrocolorado,EB,1000,rising,gcc_mean,2014-04-03,2014-04-11,2014-04-26,2014-03-31,2014-04-09,2014-04-23,2014-04-06,2014-04-15,2014-04-28,0.36852,0.37383,0.38385,0.36513,0.40207
barrocolorado,EB,1000,falling,gcc_90,2013-12-24,2013-12-17,2013-11-25,2013-12-26,2013-12-20,2013-12-01,2013-12-21,2013-12-14,2013-11-22,0.38083,0.38602,0.39409,0.37854,0.40886
barrocolorado,EB,1000,falling,gcc_75,2013-12-27,2013-12-16,2013-11-19,2013-12-31,2013-12-20,2013-11-25,2013-12-23,2013-12-11,2013-11-11,0.37843,0.38311,0.39124,0.37552,0.40661
barrocolorado,EB,1000,falling,gcc_50,2013-12-31,2013-12-16,2013-11-20,2014-01-07,2013-12-22,2013-11-29,2013-12-24,2013-12-11,2013-11-07,0.37419,0.37862,0.38584,0.37151,0.40008
barrocolorado,EB,1000,falling,gcc_mean,2014-01-04,2013-12-21,2013-11-29,2014-01-10,2013-12-25,2013-12-05,2013-12-27,2013-12-15,2013-11-21,0.36872,0.37288,0.38084,0.36617,0.39531
