#
# Transition date estimate for barrow
#
# Site: barrow
# Veg Type: TN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:50:55
# Spline RMSE gcc_mean: 0.00232
# Spline RMSE gcc_50: 0.00248
# Spline RMSE gcc_75: 0.00207
# Spline RMSE gcc_90: 0.00207
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
barrow,TN,1000,rising,gcc_90,2014-06-26,2014-07-05,2014-07-18,2014-06-25,2014-07-04,2014-07-17,2014-06-27,2014-07-07,2014-07-20,0.32372,0.32986,0.34144,0.31951,0.36233
barrow,TN,1000,rising,gcc_90,2016-06-16,2016-06-21,2016-06-29,2016-06-14,2016-06-20,2016-06-27,2016-06-19,2016-06-24,2016-06-30,0.32623,0.33038,0.3387,0.32358,0.3535
barrow,TN,1000,rising,gcc_90,2017-06-29,2017-07-05,2017-07-14,2017-06-26,2017-07-04,2017-07-12,2017-06-30,2017-07-07,2017-07-15,0.3248,0.3316,0.34811,0.31961,0.37385
barrow,TN,1000,rising,gcc_90,2018-07-11,2018-07-15,2018-07-22,2018-07-10,2018-07-14,2018-07-20,2018-07-13,2018-07-17,2018-07-23,0.32758,0.33314,0.34522,0.32486,0.36322
barrow,TN,1000,rising,gcc_75,2014-06-27,2014-07-05,2014-07-18,2014-06-26,2014-07-04,2014-07-17,2014-06-28,2014-07-08,2014-07-20,0.32334,0.32891,0.34035,0.31914,0.36129
barrow,TN,1000,rising,gcc_75,2016-06-15,2016-06-21,2016-06-29,2016-06-13,2016-06-19,2016-06-27,2016-06-18,2016-06-23,2016-06-30,0.32454,0.3294,0.3377,0.32183,0.35243
barrow,TN,1000,rising,gcc_75,2017-06-29,2017-07-05,2017-07-14,2017-06-25,2017-07-04,2017-07-12,2017-06-30,2017-07-07,2017-07-15,0.32386,0.33052,0.34661,0.31857,0.3727
barrow,TN,1000,rising,gcc_75,2018-07-07,2018-07-13,2018-07-21,2018-07-05,2018-07-12,2018-07-19,2018-07-08,2018-07-15,2018-07-22,0.32247,0.32888,0.34186,0.31869,0.36272
barrow,TN,1000,rising,gcc_50,2014-06-26,2014-07-05,2014-07-18,2014-06-25,2014-07-04,2014-07-17,2014-06-27,2014-07-08,2014-07-20,0.32154,0.32766,0.33936,0.31742,0.36008
barrow,TN,1000,rising,gcc_50,2016-06-14,2016-06-20,2016-06-29,2016-06-11,2016-06-18,2016-06-27,2016-06-17,2016-06-23,2016-06-30,0.32278,0.32712,0.33606,0.32,0.3512
barrow,TN,1000,rising,gcc_50,2017-06-28,2017-07-05,2017-07-14,2017-04-29,2017-07-04,2017-07-12,2017-07-02,2017-07-07,2017-07-15,0.32231,0.32919,0.34464,0.31716,0.37092
barrow,TN,1000,rising,gcc_50,2018-07-07,2018-07-13,2018-07-21,2018-07-04,2018-07-12,2018-07-19,2018-07-08,2018-07-16,2018-07-22,0.32134,0.32744,0.3403,0.31754,0.36201
barrow,TN,1000,rising,gcc_mean,2014-06-27,2014-07-06,2014-07-18,2014-06-26,2014-07-05,2014-07-17,2014-06-28,2014-07-08,2014-07-21,0.3214,0.32791,0.3387,0.31748,0.35949
barrow,TN,1000,rising,gcc_mean,2016-06-15,2016-06-21,2016-06-29,2016-06-12,2016-06-19,2016-06-27,2016-06-18,2016-06-24,2016-06-30,0.32311,0.32752,0.33572,0.32012,0.35069
barrow,TN,1000,rising,gcc_mean,2017-06-29,2017-07-06,2017-07-14,2017-05-01,2017-07-05,2017-07-12,2017-07-02,2017-07-07,2017-07-15,0.32195,0.33018,0.34448,0.31686,0.37026
barrow,TN,1000,rising,gcc_mean,2018-07-06,2018-07-13,2018-07-21,2018-03-23,2018-07-12,2018-07-19,2018-07-07,2018-07-15,2018-07-22,0.32022,0.32691,0.33995,0.31601,0.3619
barrow,TN,1000,falling,gcc_90,2018-09-07,2018-09-04,2018-08-29,2018-09-08,2018-09-05,2018-09-02,2018-09-05,2018-09-02,2018-08-09,0.32302,0.32952,0.34237,0.32051,0.3628
barrow,TN,1000,falling,gcc_90,2017-09-06,2017-09-02,2017-08-27,2017-09-07,2017-09-03,2017-08-28,2017-09-04,2017-09-01,2017-08-26,0.32095,0.33117,0.346,0.31753,0.37385
barrow,TN,1000,falling,gcc_90,2016-08-31,2016-08-28,2016-08-21,2017-04-23,2017-04-23,2017-04-23,2016-08-02,2016-08-02,2016-08-02,0.32158,0.32611,0.33716,0.31906,0.35323
barrow,TN,1000,falling,gcc_90,2015-08-26,2015-08-22,2015-08-15,2015-08-27,2015-08-23,2015-08-18,2015-08-24,2015-08-21,2015-08-14,0.32286,0.33035,0.34246,0.32016,0.36216
barrow,TN,1000,falling,gcc_75,2018-09-07,2018-09-04,2018-08-28,2018-09-08,2018-09-05,2018-09-02,2018-09-05,2018-09-02,2018-08-09,0.32102,0.32708,0.34084,0.31798,0.36254
