#
# Transition date estimate for bbc7
#
# Site: bbc7
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:54:53
# Spline RMSE gcc_mean: 0.00429
# Spline RMSE gcc_50: 0.00439
# Spline RMSE gcc_75: 0.00456
# Spline RMSE gcc_90: 0.00468
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bbc7,DB,1000,rising,gcc_90,2016-05-09,2016-05-13,2016-05-17,2016-05-08,2016-05-12,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.34412,0.36487,0.39386,0.33701,0.44849
bbc7,DB,1000,rising,gcc_90,2017-05-02,2017-05-07,2017-05-15,2017-04-30,2017-05-06,2017-05-13,2017-05-04,2017-05-09,2017-05-16,0.34622,0.36071,0.39481,0.33554,0.44287
bbc7,DB,1000,rising,gcc_90,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-11,2018-05-07,2018-05-10,2018-05-14,0.34376,0.35881,0.39113,0.33804,0.43921
bbc7,DB,1000,rising,gcc_75,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.34374,0.35852,0.39335,0.33658,0.44637
bbc7,DB,1000,rising,gcc_75,2017-05-02,2017-05-07,2017-05-14,2017-04-30,2017-05-06,2017-05-13,2017-05-04,2017-05-09,2017-05-15,0.34555,0.36011,0.38816,0.33504,0.44119
bbc7,DB,1000,rising,gcc_75,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-11,2018-05-07,2018-05-10,2018-05-14,0.3434,0.35836,0.39028,0.33748,0.43767
bbc7,DB,1000,rising,gcc_50,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.34307,0.35774,0.39159,0.33592,0.44367
bbc7,DB,1000,rising,gcc_50,2017-05-01,2017-05-07,2017-05-14,2017-04-30,2017-05-06,2017-05-13,2017-05-04,2017-05-09,2017-05-15,0.34219,0.35928,0.38716,0.33436,0.4386
bbc7,DB,1000,rising,gcc_50,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-11,2018-05-07,2018-05-10,2018-05-14,0.34253,0.35746,0.38929,0.33688,0.43686
bbc7,DB,1000,rising,gcc_mean,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.34291,0.35759,0.39154,0.33573,0.44382
bbc7,DB,1000,rising,gcc_mean,2017-05-01,2017-05-07,2017-05-15,2017-04-30,2017-05-06,2017-05-13,2017-05-03,2017-05-09,2017-05-16,0.34219,0.3592,0.392,0.33418,0.43877
bbc7,DB,1000,rising,gcc_mean,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-11,2018-05-07,2018-05-10,2018-05-14,0.34244,0.35749,0.38939,0.3367,0.43653
bbc7,DB,1000,falling,gcc_90,2018-10-06,2018-10-03,2018-09-27,2018-10-07,2018-10-04,2018-09-29,2018-10-04,2018-10-02,2018-09-26,0.35608,0.3675,0.39438,0.34814,0.43478
bbc7,DB,1000,falling,gcc_90,2017-10-04,2017-09-30,2017-09-11,2017-10-05,2017-10-01,2017-09-15,2017-10-02,2017-09-28,2017-09-09,0.35185,0.36721,0.39394,0.34582,0.43958
