#
# Transition date estimate for bitterootvalley
#
# Site: bitterootvalley
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2009
# Year max: 2011
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:55:10
# Spline RMSE gcc_mean: 0.00251
# Spline RMSE gcc_50: 0.00278
# Spline RMSE gcc_75: 0.00275
# Spline RMSE gcc_90: 0.00258
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bitterootvalley,DB,2000,rising,gcc_90,2010-04-19,2010-04-25,2010-05-17,2010-04-17,2010-04-24,2010-05-16,2010-04-21,2010-05-12,2010-05-18,0.3489,0.35942,0.37884,0.34156,0.41588
bitterootvalley,DB,2000,rising,gcc_90,2011-05-05,2011-05-14,2011-05-23,2011-05-02,2011-05-13,2011-05-22,2011-05-10,2011-05-16,2011-05-24,0.35212,0.36341,0.38761,0.34386,0.42891
bitterootvalley,DB,2000,rising,gcc_75,2010-04-19,2010-04-26,2010-05-18,2010-04-18,2010-04-24,2010-05-16,2010-04-21,2010-04-30,2010-05-19,0.34697,0.35785,0.37661,0.34064,0.4108
bitterootvalley,DB,2000,rising,gcc_75,2011-05-06,2011-05-15,2011-05-24,2011-05-04,2011-05-14,2011-05-22,2011-05-09,2011-05-17,2011-05-25,0.35006,0.36187,0.38538,0.34253,0.42577
bitterootvalley,DB,2000,rising,gcc_50,2010-04-19,2010-04-26,2010-05-19,2010-04-18,2010-04-24,2010-05-17,2010-04-21,2010-05-02,2010-05-20,0.34486,0.35541,0.37452,0.33928,0.40601
bitterootvalley,DB,2000,rising,gcc_50,2011-05-07,2011-05-17,2011-05-25,2011-05-05,2011-05-16,2011-05-24,2011-05-10,2011-05-18,2011-05-26,0.34876,0.36118,0.3829,0.34124,0.42207
bitterootvalley,DB,2000,rising,gcc_mean,2010-04-19,2010-04-26,2010-05-19,2010-04-18,2010-04-24,2010-05-17,2010-04-21,2010-05-01,2010-05-20,0.34543,0.35607,0.37545,0.33972,0.40619
bitterootvalley,DB,2000,rising,gcc_mean,2011-05-07,2011-05-16,2011-05-25,2011-05-05,2011-05-15,2011-05-24,2011-05-10,2011-05-18,2011-05-26,0.349,0.36044,0.38319,0.34156,0.42183
bitterootvalley,DB,2000,falling,gcc_90,2010-11-11,2010-11-05,2010-10-16,2010-11-13,2010-11-06,2010-10-18,2010-11-07,2010-11-03,2010-10-15,0.34894,0.35735,0.37801,0.3424,0.41255
bitterootvalley,DB,2000,falling,gcc_90,2009-10-19,2009-10-16,2009-10-12,2009-10-20,2009-10-17,2009-10-13,2009-10-17,2009-10-15,2009-10-11,0.34935,0.35868,0.38222,0.34233,0.42039
bitterootvalley,DB,2000,falling,gcc_75,2010-11-10,2010-11-05,2010-10-15,2010-11-12,2010-11-06,2010-10-18,2010-11-08,2010-11-03,2010-10-14,0.34825,0.35678,0.3774,0.34141,0.40997
bitterootvalley,DB,2000,falling,gcc_75,2009-10-20,2009-10-17,2009-10-12,2009-10-21,2009-10-18,2009-10-13,2009-10-18,2009-10-15,2009-10-11,0.34718,0.35629,0.37934,0.34043,0.41681
bitterootvalley,DB,2000,falling,gcc_50,2010-11-10,2010-11-05,2010-10-16,2010-11-12,2010-11-06,2010-10-18,2010-11-08,2010-11-03,2010-10-15,0.34688,0.35515,0.37381,0.34048,0.4056
bitterootvalley,DB,2000,falling,gcc_50,2009-10-20,2009-10-17,2009-10-12,2009-10-21,2009-10-18,2009-10-13,2009-10-19,2009-10-15,2009-10-11,0.34654,0.35528,0.37723,0.3394,0.41363
bitterootvalley,DB,2000,falling,gcc_mean,2010-11-10,2010-11-05,2010-10-16,2010-11-12,2010-11-06,2010-10-18,2010-11-08,2010-11-03,2010-10-15,0.34708,0.35518,0.37436,0.34066,0.40602
bitterootvalley,DB,2000,falling,gcc_mean,2009-10-20,2009-10-17,2009-10-12,2009-10-21,2009-10-18,2009-10-13,2009-10-19,2009-10-15,2009-10-11,0.34646,0.35541,0.37763,0.33956,0.41322
