#
# Transition date estimate for bostoncommon
#
# Site: bostoncommon
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:56:36
# Spline RMSE gcc_mean: 0.00436
# Spline RMSE gcc_50: 0.00281
# Spline RMSE gcc_75: 0.00282
# Spline RMSE gcc_90: 0.00311
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bostoncommon,DB,2000,rising,gcc_90,2016-05-01,2016-05-06,2016-05-12,2016-04-28,2016-05-05,2016-05-11,2016-05-03,2016-05-08,2016-05-13,0.40795,0.42044,0.4441,0.39963,0.48772
bostoncommon,DB,2000,rising,gcc_90,2017-04-21,2017-04-25,2017-05-01,2017-04-20,2017-04-24,2017-04-30,2017-04-24,2017-04-27,2017-05-02,0.39988,0.41133,0.43942,0.39267,0.48459
bostoncommon,DB,2000,rising,gcc_75,2016-04-22,2016-05-04,2016-05-12,2016-04-18,2016-05-03,2016-05-10,2016-04-27,2016-05-06,2016-05-13,0.39959,0.41092,0.43898,0.39054,0.48143
bostoncommon,DB,2000,rising,gcc_75,2017-04-22,2017-04-26,2017-05-02,2017-04-21,2017-04-25,2017-04-30,2017-04-24,2017-04-28,2017-05-03,0.39737,0.41024,0.43683,0.39006,0.47905
bostoncommon,DB,2000,rising,gcc_50,2016-04-20,2016-05-04,2016-05-12,2016-04-16,2016-05-03,2016-05-10,2016-04-25,2016-05-06,2016-05-13,0.39531,0.40748,0.4344,0.3867,0.47517
bostoncommon,DB,2000,rising,gcc_50,2017-04-22,2017-04-26,2017-05-02,2017-04-20,2017-04-25,2017-04-30,2017-04-24,2017-04-27,2017-05-03,0.39416,0.40596,0.43077,0.38639,0.47106
bostoncommon,DB,2000,rising,gcc_mean,2016-04-30,2016-05-06,2016-05-12,2016-04-23,2016-05-04,2016-05-10,2016-05-02,2016-05-08,2016-05-13,0.39731,0.40959,0.43281,0.38918,0.47137
bostoncommon,DB,2000,rising,gcc_mean,2017-04-22,2017-04-26,2017-05-01,2017-04-20,2017-04-25,2017-04-30,2017-04-24,2017-04-27,2017-05-02,0.39279,0.40464,0.42624,0.38507,0.46603
bostoncommon,DB,2000,falling,gcc_90,2017-11-17,2017-11-13,2017-11-07,2017-11-27,2017-11-14,2017-11-09,2017-11-15,2017-11-12,2017-11-06,0.40301,0.41408,0.43414,0.3959,0.46894
bostoncommon,DB,2000,falling,gcc_90,2016-11-23,2016-11-16,2016-11-06,2016-11-24,2016-11-17,2016-11-08,2016-11-20,2016-11-14,2016-11-05,0.40038,0.41305,0.43662,0.39358,0.4759
bostoncommon,DB,2000,falling,gcc_75,2017-11-17,2017-11-13,2017-11-07,2017-11-20,2017-11-14,2017-11-09,2017-11-15,2017-11-12,2017-11-06,0.3993,0.40984,0.42922,0.39292,0.46327
bostoncommon,DB,2000,falling,gcc_75,2016-11-22,2016-11-16,2016-11-06,2016-11-24,2016-11-17,2016-11-08,2016-11-20,2016-11-14,2016-11-05,0.39938,0.41015,0.43264,0.39155,0.47109
bostoncommon,DB,2000,falling,gcc_50,2017-11-14,2017-11-12,2017-11-06,2017-11-15,2017-11-13,2017-11-08,2017-11-13,2017-11-10,2017-11-05,0.39598,0.40359,0.42477,0.3895,0.45598
bostoncommon,DB,2000,falling,gcc_50,2016-11-21,2016-11-14,2016-11-06,2016-11-23,2016-11-15,2016-11-08,2016-11-18,2016-11-12,2016-11-05,0.39578,0.40777,0.42811,0.3895,0.46487
bostoncommon,DB,2000,falling,gcc_mean,2017-11-15,2017-11-13,2017-11-07,2017-11-17,2017-11-14,2017-11-09,2017-11-13,2017-11-11,2017-11-06,0.3952,0.40214,0.42192,0.38947,0.45277
bostoncommon,DB,2000,falling,gcc_mean,2016-11-23,2016-11-16,2016-11-07,2016-11-25,2016-11-18,2016-11-09,2016-11-19,2016-11-14,2016-11-05,0.39318,0.40472,0.42519,0.38688,0.46179
