#
# 3-day summary product time series for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 47.946702
# Lon: -91.495506
# Elev: 519
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-05-01
# Creation Time: 15:02:00
# Update Date: 2019-01-14
# Update Time: 05:18:24
# Final Processing Date:: 2019-01-14
# Final Processing Time:: 15:57:12
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2005-10-04,2005,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32255,0.32169,0.32772,0.3288,0.39393,0.388,0.39704,0.41518,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-05,2005,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32255,0.32169,0.32772,0.3288,0.39393,0.388,0.39704,0.41518,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-06,2005,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32334,0.32291,0.32793,0.32896,0.38436,0.38021,0.38886,0.40634,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-07,2005,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32399,0.32394,0.32807,0.32906,0.37555,0.37301,0.38133,0.39815,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-08,2005,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32449,0.32476,0.32814,0.32909,0.36751,0.36646,0.37449,0.39067,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-09,2005,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32481,0.32534,0.32813,0.32902,0.36022,0.36055,0.36834,0.38389,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-10,2005,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32495,0.32566,0.32803,0.32887,0.35368,0.35524,0.36283,0.37778,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-11,2005,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32495,0.32577,0.32787,0.32866,0.34789,0.3505,0.35793,0.3723,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-12,2005,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32485,0.32573,0.32766,0.32839,0.34284,0.34628,0.35359,0.3674,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-13,2005,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3247,0.32558,0.32741,0.32811,0.33852,0.34256,0.34976,0.36305,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-14,2005,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32453,0.32537,0.32716,0.32783,0.33495,0.3393,0.34641,0.35921,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-15,2005,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32435,0.32506,0.32687,0.32751,0.33244,0.33675,0.3438,0.35615,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-16,2005,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32414,0.32462,0.32653,0.32716,0.33114,0.33507,0.34211,0.35401,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-17,2005,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32394,0.32413,0.32619,0.32681,0.33077,0.33405,0.34112,0.3526,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-18,2005,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32379,0.32369,0.32588,0.32652,0.33102,0.3335,0.34061,0.3517,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-19,2005,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32372,0.32337,0.32566,0.32631,0.33161,0.33323,0.34039,0.35112,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-20,2005,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32377,0.32327,0.32557,0.32625,0.33225,0.33304,0.34024,0.35064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-21,2005,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32404,0.32346,0.32571,0.32646,0.33429,0.33422,0.34138,0.3514,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-22,2005,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32445,0.32383,0.326,0.32687,0.33767,0.33665,0.34373,0.35335,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-23,2005,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32475,0.32411,0.32619,0.32715,0.33993,0.33807,0.34517,0.35448,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-24,2005,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32491,0.32434,0.32623,0.32723,0.34107,0.33854,0.34575,0.35498,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-25,2005,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32506,0.32464,0.32625,0.32726,0.34254,0.33943,0.34681,0.35618,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-26,2005,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32518,0.32494,0.32624,0.32726,0.34407,0.34051,0.34809,0.35771,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-27,2005,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32525,0.32519,0.32618,0.32723,0.34542,0.34151,0.34934,0.35922,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-28,2005,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32524,0.32532,0.32607,0.32717,0.34635,0.34217,0.35029,0.36033,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-29,2005,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32513,0.32525,0.3259,0.32708,0.34659,0.34225,0.35069,0.36069,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-30,2005,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32481,0.32487,0.32554,0.32694,0.34576,0.34167,0.35053,0.36035,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-10-31,2005,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32434,0.32428,0.32505,0.32674,0.34423,0.34075,0.35009,0.35972,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2005-11-01,2005,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32397,0.3238,0.3247,0.3266,0.34288,0.33981,0.34955,0.35892,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
