#
# ROI List for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 2000
# Owner: bijan
# Creation Date: 2016-06-28
# Creation Time: 19:12:06
# Update Date: 2018-04-23
# Update Time: 10:35:04
# Description: Deciduous tree in foreground
#
start_date,start_time,end_date,end_time,maskfile,sample_image
2007-03-26,08:00:00,2007-04-06,11:59:59,boundarywaters_DB_2000_01.tif,boundarywaters_2007_03_24_150000.jpg
2007-04-06,12:00:00,2007-07-19,08:59:59,boundarywaters_DB_2000_02.tif,boundarywaters_2007_04_06_120000.jpg
2007-07-19,09:00:00,2008-04-24,05:59:59,boundarywaters_DB_2000_03.tif,boundarywaters_2007_07_19_090000.jpg
2008-04-24,06:00:00,2008-04-30,08:59:59,boundarywaters_DB_2000_04.tif,boundarywaters_2008_04_24_060000.jpg
2008-04-30,09:00:00,2009-05-12,08:59:59,boundarywaters_DB_2000_05.tif,boundarywaters_2008_04_30_090000.jpg
2009-05-12,09:00:00,2009-09-06,13:59:59,boundarywaters_DB_2000_06.tif,boundarywaters_2009_05_12_090000.jpg
2009-09-06,14:00:00,2009-09-25,16:59:59,boundarywaters_DB_2000_07.tif,boundarywaters_2009_09_06_140000.jpg
2009-09-25,17:00:00,2010-02-12,17:59:59,boundarywaters_DB_2000_08.tif,boundarywaters_2009_09_25_170000.jpg
2010-02-12,18:00:00,2010-05-14,13:59:59,boundarywaters_DB_2000_09.tif,boundarywaters_2010_02_12_180000.jpg
2010-05-14,14:00:00,2010-05-26,12:59:59,boundarywaters_DB_2000_10.tif,boundarywaters_2010_05_14_140000.jpg
2010-05-26,13:00:00,2010-07-06,10:59:59,boundarywaters_DB_2000_11.tif,boundarywaters_2010_05_26_130000.jpg
2010-07-06,11:00:00,2010-08-04,10:59:59,boundarywaters_DB_2000_12.tif,boundarywaters_2010_07_06_110000.jpg
2010-08-04,11:00:00,2010-08-17,10:59:59,boundarywaters_DB_2000_13.tif,boundarywaters_2010_08_04_110000.jpg
2010-08-17,11:00:00,2010-08-24,09:59:59,boundarywaters_DB_2000_14.tif,boundarywaters_2010_08_17_110000.jpg
2010-08-24,10:00:00,2010-08-24,14:00:59,boundarywaters_DB_2000_15.tif,boundarywaters_2010_08_24_100000.jpg
2010-08-24,14:01:00,2010-08-25,09:59:59,boundarywaters_DB_2000_16.tif,boundarywaters_2010_08_24_140100.jpg
2010-08-25,10:00:00,2010-09-25,15:59:59,boundarywaters_DB_2000_17.tif,boundarywaters_2010_08_25_100000.jpg
2010-09-25,16:00:00,2010-09-28,12:00:59,boundarywaters_DB_2000_18.tif,boundarywaters_2010_09_25_160000.jpg
2010-09-28,12:01:00,2011-01-25,10:59:59,boundarywaters_DB_2000_19.tif,boundarywaters_2010_09_28_120100.jpg
2011-01-25,11:00:00,2011-03-17,10:59:59,boundarywaters_DB_2000_20.tif,boundarywaters_2011_01_25_110000.jpg
2011-03-17,11:00:00,2011-06-21,08:59:59,boundarywaters_DB_2000_21.tif,boundarywaters_2011_03_17_110000.jpg
2011-06-21,09:00:00,2011-07-27,14:59:59,boundarywaters_DB_2000_22.tif,boundarywaters_2011_06_21_090000.jpg
2011-07-27,15:00:00,2011-08-03,14:59:59,boundarywaters_DB_2000_23.tif,boundarywaters_2011_07_27_150000.jpg
2011-08-03,15:00:00,2011-09-01,11:59:59,boundarywaters_DB_2000_24.tif,boundarywaters_2011_08_03_150000.jpg
2011-09-01,12:00:00,2012-01-17,09:00:53,boundarywaters_DB_2000_25.tif,boundarywaters_2011_09_01_120000.jpg
2012-01-17,09:00:54,2012-03-13,10:00:28,boundarywaters_DB_2000_26.tif,boundarywaters_2012_01_17_090054.jpg

