#
# Transition date estimate for bozeman
#
# Site: bozeman
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:58:19
# Spline RMSE gcc_mean: 0.00702
# Spline RMSE gcc_50: 0.00747
# Spline RMSE gcc_75: 0.00635
# Spline RMSE gcc_90: 0.00562
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bozeman,EN,1000,rising,gcc_90,2017-05-20,2017-05-23,2017-05-30,2017-05-19,2017-05-22,2017-05-29,2017-05-21,2017-05-24,2017-06-01,0.3192,0.32713,0.34077,0.31613,0.36431
bozeman,EN,1000,rising,gcc_90,2018-05-20,2018-05-22,2018-05-28,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.3193,0.32414,0.33857,0.31584,0.36118
bozeman,EN,1000,rising,gcc_75,2017-05-20,2017-05-23,2017-06-01,2017-05-19,2017-05-22,2017-05-31,2017-05-21,2017-05-26,2017-06-03,0.31752,0.32404,0.34009,0.31423,0.3629
bozeman,EN,1000,rising,gcc_75,2018-05-20,2018-05-23,2018-06-01,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.31759,0.32416,0.34006,0.31301,0.36624
bozeman,EN,1000,rising,gcc_50,2017-05-20,2017-05-24,2017-06-02,2017-05-19,2017-05-23,2017-06-01,2017-05-21,2017-05-25,2017-06-05,0.31527,0.32207,0.3347,0.31114,0.35757
bozeman,EN,1000,rising,gcc_50,2018-05-20,2018-05-24,2018-06-03,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.31527,0.32207,0.33716,0.31055,0.35927
bozeman,EN,1000,rising,gcc_mean,2017-05-20,2017-05-23,2017-06-03,2017-05-18,2017-05-22,2017-06-02,2017-05-21,2017-05-28,2017-06-06,0.3131,0.3194,0.33168,0.30972,0.35103
bozeman,EN,1000,rising,gcc_mean,2018-05-21,2018-05-24,2018-06-04,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.31527,0.32145,0.33349,0.31119,0.35514
bozeman,EN,1000,falling,gcc_90,2018-08-12,2018-08-04,2018-07-24,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.32443,0.33103,0.34491,0.31956,0.36932
bozeman,EN,1000,falling,gcc_90,2017-10-15,2017-10-14,2017-10-09,2018-07-18,2018-07-18,2018-07-18,2017-10-07,2017-10-07,2017-10-07,0.30697,0.31853,0.34405,0.3145,0.37078
bozeman,EN,1000,falling,gcc_75,2018-08-28,2018-08-05,2018-07-29,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.31637,0.32458,0.33986,0.31106,0.36613
bozeman,EN,1000,falling,gcc_75,2017-10-15,2017-10-14,2017-10-10,2018-07-18,2018-07-18,2018-07-18,2017-10-07,2017-10-07,2017-10-07,0.30522,0.31796,0.34386,0.31648,0.36835
bozeman,EN,1000,falling,gcc_50,2018-08-19,2018-08-03,2018-07-23,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.31415,0.32189,0.3386,0.30912,0.36524
bozeman,EN,1000,falling,gcc_50,2017-10-15,2017-10-14,2017-10-12,2018-07-18,2018-07-18,2018-07-18,2017-10-07,2017-10-07,2017-10-07,0.30249,0.31608,0.33563,0.31197,0.35889
bozeman,EN,1000,falling,gcc_mean,2018-08-19,2018-08-02,2018-07-22,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.31154,0.32047,0.34223,0.30712,0.36502
bozeman,EN,1000,falling,gcc_mean,2017-10-15,2017-10-14,2017-10-11,2018-07-18,2018-07-18,2018-07-18,2017-10-07,2017-10-07,2017-10-07,0.30266,0.31376,0.33188,0.30853,0.35393
