#
# Transition date estimate for bozeman
#
# Site: bozeman
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 15:58:41
# Spline RMSE gcc_mean: 0.00262
# Spline RMSE gcc_50: 0.00267
# Spline RMSE gcc_75: 0.00242
# Spline RMSE gcc_90: 0.00231
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bozeman,GR,1000,rising,gcc_90,2017-05-21,2017-05-23,2017-05-31,2017-05-20,2017-05-22,2017-05-29,2017-05-22,2017-05-24,2017-06-01,0.32189,0.32747,0.34032,0.318,0.36155
bozeman,GR,1000,rising,gcc_90,2018-05-21,2018-05-23,2018-06-01,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.32185,0.32787,0.34238,0.31806,0.36286
bozeman,GR,1000,rising,gcc_75,2017-05-21,2017-05-23,2017-05-31,2017-05-20,2017-05-22,2017-05-29,2017-05-22,2017-05-24,2017-06-01,0.32118,0.32669,0.33982,0.31733,0.36081
bozeman,GR,1000,rising,gcc_75,2018-05-21,2018-05-23,2018-05-31,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.32118,0.32711,0.33992,0.31743,0.36236
bozeman,GR,1000,rising,gcc_50,2017-05-21,2017-05-23,2017-05-31,2017-05-20,2017-05-22,2017-05-29,2017-05-22,2017-05-25,2017-06-01,0.31944,0.32454,0.33864,0.31643,0.36
bozeman,GR,1000,rising,gcc_50,2018-05-21,2018-05-23,2018-06-01,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.31949,0.32495,0.34036,0.31651,0.36151
bozeman,GR,1000,rising,gcc_mean,2017-05-21,2017-05-24,2017-05-31,2017-05-20,2017-05-23,2017-05-29,2017-05-22,2017-05-25,2017-06-01,0.31921,0.32698,0.33853,0.31623,0.35969
bozeman,GR,1000,rising,gcc_mean,2018-05-21,2018-05-24,2018-06-01,2017-10-07,2017-10-07,2017-10-07,2018-07-18,2018-07-18,2018-07-18,0.31925,0.32728,0.34023,0.31629,0.36124
bozeman,GR,1000,falling,gcc_90,2018-08-05,2018-07-31,2018-07-21,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.31748,0.3251,0.34442,0.31348,0.36212
bozeman,GR,1000,falling,gcc_90,2017-08-04,2017-07-31,2017-07-20,2017-08-05,2017-08-01,2017-07-21,2017-08-03,2017-07-28,2017-07-19,0.31866,0.32499,0.33871,0.31386,0.36292
bozeman,GR,1000,falling,gcc_75,2018-08-05,2018-07-31,2018-07-22,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.3171,0.3238,0.33729,0.31246,0.36012
bozeman,GR,1000,falling,gcc_75,2017-08-05,2017-07-30,2017-07-20,2017-08-06,2017-07-31,2017-07-21,2017-08-03,2017-07-28,2017-07-19,0.3171,0.32498,0.33773,0.31298,0.36112
bozeman,GR,1000,falling,gcc_50,2018-08-06,2018-08-01,2018-07-22,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.31501,0.32141,0.33658,0.31069,0.35771
bozeman,GR,1000,falling,gcc_50,2017-08-06,2017-07-31,2017-07-20,2017-08-07,2017-08-01,2017-07-22,2017-08-03,2017-07-28,2017-07-19,0.31501,0.32263,0.33654,0.31121,0.35877
bozeman,GR,1000,falling,gcc_mean,2018-08-06,2018-07-31,2018-07-22,2018-09-29,2018-09-29,2018-09-29,2018-07-18,2018-07-18,2018-07-18,0.31361,0.32147,0.33654,0.30966,0.35782
bozeman,GR,1000,falling,gcc_mean,2017-08-05,2017-07-31,2017-07-20,2017-08-06,2017-08-01,2017-07-22,2017-08-03,2017-07-29,2017-07-19,0.31455,0.32141,0.33638,0.31022,0.35882
