#
# Transition date estimate for cafboydnorthltar01
#
# Site: cafboydnorthltar01
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2018
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:01:14
# Spline RMSE gcc_mean: 0.00338
# Spline RMSE gcc_50: 0.00369
# Spline RMSE gcc_75: 0.0038
# Spline RMSE gcc_90: 0.00386
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
cafboydnorthltar01,AG,1000,rising,gcc_90,2018-03-28,2018-04-05,2018-04-15,2018-03-27,2018-04-04,2018-04-13,2018-03-29,2018-04-06,2018-04-16,0.36935,0.38081,0.40025,0.3623,0.4365
cafboydnorthltar01,AG,1000,rising,gcc_90,2018-05-28,2018-06-01,2018-06-14,2018-05-27,2018-05-31,2018-06-13,2018-05-30,2018-06-03,2018-06-15,0.38173,0.39184,0.41171,0.37536,0.44689
cafboydnorthltar01,AG,1000,rising,gcc_75,2018-03-28,2018-04-05,2018-04-16,2018-03-27,2018-04-04,2018-04-14,2018-03-29,2018-04-06,2018-04-17,0.36829,0.37956,0.3992,0.36166,0.43531
cafboydnorthltar01,AG,1000,rising,gcc_75,2018-05-28,2018-06-01,2018-06-15,2018-05-27,2018-05-31,2018-06-13,2018-05-30,2018-06-03,2018-06-16,0.37982,0.39043,0.41379,0.37419,0.44491
cafboydnorthltar01,AG,1000,rising,gcc_50,2018-03-28,2018-04-05,2018-04-16,2018-03-27,2018-04-04,2018-04-14,2018-03-29,2018-04-06,2018-04-18,0.36753,0.37812,0.39754,0.36069,0.43321
cafboydnorthltar01,AG,1000,rising,gcc_50,2018-05-28,2018-06-01,2018-06-14,2018-05-27,2018-05-31,2018-06-13,2018-05-30,2018-06-03,2018-06-15,0.37764,0.38756,0.40688,0.37266,0.44046
cafboydnorthltar01,AG,1000,rising,gcc_mean,2018-03-27,2018-04-05,2018-04-15,2018-03-26,2018-04-04,2018-04-13,2018-03-28,2018-04-06,2018-04-17,0.36582,0.37821,0.39684,0.36025,0.43249
cafboydnorthltar01,AG,1000,rising,gcc_mean,2018-05-28,2018-06-01,2018-06-14,2018-05-27,2018-05-31,2018-06-13,2018-05-29,2018-06-02,2018-06-15,0.37821,0.3882,0.40685,0.3719,0.43994
cafboydnorthltar01,AG,1000,falling,gcc_90,2018-08-10,2018-08-08,2018-08-04,2018-08-11,2018-08-09,2018-08-05,2018-08-09,2018-08-07,2018-08-03,0.3597,0.37397,0.39979,0.34986,0.44842
cafboydnorthltar01,AG,1000,falling,gcc_90,2018-05-04,2018-05-03,2018-04-30,2018-05-05,2018-05-04,2018-05-02,2018-05-03,2018-05-01,2018-04-29,0.37106,0.37891,0.43074,0.36749,0.45117
cafboydnorthltar01,AG,1000,falling,gcc_75,2018-08-11,2018-08-09,2018-08-04,2018-08-12,2018-08-10,2018-08-05,2018-08-09,2018-08-07,2018-08-03,0.35528,0.36554,0.39848,0.3486,0.44588
cafboydnorthltar01,AG,1000,falling,gcc_75,2018-05-04,2018-05-03,2018-04-30,2018-05-05,2018-05-04,2018-05-02,2018-05-03,2018-05-01,2018-04-29,0.36995,0.37759,0.42864,0.36654,0.44934
cafboydnorthltar01,AG,1000,falling,gcc_50,2018-08-11,2018-08-09,2018-08-04,2018-08-12,2018-08-10,2018-08-05,2018-08-10,2018-08-07,2018-08-03,0.3543,0.36429,0.39653,0.34692,0.44094
cafboydnorthltar01,AG,1000,falling,gcc_50,2018-05-04,2018-05-03,2018-04-30,2018-05-05,2018-05-04,2018-05-01,2018-05-03,2018-05-01,2018-04-29,0.36835,0.37573,0.4257,0.3653,0.44646
cafboydnorthltar01,AG,1000,falling,gcc_mean,2018-08-11,2018-08-09,2018-08-04,2018-08-12,2018-08-10,2018-08-05,2018-08-09,2018-08-07,2018-08-03,0.35353,0.36303,0.39597,0.34694,0.44067
cafboydnorthltar01,AG,1000,falling,gcc_mean,2018-05-04,2018-05-02,2018-04-30,2018-05-05,2018-05-03,2018-05-01,2018-05-02,2018-05-01,2018-04-29,0.36755,0.38286,0.42117,0.36542,0.44392
