#
# Transition date estimate for cafcookeastltar01
#
# Site: cafcookeastltar01
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:01:29
# Spline RMSE gcc_mean: 0.00202
# Spline RMSE gcc_50: 0.00208
# Spline RMSE gcc_75: 0.00206
# Spline RMSE gcc_90: 0.00214
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
cafcookeastltar01,AG,1000,rising,gcc_90,2017-05-17,2017-05-22,2017-05-30,2017-05-16,2017-05-21,2017-05-29,2017-05-19,2017-05-24,2017-05-31,0.36253,0.3831,0.42149,0.35254,0.48696
cafcookeastltar01,AG,1000,rising,gcc_90,2018-03-31,2018-04-09,2018-04-21,2018-03-30,2018-04-08,2018-04-20,2018-04-03,2018-04-11,2018-04-22,0.34699,0.36174,0.38901,0.33774,0.43856
cafcookeastltar01,AG,1000,rising,gcc_75,2017-05-18,2017-05-22,2017-05-30,2017-05-17,2017-05-21,2017-05-28,2017-05-19,2017-05-24,2017-05-31,0.36244,0.378,0.41733,0.35037,0.47726
cafcookeastltar01,AG,1000,rising,gcc_75,2018-03-31,2018-04-09,2018-04-21,2018-03-30,2018-04-08,2018-04-20,2018-04-02,2018-04-11,2018-04-22,0.34651,0.36041,0.38713,0.33669,0.43553
cafcookeastltar01,AG,1000,rising,gcc_50,2017-05-18,2017-05-22,2017-05-29,2017-05-17,2017-05-21,2017-05-27,2017-05-20,2017-05-24,2017-05-30,0.3592,0.37424,0.40901,0.35035,0.46253
cafcookeastltar01,AG,1000,rising,gcc_50,2018-03-30,2018-04-09,2018-04-21,2018-03-29,2018-04-08,2018-04-20,2018-04-02,2018-04-11,2018-06-03,0.34486,0.35886,0.384,0.33544,0.43192
cafcookeastltar01,AG,1000,rising,gcc_mean,2017-05-18,2017-05-22,2017-05-29,2017-05-17,2017-05-21,2017-05-27,2017-05-19,2017-05-24,2017-05-30,0.35954,0.37476,0.40883,0.34915,0.461
cafcookeastltar01,AG,1000,rising,gcc_mean,2018-03-30,2018-04-09,2018-04-21,2018-03-29,2018-04-08,2018-04-20,2018-04-02,2018-04-11,2018-04-22,0.34438,0.35888,0.38352,0.33548,0.43015
cafcookeastltar01,AG,1000,falling,gcc_90,2018-08-09,2018-08-05,2018-07-31,2018-08-10,2018-08-06,2018-08-01,2018-08-07,2018-08-04,2018-07-30,0.33143,0.34724,0.38141,0.32077,0.43704
cafcookeastltar01,AG,1000,falling,gcc_90,2017-07-30,2017-07-25,2017-07-16,2017-07-31,2017-07-26,2017-07-18,2017-07-28,2017-07-23,2017-07-15,0.33318,0.35695,0.40507,0.32027,0.48363
cafcookeastltar01,AG,1000,falling,gcc_75,2018-08-09,2018-08-05,2018-07-30,2018-08-10,2018-08-06,2018-08-01,2018-08-07,2018-08-04,2018-07-29,0.32849,0.34346,0.38185,0.31807,0.43449
cafcookeastltar01,AG,1000,falling,gcc_75,2017-07-29,2017-07-25,2017-07-16,2017-07-30,2017-07-26,2017-07-18,2017-07-28,2017-07-23,2017-07-15,0.33382,0.35295,0.40118,0.31864,0.47694
cafcookeastltar01,AG,1000,falling,gcc_50,2018-08-08,2018-08-04,2018-07-30,2018-08-09,2018-08-05,2018-07-31,2018-08-06,2018-08-03,2018-07-29,0.32716,0.34495,0.37693,0.31642,0.4319
cafcookeastltar01,AG,1000,falling,gcc_50,2017-07-29,2017-07-25,2017-07-17,2017-07-30,2017-07-26,2017-07-18,2017-07-28,2017-07-23,2017-07-16,0.33043,0.34845,0.39185,0.31652,0.46245
cafcookeastltar01,AG,1000,falling,gcc_mean,2018-08-08,2018-08-04,2018-07-30,2018-08-09,2018-08-05,2018-07-31,2018-08-07,2018-08-03,2018-07-29,0.32745,0.34494,0.37657,0.31673,0.42978
cafcookeastltar01,AG,1000,falling,gcc_mean,2017-07-29,2017-07-25,2017-07-17,2017-07-30,2017-07-26,2017-07-18,2017-07-28,2017-07-24,2017-07-16,0.33056,0.34881,0.39056,0.31628,0.4596
