#
# Transition date estimate for canadaOA
#
# Site: canadaOA
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:02:21
# Spline RMSE gcc_mean: 0.00286
# Spline RMSE gcc_50: 0.00289
# Spline RMSE gcc_75: 0.00285
# Spline RMSE gcc_90: 0.00311
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOA,DB,1000,rising,gcc_90,2012-05-07,2012-05-10,2012-05-15,2012-05-06,2012-05-09,2012-05-13,2012-05-09,2012-05-12,2012-05-16,0.31817,0.33126,0.35762,0.31324,0.39376
canadaOA,DB,1000,rising,gcc_90,2013-05-11,2013-05-13,2013-05-17,2013-05-10,2013-05-12,2013-05-16,2013-05-13,2013-05-15,2013-05-18,0.3206,0.332,0.36018,0.31585,0.40082
canadaOA,DB,1000,rising,gcc_90,2014-05-17,2014-05-19,2014-05-24,2014-05-16,2014-05-18,2014-05-23,2014-05-19,2014-05-21,2014-05-25,0.32097,0.33219,0.3598,0.3157,0.40389
canadaOA,DB,1000,rising,gcc_90,2015-05-12,2015-05-15,2015-05-19,2015-05-11,2015-05-14,2015-05-17,2015-05-14,2015-05-16,2015-05-20,0.31644,0.33384,0.36079,0.31136,0.40231
canadaOA,DB,1000,rising,gcc_90,2016-05-01,2016-05-04,2016-05-08,2016-04-30,2016-05-03,2016-05-07,2016-05-04,2016-05-06,2016-05-09,0.31687,0.32919,0.35094,0.31287,0.37989
canadaOA,DB,1000,rising,gcc_75,2012-05-07,2012-05-10,2012-05-15,2012-05-06,2012-05-09,2012-05-13,2012-05-09,2012-05-12,2012-05-16,0.31655,0.32923,0.35502,0.31252,0.38874
canadaOA,DB,1000,rising,gcc_75,2013-05-11,2013-05-13,2013-05-17,2013-05-10,2013-05-12,2013-05-16,2013-05-13,2013-05-15,2013-05-18,0.31822,0.32941,0.35691,0.31488,0.39499
canadaOA,DB,1000,rising,gcc_75,2014-05-19,2014-05-21,2014-05-26,2014-05-18,2014-05-20,2014-05-25,2014-05-20,2014-05-23,2014-05-27,0.32048,0.33058,0.35882,0.3137,0.39826
canadaOA,DB,1000,rising,gcc_75,2015-05-12,2015-05-14,2015-05-19,2015-05-11,2015-05-13,2015-05-17,2015-05-14,2015-05-16,2015-05-20,0.31432,0.32484,0.35704,0.30946,0.39497
canadaOA,DB,1000,rising,gcc_75,2016-05-01,2016-05-03,2016-05-08,2016-04-30,2016-05-02,2016-05-07,2016-05-03,2016-05-06,2016-05-09,0.31622,0.32375,0.35004,0.31178,0.37745
canadaOA,DB,1000,rising,gcc_50,2012-05-08,2012-05-11,2012-05-16,2012-05-07,2012-05-10,2012-05-14,2012-05-10,2012-05-13,2012-05-17,0.31637,0.32749,0.35092,0.31163,0.38346
canadaOA,DB,1000,rising,gcc_50,2013-05-12,2013-05-14,2013-05-17,2013-05-11,2013-05-13,2013-05-16,2013-05-13,2013-05-15,2013-05-18,0.31854,0.33137,0.35045,0.31279,0.38747
canadaOA,DB,1000,rising,gcc_50,2014-05-20,2014-05-22,2014-05-26,2014-05-19,2014-05-21,2014-05-25,2014-05-21,2014-05-24,2014-05-27,0.31968,0.32948,0.35247,0.31263,0.39182
canadaOA,DB,1000,rising,gcc_50,2015-05-12,2015-05-15,2015-05-19,2015-05-11,2015-05-14,2015-05-17,2015-05-14,2015-05-16,2015-05-20,0.31055,0.32582,0.34955,0.30614,0.38679
canadaOA,DB,1000,rising,gcc_50,2016-05-01,2016-05-03,2016-05-07,2016-04-29,2016-05-02,2016-05-06,2016-05-04,2016-05-06,2016-05-09,0.31483,0.32182,0.34105,0.31063,0.37124
canadaOA,DB,1000,rising,gcc_mean,2012-05-08,2012-05-11,2012-05-15,2012-05-07,2012-05-10,2012-05-14,2012-05-10,2012-05-12,2012-05-16,0.31612,0.3277,0.34776,0.31125,0.38142
canadaOA,DB,1000,rising,gcc_mean,2013-05-12,2013-05-13,2013-05-17,2013-05-11,2013-05-12,2013-05-16,2013-05-13,2013-05-15,2013-05-18,0.31817,0.32413,0.34982,0.31254,0.38504
canadaOA,DB,1000,rising,gcc_mean,2014-05-20,2014-05-22,2014-05-26,2014-05-19,2014-05-21,2014-05-25,2014-05-21,2014-05-24,2014-05-27,0.31901,0.32865,0.35117,0.31217,0.38891
canadaOA,DB,1000,rising,gcc_mean,2015-05-12,2015-05-15,2015-05-19,2015-05-11,2015-05-14,2015-05-17,2015-05-14,2015-05-16,2015-05-20,0.31024,0.32501,0.34787,0.30592,0.38366
canadaOA,DB,1000,rising,gcc_mean,2016-05-01,2016-05-03,2016-05-07,2016-04-29,2016-05-02,2016-05-06,2016-05-03,2016-05-06,2016-05-09,0.31431,0.32138,0.34085,0.30988,0.37074
canadaOA,DB,1000,falling,gcc_90,2015-10-04,2015-10-01,2015-09-25,2015-10-05,2015-10-02,2015-09-27,2015-10-02,2015-09-30,2015-09-24,0.31575,0.3283,0.35198,0.31177,0.38715
canadaOA,DB,1000,falling,gcc_90,2014-09-27,2014-09-24,2014-09-17,2014-09-28,2014-09-25,2014-09-19,2014-09-26,2014-09-22,2014-09-16,0.32272,0.33241,0.35932,0.31462,0.39637
canadaOA,DB,1000,falling,gcc_90,2013-10-07,2013-10-05,2013-09-29,2013-10-08,2013-10-06,2013-10-01,2013-10-06,2013-10-03,2013-09-28,0.32125,0.32981,0.35386,0.31376,0.39053
canadaOA,DB,1000,falling,gcc_90,2012-09-30,2012-09-27,2012-09-22,2012-10-01,2012-09-28,2012-09-24,2012-09-28,2012-09-25,2012-09-21,0.31659,0.3285,0.35087,0.31314,0.38572
canadaOA,DB,1000,falling,gcc_90,2011-10-08,2011-10-06,2011-09-30,2011-11-16,2011-11-16,2011-11-16,2011-09-26,2011-09-26,2011-09-26,0.32532,0.33291,0.35321,0.31988,0.38318
canadaOA,DB,1000,falling,gcc_75,2015-10-04,2015-10-01,2015-09-26,2015-10-05,2015-10-02,2015-09-28,2015-10-02,2015-09-30,2015-09-25,0.31374,0.32641,0.34768,0.30976,0.38203
canadaOA,DB,1000,falling,gcc_75,2014-09-27,2014-09-24,2014-09-18,2014-09-28,2014-09-25,2014-09-19,2014-09-25,2014-09-22,2014-09-17,0.32077,0.33005,0.35237,0.3136,0.39101
canadaOA,DB,1000,falling,gcc_75,2013-10-07,2013-10-04,2013-09-29,2013-10-08,2013-10-05,2013-10-01,2013-10-05,2013-10-03,2013-09-28,0.31944,0.33118,0.35039,0.31435,0.38486
canadaOA,DB,1000,falling,gcc_75,2012-09-30,2012-09-27,2012-09-22,2012-10-01,2012-09-28,2012-09-24,2012-09-28,2012-09-25,2012-09-21,0.31336,0.32557,0.348,0.30981,0.38159
