#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: DN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:03:39
# Spline RMSE gcc_mean: 0.00385
# Spline RMSE gcc_50: 0.00396
# Spline RMSE gcc_75: 0.00404
# Spline RMSE gcc_90: 0.00413
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,DN,1000,rising,gcc_90,2012-05-04,2012-05-12,2012-05-23,2012-04-29,2012-05-11,2012-05-21,2012-05-08,2012-05-15,2012-05-24,0.33496,0.34576,0.36755,0.32766,0.4069
canadaOBS,DN,1000,rising,gcc_90,2013-05-09,2013-05-16,2013-05-29,2013-05-03,2013-05-15,2013-05-21,2013-05-13,2013-05-18,2013-06-11,0.33327,0.34313,0.36275,0.32712,0.39646
canadaOBS,DN,1000,rising,gcc_90,2014-05-18,2014-05-22,2014-05-28,2014-05-16,2014-05-21,2014-05-27,2014-05-20,2014-05-24,2014-05-29,0.33425,0.34521,0.36769,0.32622,0.40882
canadaOBS,DN,1000,rising,gcc_90,2015-05-10,2015-05-16,2015-05-21,2015-05-03,2015-05-15,2015-05-20,2015-05-14,2015-05-17,2015-05-22,0.33447,0.3452,0.36442,0.32804,0.39838
canadaOBS,DN,1000,rising,gcc_90,2016-04-29,2016-05-06,2016-05-16,2016-04-25,2016-05-04,2016-05-14,2016-05-02,2016-05-10,2016-05-17,0.33287,0.34338,0.36473,0.32665,0.39827
canadaOBS,DN,1000,rising,gcc_90,2017-05-02,2017-05-17,2017-05-24,2017-04-27,2017-05-15,2017-05-22,2017-05-06,2017-05-19,2017-05-25,0.33322,0.34634,0.36929,0.32535,0.41034
canadaOBS,DN,1000,rising,gcc_90,2018-05-05,2018-05-11,2018-05-18,2018-05-01,2018-05-10,2018-05-17,2018-05-07,2018-05-13,2018-05-19,0.3352,0.34608,0.36916,0.32705,0.40948
canadaOBS,DN,1000,rising,gcc_75,2012-05-04,2012-05-12,2012-05-23,2012-04-26,2012-05-11,2012-05-20,2012-05-08,2012-05-14,2012-05-24,0.33407,0.34483,0.36615,0.32686,0.40243
canadaOBS,DN,1000,rising,gcc_75,2013-05-10,2013-05-16,2013-05-26,2013-05-06,2013-05-15,2013-05-21,2013-05-13,2013-05-18,2013-06-11,0.33283,0.34183,0.3607,0.32645,0.39409
canadaOBS,DN,1000,rising,gcc_75,2014-05-17,2014-05-22,2014-05-28,2014-05-16,2014-05-21,2014-05-26,2014-05-20,2014-05-24,2014-05-29,0.33139,0.3439,0.36584,0.32522,0.40331
canadaOBS,DN,1000,rising,gcc_75,2015-05-10,2015-05-16,2015-05-21,2015-05-05,2015-05-15,2015-05-20,2015-05-14,2015-05-17,2015-05-22,0.33352,0.34401,0.36206,0.32732,0.39675
canadaOBS,DN,1000,rising,gcc_75,2016-04-30,2016-05-06,2016-05-16,2016-04-27,2016-05-04,2016-05-14,2016-05-03,2016-05-10,2016-05-17,0.33285,0.34188,0.36315,0.32598,0.39596
canadaOBS,DN,1000,rising,gcc_75,2017-05-03,2017-05-17,2017-05-24,2017-04-29,2017-05-15,2017-05-22,2017-05-06,2017-05-19,2017-05-25,0.33256,0.34481,0.3679,0.32458,0.40692
canadaOBS,DN,1000,rising,gcc_75,2018-05-05,2018-05-11,2018-05-18,2018-05-03,2018-05-10,2018-05-17,2018-05-08,2018-05-13,2018-05-19,0.33348,0.3449,0.36695,0.32644,0.4069
canadaOBS,DN,1000,rising,gcc_50,2012-05-03,2012-05-11,2012-05-22,2012-04-21,2012-05-10,2012-05-20,2012-05-07,2012-05-13,2012-05-24,0.3326,0.34228,0.36148,0.32565,0.39728
canadaOBS,DN,1000,rising,gcc_50,2013-05-10,2013-05-16,2013-05-25,2013-05-06,2013-05-15,2013-05-21,2013-05-13,2013-05-18,2013-06-11,0.33178,0.34094,0.35887,0.3253,0.39177
canadaOBS,DN,1000,rising,gcc_50,2014-05-17,2014-05-22,2014-05-28,2014-05-16,2014-05-21,2014-05-26,2014-05-19,2014-05-23,2014-05-29,0.33008,0.3426,0.36371,0.32401,0.39967
canadaOBS,DN,1000,rising,gcc_50,2015-05-11,2015-05-16,2015-05-21,2015-05-07,2015-05-15,2015-05-20,2015-05-14,2015-05-17,2015-05-22,0.33276,0.34217,0.36005,0.32617,0.39259
canadaOBS,DN,1000,rising,gcc_50,2016-04-30,2016-05-07,2016-05-16,2016-04-27,2016-05-05,2016-05-14,2016-05-03,2016-05-10,2016-05-17,0.33146,0.34159,0.36122,0.32478,0.39317
canadaOBS,DN,1000,rising,gcc_50,2017-05-04,2017-05-17,2017-05-24,2017-05-01,2017-05-16,2017-05-22,2017-05-07,2017-05-19,2017-05-25,0.33169,0.34302,0.3656,0.32378,0.40351
canadaOBS,DN,1000,rising,gcc_50,2018-05-05,2018-05-11,2018-05-18,2018-05-03,2018-05-10,2018-05-17,2018-05-08,2018-05-13,2018-05-19,0.33197,0.34328,0.36445,0.32538,0.40164
canadaOBS,DN,1000,rising,gcc_mean,2012-05-03,2012-05-12,2012-05-22,2012-04-25,2012-05-10,2012-05-20,2012-05-07,2012-05-14,2012-05-23,0.33212,0.34321,0.36199,0.32527,0.39715
canadaOBS,DN,1000,rising,gcc_mean,2013-05-10,2013-05-16,2013-05-25,2013-05-07,2013-05-15,2013-05-21,2013-05-13,2013-05-18,2013-06-11,0.33083,0.34011,0.35926,0.32506,0.38972
canadaOBS,DN,1000,rising,gcc_mean,2014-05-18,2014-05-22,2014-05-28,2014-05-17,2014-05-21,2014-05-26,2014-05-20,2014-05-23,2014-05-29,0.33106,0.3421,0.36388,0.32388,0.3996
canadaOBS,DN,1000,rising,gcc_mean,2015-05-11,2015-05-16,2015-05-21,2015-05-07,2015-05-15,2015-05-20,2015-05-14,2015-05-17,2015-05-22,0.33206,0.34145,0.35979,0.32588,0.39155
canadaOBS,DN,1000,rising,gcc_mean,2016-04-30,2016-05-06,2016-05-15,2016-04-28,2016-05-05,2016-05-13,2016-05-03,2016-05-10,2016-05-16,0.33052,0.33926,0.35811,0.32442,0.39017
canadaOBS,DN,1000,rising,gcc_mean,2017-05-04,2017-05-17,2017-05-24,2017-05-01,2017-05-16,2017-05-22,2017-05-07,2017-05-19,2017-05-25,0.33108,0.3424,0.36523,0.3235,0.40195
canadaOBS,DN,1000,rising,gcc_mean,2018-05-06,2018-05-11,2018-05-18,2018-05-04,2018-05-10,2018-05-16,2018-05-08,2018-05-13,2018-05-19,0.33236,0.34234,0.36432,0.32513,0.39979
canadaOBS,DN,1000,falling,gcc_90,2018-10-09,2018-10-05,2018-09-28,2018-10-10,2018-10-06,2018-09-30,2018-10-07,2018-10-03,2018-09-27,0.33785,0.34864,0.3724,0.33102,0.41003
canadaOBS,DN,1000,falling,gcc_90,2017-10-07,2017-10-05,2017-09-30,2017-10-08,2017-10-06,2017-10-01,2017-10-05,2017-10-03,2017-09-29,0.33408,0.34487,0.36959,0.32911,0.40972
