#
# Transition date estimate for contactcreek
#
# Site: contactcreek
# Veg Type: TN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2010
# Year max: 2013
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:06:31
# Spline RMSE gcc_mean: 0.00215
# Spline RMSE gcc_50: 0.00231
# Spline RMSE gcc_75: 0.00243
# Spline RMSE gcc_90: 0.0023
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
contactcreek,TN,1000,rising,gcc_90,2011-06-23,2011-07-01,2011-07-14,2011-06-16,2011-06-28,2011-07-11,2011-06-27,2011-07-09,2011-07-18,0.33625,0.3398,0.3465,0.33381,0.35904
contactcreek,TN,1000,rising,gcc_90,2012-05-31,2012-06-05,2012-06-27,2012-05-29,2012-06-02,2012-06-21,2012-06-03,2012-06-08,2012-07-02,0.33178,0.33522,0.34081,0.33005,0.35106
contactcreek,TN,1000,rising,gcc_90,2013-05-28,2013-06-21,2013-06-29,2013-05-26,2013-06-18,2013-06-26,2013-05-31,2013-06-24,2013-06-30,0.333,0.33631,0.34384,0.33061,0.35516
contactcreek,TN,1000,rising,gcc_75,2011-06-23,2011-07-03,2011-07-15,2011-06-18,2011-06-30,2011-07-11,2011-06-27,2011-07-06,2011-07-17,0.33586,0.33927,0.34547,0.33365,0.35632
contactcreek,TN,1000,rising,gcc_75,2012-05-31,2012-06-06,2012-07-01,2012-05-29,2012-06-03,2012-06-24,2012-06-03,2012-06-10,2012-07-07,0.3315,0.33486,0.34054,0.3297,0.3512
contactcreek,TN,1000,rising,gcc_75,2013-05-28,2013-06-21,2013-06-29,2013-05-25,2013-06-19,2013-06-27,2013-06-01,2013-06-24,2013-07-01,0.33283,0.33619,0.34248,0.33061,0.35433
contactcreek,TN,1000,rising,gcc_50,2011-06-24,2011-07-04,2011-07-15,2011-06-20,2011-07-01,2011-07-12,2011-06-29,2011-07-07,2011-07-17,0.33519,0.33851,0.34428,0.33324,0.35449
contactcreek,TN,1000,rising,gcc_50,2012-05-31,2012-06-05,2012-07-02,2012-05-29,2012-06-03,2012-06-25,2012-06-02,2012-06-09,2012-07-06,0.33115,0.33405,0.33946,0.32932,0.34938
contactcreek,TN,1000,rising,gcc_50,2013-06-21,2013-06-25,2013-07-02,2013-06-19,2013-06-24,2013-06-30,2013-06-24,2013-06-28,2013-07-04,0.33532,0.33802,0.34339,0.33374,0.35304
contactcreek,TN,1000,rising,gcc_mean,2011-06-24,2011-07-03,2011-07-15,2011-06-20,2011-07-01,2011-07-12,2011-06-28,2011-07-06,2011-07-16,0.33529,0.33818,0.34433,0.33325,0.35449
contactcreek,TN,1000,rising,gcc_mean,2012-05-30,2012-06-05,2012-06-30,2012-05-28,2012-06-02,2012-06-23,2012-06-02,2012-06-08,2012-07-04,0.33077,0.33418,0.33932,0.32929,0.34904
contactcreek,TN,1000,rising,gcc_mean,2013-06-21,2013-06-25,2013-07-03,2013-06-18,2013-06-24,2013-06-30,2013-06-23,2013-06-28,2013-07-04,0.33553,0.33823,0.34398,0.33368,0.35318
contactcreek,TN,1000,falling,gcc_90,2013-10-25,2013-09-25,2013-09-15,2013-11-01,2013-09-27,2013-09-18,2013-10-21,2013-09-22,2013-09-14,0.33429,0.33744,0.34522,0.33175,0.35719
contactcreek,TN,1000,falling,gcc_90,2012-10-14,2012-10-09,2012-09-27,2012-10-16,2012-10-11,2012-09-30,2012-10-11,2012-10-06,2012-09-25,0.33337,0.33701,0.34266,0.33185,0.35279
contactcreek,TN,1000,falling,gcc_90,2011-10-16,2011-10-05,2011-09-04,2011-10-20,2011-10-07,2011-09-08,2011-10-09,2011-10-01,2011-08-28,0.33329,0.33697,0.34434,0.33081,0.35698
contactcreek,TN,1000,falling,gcc_90,2010-10-18,2010-10-10,2010-10-02,2010-10-22,2010-10-12,2010-10-05,2010-10-14,2010-10-07,2010-09-30,0.33272,0.33603,0.34282,0.33042,0.35447
contactcreek,TN,1000,falling,gcc_75,2013-10-27,2013-09-25,2013-09-17,2013-10-31,2013-09-27,2013-09-20,2013-10-19,2013-09-22,2013-09-15,0.33362,0.3372,0.34331,0.33152,0.35464
contactcreek,TN,1000,falling,gcc_75,2012-10-14,2012-10-09,2012-09-29,2012-10-17,2012-10-11,2012-10-02,2012-10-11,2012-10-06,2012-09-26,0.33328,0.33603,0.34118,0.33146,0.35055
contactcreek,TN,1000,falling,gcc_75,2011-10-14,2011-10-04,2011-09-02,2011-10-18,2011-10-07,2011-09-14,2011-10-10,2011-10-01,2011-08-31,0.33296,0.33684,0.34334,0.33071,0.35551
contactcreek,TN,1000,falling,gcc_75,2010-10-16,2010-10-09,2010-09-26,2010-10-19,2010-10-11,2010-09-30,2010-10-13,2010-10-07,2010-09-23,0.33278,0.33692,0.34386,0.33026,0.3572
contactcreek,TN,1000,falling,gcc_50,2013-10-26,2013-09-25,2013-09-17,2013-10-30,2013-09-27,2013-09-20,2013-10-18,2013-09-23,2013-09-16,0.33327,0.33666,0.34268,0.33116,0.35322
contactcreek,TN,1000,falling,gcc_50,2012-10-16,2012-10-10,2012-09-29,2012-10-20,2012-10-12,2012-10-03,2012-10-12,2012-10-07,2012-09-26,0.33196,0.33492,0.34012,0.33036,0.34939
contactcreek,TN,1000,falling,gcc_50,2011-10-13,2011-10-05,2011-09-02,2011-10-17,2011-10-07,2011-09-19,2011-10-09,2011-10-01,2011-08-30,0.3325,0.33573,0.34196,0.33022,0.35367
contactcreek,TN,1000,falling,gcc_50,2010-10-15,2010-10-09,2010-09-27,2010-10-17,2010-10-11,2010-10-01,2010-10-13,2010-10-07,2010-09-23,0.33228,0.33634,0.34287,0.32984,0.35585
contactcreek,TN,1000,falling,gcc_mean,2013-10-26,2013-09-26,2013-09-17,2013-10-30,2013-09-27,2013-09-20,2013-10-20,2013-09-23,2013-09-16,0.33332,0.33613,0.34267,0.33122,0.35322
contactcreek,TN,1000,falling,gcc_mean,2012-10-16,2012-10-10,2012-09-28,2012-10-19,2012-10-12,2012-10-02,2012-10-12,2012-10-07,2012-09-26,0.33201,0.33503,0.3405,0.33038,0.34997
contactcreek,TN,1000,falling,gcc_mean,2011-10-14,2011-10-04,2011-09-01,2011-10-17,2011-10-07,2011-09-15,2011-10-10,2011-10-01,2011-08-30,0.33209,0.33601,0.3424,0.33004,0.35402
contactcreek,TN,1000,falling,gcc_mean,2010-10-15,2010-10-09,2010-09-27,2010-10-17,2010-10-11,2010-10-01,2010-10-13,2010-10-07,2010-09-24,0.33215,0.33619,0.34278,0.32979,0.35558
