#
# Transition date estimate for coville
#
# Site: coville
# Veg Type: TN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:06:21
# Spline RMSE gcc_mean: 0.00126
# Spline RMSE gcc_50: 0.00157
# Spline RMSE gcc_75: 0.00128
# Spline RMSE gcc_90: 0.00134
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coville,TN,1000,rising,gcc_90,2011-04-30,2011-05-26,2011-06-21,2011-04-26,2011-05-24,2011-06-13,2011-05-07,2011-05-29,2011-06-25,0.33307,0.33744,0.34524,0.33031,0.36012
coville,TN,1000,rising,gcc_90,2012-05-16,2012-06-01,2012-06-20,2012-05-05,2012-05-29,2012-06-17,2012-05-22,2012-06-05,2012-06-21,0.33285,0.33777,0.34689,0.32964,0.36328
coville,TN,1000,rising,gcc_90,2013-05-19,2013-05-29,2013-06-14,2013-05-12,2013-05-27,2013-06-11,2013-05-23,2013-06-01,2013-06-16,0.33352,0.33803,0.34605,0.33073,0.36105
coville,TN,1000,rising,gcc_75,2011-05-02,2011-05-27,2011-06-26,2011-04-27,2011-05-24,2011-06-21,2011-05-08,2011-05-29,2011-06-28,0.33292,0.33725,0.34486,0.33004,0.35914
coville,TN,1000,rising,gcc_75,2012-05-21,2012-06-02,2012-06-19,2012-05-15,2012-05-30,2012-06-17,2012-05-25,2012-06-05,2012-06-21,0.33253,0.33735,0.34566,0.32927,0.362
coville,TN,1000,rising,gcc_75,2013-05-20,2013-05-29,2013-06-16,2013-05-13,2013-05-28,2013-06-13,2013-05-24,2013-06-01,2013-06-17,0.333,0.33723,0.34602,0.33022,0.36055
coville,TN,1000,rising,gcc_50,2011-05-04,2011-05-24,2011-06-19,2011-04-26,2011-05-21,2011-06-13,2011-05-12,2011-05-28,2011-06-24,0.33196,0.33577,0.34278,0.3294,0.3558
coville,TN,1000,rising,gcc_50,2012-05-21,2012-06-04,2012-06-20,2012-05-16,2012-06-01,2012-06-17,2012-05-26,2012-06-07,2012-06-21,0.33221,0.33684,0.34515,0.32916,0.36018
coville,TN,1000,rising,gcc_50,2013-05-18,2013-05-31,2013-06-15,2013-05-13,2013-05-28,2013-06-12,2013-05-23,2013-06-03,2013-06-17,0.33257,0.33703,0.34464,0.32979,0.35904
coville,TN,1000,rising,gcc_mean,2011-05-03,2011-05-26,2011-06-22,2011-04-28,2011-05-23,2011-06-13,2011-05-09,2011-05-29,2011-06-26,0.33208,0.33599,0.34286,0.32953,0.35592
coville,TN,1000,rising,gcc_mean,2012-05-20,2012-06-02,2012-06-21,2012-05-15,2012-05-30,2012-06-18,2012-05-25,2012-06-06,2012-06-22,0.33163,0.33623,0.34466,0.32876,0.3595
coville,TN,1000,rising,gcc_mean,2013-05-20,2013-05-29,2013-06-16,2013-05-13,2013-05-27,2013-06-13,2013-05-23,2013-06-01,2013-06-17,0.33263,0.33668,0.34479,0.32978,0.35872
coville,TN,1000,falling,gcc_90,2013-10-23,2013-09-26,2013-09-19,2013-10-29,2013-09-27,2013-09-20,2013-10-18,2013-09-24,2013-09-18,0.33599,0.33979,0.34736,0.33332,0.3612
coville,TN,1000,falling,gcc_90,2012-10-13,2012-10-08,2012-09-28,2012-10-14,2012-10-09,2012-09-30,2012-10-10,2012-10-06,2012-09-25,0.33392,0.33856,0.34757,0.33161,0.36325
coville,TN,1000,falling,gcc_90,2011-10-28,2011-10-11,2011-09-28,2011-10-31,2011-10-15,2011-10-01,2011-10-23,2011-10-08,2011-09-26,0.33345,0.33801,0.34566,0.33088,0.3596
coville,TN,1000,falling,gcc_75,2013-10-23,2013-09-26,2013-09-18,2013-10-27,2013-09-27,2013-09-20,2013-10-18,2013-09-24,2013-09-17,0.3351,0.33909,0.3475,0.33251,0.36072
coville,TN,1000,falling,gcc_75,2012-10-12,2012-10-07,2012-09-23,2012-10-13,2012-10-08,2012-09-28,2012-10-10,2012-10-05,2012-09-21,0.33431,0.33862,0.34721,0.3315,0.36232
coville,TN,1000,falling,gcc_75,2011-11-01,2011-10-16,2011-10-01,2011-11-03,2011-10-21,2011-10-03,2011-10-28,2011-10-12,2011-09-28,0.33102,0.33587,0.34354,0.32839,0.35866
coville,TN,1000,falling,gcc_50,2013-10-28,2013-10-01,2013-09-19,2013-10-31,2013-10-11,2013-09-22,2013-10-24,2013-09-28,2013-09-18,0.33245,0.33683,0.34502,0.3295,0.35906
coville,TN,1000,falling,gcc_50,2012-10-12,2012-10-04,2012-09-22,2012-10-14,2012-10-06,2012-09-24,2012-10-09,2012-10-01,2012-09-20,0.33292,0.3373,0.34519,0.33042,0.35992
coville,TN,1000,falling,gcc_50,2011-10-31,2011-10-19,2011-10-02,2011-11-04,2011-10-21,2011-10-05,2011-10-27,2011-10-15,2011-09-30,0.32936,0.33362,0.34188,0.32656,0.35613
coville,TN,1000,falling,gcc_mean,2013-10-30,2013-09-29,2013-09-19,2013-11-03,2013-10-19,2013-09-21,2013-10-25,2013-09-26,2013-09-18,0.33206,0.3364,0.34492,0.3292,0.35864
coville,TN,1000,falling,gcc_mean,2012-10-12,2012-10-06,2012-09-21,2012-10-14,2012-10-08,2012-09-25,2012-10-10,2012-10-04,2012-09-20,0.33306,0.33746,0.34548,0.33034,0.3596
coville,TN,1000,falling,gcc_mean,2011-10-29,2011-10-16,2011-10-02,2011-11-01,2011-10-18,2011-10-05,2011-10-24,2011-10-12,2011-09-30,0.33003,0.33414,0.34188,0.32739,0.35585
