#
# Transition date estimate for coweeta
#
# Site: coweeta
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:06:54
# Spline RMSE gcc_mean: 0.00305
# Spline RMSE gcc_50: 0.00327
# Spline RMSE gcc_75: 0.00324
# Spline RMSE gcc_90: 0.00315
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coweeta,DB,2000,rising,gcc_90,2017-04-12,2017-04-17,2017-04-24,2017-04-09,2017-04-16,2017-04-22,2017-04-15,2017-04-19,2017-04-25,0.36998,0.38046,0.40841,0.36181,0.44802
coweeta,DB,2000,rising,gcc_90,2018-04-21,2018-04-27,2018-05-03,2018-04-19,2018-04-26,2018-05-02,2018-04-23,2018-04-29,2018-05-04,0.3723,0.38566,0.41212,0.3636,0.45453
coweeta,DB,2000,rising,gcc_75,2017-04-12,2017-04-18,2017-04-24,2017-04-10,2017-04-17,2017-04-22,2017-04-15,2017-04-19,2017-04-25,0.3678,0.38062,0.40291,0.3605,0.44322
coweeta,DB,2000,rising,gcc_75,2018-04-21,2018-04-27,2018-05-03,2018-04-19,2018-04-26,2018-05-02,2018-04-24,2018-04-29,2018-05-04,0.37005,0.38292,0.40834,0.36252,0.45115
coweeta,DB,2000,rising,gcc_50,2017-04-12,2017-04-18,2017-04-25,2017-04-10,2017-04-17,2017-04-23,2017-04-15,2017-04-20,2017-04-26,0.36506,0.37576,0.39864,0.35847,0.43502
coweeta,DB,2000,rising,gcc_50,2018-04-21,2018-04-27,2018-05-03,2018-04-19,2018-04-26,2018-05-02,2018-04-24,2018-04-29,2018-05-04,0.3675,0.37921,0.40296,0.36048,0.44474
coweeta,DB,2000,rising,gcc_mean,2017-04-12,2017-04-18,2017-04-25,2017-04-10,2017-04-17,2017-04-23,2017-04-15,2017-04-20,2017-04-26,0.36478,0.37567,0.39921,0.3582,0.43586
coweeta,DB,2000,rising,gcc_mean,2018-04-21,2018-04-27,2018-05-04,2018-04-19,2018-04-26,2018-05-02,2018-04-24,2018-04-29,2018-05-05,0.36748,0.37881,0.40769,0.36026,0.44465
coweeta,DB,2000,falling,gcc_90,2018-10-29,2018-10-26,2018-10-20,2018-10-30,2018-10-27,2018-10-22,2018-10-27,2018-10-25,2018-10-19,0.36688,0.37756,0.39908,0.36079,0.43309
coweeta,DB,2000,falling,gcc_90,2017-10-20,2017-10-09,2017-09-13,2017-10-23,2017-10-12,2017-09-20,2017-10-16,2017-10-04,2017-09-08,0.38312,0.39214,0.40899,0.37711,0.4403
coweeta,DB,2000,falling,gcc_90,2016-10-22,2016-10-17,2016-10-05,2016-10-24,2016-10-18,2016-10-08,2016-10-20,2016-10-15,2016-10-03,0.36707,0.3802,0.40418,0.3582,0.4485
coweeta,DB,2000,falling,gcc_75,2018-10-29,2018-10-26,2018-10-20,2018-10-30,2018-10-27,2018-10-22,2018-10-27,2018-10-25,2018-10-19,0.36439,0.37479,0.39583,0.35844,0.42864
coweeta,DB,2000,falling,gcc_75,2017-10-19,2017-10-09,2017-09-13,2017-10-22,2017-10-12,2017-09-20,2017-10-15,2017-10-04,2017-09-08,0.38046,0.3892,0.40604,0.37425,0.43687
coweeta,DB,2000,falling,gcc_75,2016-10-22,2016-10-17,2016-10-04,2016-10-24,2016-10-18,2016-10-08,2016-10-20,2016-10-15,2016-09-30,0.36418,0.3767,0.40096,0.35595,0.44487
coweeta,DB,2000,falling,gcc_50,2018-10-29,2018-10-26,2018-10-20,2018-10-30,2018-10-27,2018-10-22,2018-10-27,2018-10-24,2018-10-18,0.3607,0.37042,0.39009,0.35499,0.42399
coweeta,DB,2000,falling,gcc_50,2017-10-19,2017-10-09,2017-09-17,2017-10-22,2017-10-12,2017-09-22,2017-10-14,2017-10-04,2017-09-11,0.37699,0.38547,0.40127,0.3714,0.43046
coweeta,DB,2000,falling,gcc_50,2016-10-20,2016-10-15,2016-10-02,2016-10-21,2016-10-17,2016-10-06,2016-10-18,2016-10-13,2016-09-24,0.36447,0.37606,0.39479,0.35792,0.43146
coweeta,DB,2000,falling,gcc_mean,2018-10-29,2018-10-26,2018-10-20,2018-10-30,2018-10-27,2018-10-22,2018-10-27,2018-10-24,2018-10-19,0.36058,0.37047,0.39037,0.35479,0.42403
coweeta,DB,2000,falling,gcc_mean,2017-10-22,2017-10-12,2017-09-18,2017-10-24,2017-10-15,2017-09-24,2017-10-19,2017-10-08,2017-09-12,0.37351,0.383,0.39949,0.36785,0.43023
coweeta,DB,2000,falling,gcc_mean,2016-10-22,2016-10-17,2016-10-05,2016-10-23,2016-10-18,2016-10-08,2016-10-20,2016-10-15,2016-10-02,0.36064,0.3726,0.39408,0.35416,0.43314
