#
# Transition date estimate for cperagm
#
# Site: cperagm
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:07:20
# Spline RMSE gcc_mean: 0.00143
# Spline RMSE gcc_50: 0.00149
# Spline RMSE gcc_75: 0.00137
# Spline RMSE gcc_90: 0.00143
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
cperagm,GR,1000,rising,gcc_90,2017-05-05,2017-05-10,2017-05-24,2017-05-04,2017-05-09,2017-05-21,2017-05-07,2017-05-12,2017-05-25,0.31823,0.32631,0.34312,0.3135,0.37145
cperagm,GR,1000,rising,gcc_90,2018-04-27,2018-05-03,2018-05-11,2018-04-26,2018-05-02,2018-05-09,2018-04-30,2018-05-05,2018-05-12,0.31815,0.32751,0.35066,0.31195,0.38297
cperagm,GR,1000,rising,gcc_75,2017-05-04,2017-05-10,2017-05-24,2017-05-02,2017-05-09,2017-05-22,2017-05-07,2017-05-12,2017-05-26,0.31663,0.32528,0.34058,0.31166,0.3694
cperagm,GR,1000,rising,gcc_75,2018-04-27,2018-05-03,2018-05-11,2018-04-25,2018-05-02,2018-05-09,2018-04-29,2018-05-05,2018-05-12,0.31681,0.32617,0.34867,0.31031,0.38083
cperagm,GR,1000,rising,gcc_50,2017-05-03,2017-05-09,2017-05-23,2017-05-01,2017-05-08,2017-05-20,2017-05-06,2017-05-11,2017-05-25,0.31443,0.3222,0.33753,0.30977,0.36474
cperagm,GR,1000,rising,gcc_50,2018-04-26,2018-05-03,2018-05-11,2018-04-24,2018-05-02,2018-05-09,2018-04-29,2018-05-05,2018-05-12,0.31464,0.32472,0.34607,0.30821,0.37881
cperagm,GR,1000,rising,gcc_mean,2017-05-03,2017-05-10,2017-05-24,2017-05-01,2017-05-08,2017-05-22,2017-05-06,2017-05-12,2017-05-25,0.31446,0.32335,0.33786,0.30946,0.36509
cperagm,GR,1000,rising,gcc_mean,2018-04-26,2018-05-03,2018-05-11,2018-04-24,2018-05-02,2018-05-09,2018-04-29,2018-05-05,2018-05-12,0.31464,0.32472,0.34613,0.30802,0.37913
cperagm,GR,1000,falling,gcc_90,2018-06-17,2018-06-13,2018-06-09,2018-06-18,2018-06-14,2018-06-10,2018-06-15,2018-06-12,2018-06-08,0.31936,0.32932,0.34906,0.31383,0.38311
cperagm,GR,1000,falling,gcc_90,2017-09-01,2017-08-24,2017-08-15,2017-09-03,2017-08-25,2017-08-16,2017-08-29,2017-08-22,2017-06-29,0.31929,0.32722,0.34157,0.31448,0.3682
cperagm,GR,1000,falling,gcc_90,2016-06-24,2016-06-20,2016-06-14,2016-06-25,2016-06-21,2016-06-16,2016-06-23,2016-06-18,2016-06-13,0.32041,0.32948,0.35445,0.31356,0.38751
cperagm,GR,1000,falling,gcc_75,2018-06-19,2018-06-14,2018-06-09,2018-06-21,2018-06-15,2018-06-10,2018-06-17,2018-06-12,2018-06-08,0.31412,0.32361,0.34687,0.30715,0.38135
cperagm,GR,1000,falling,gcc_75,2017-09-01,2017-08-24,2017-08-15,2017-09-03,2017-08-26,2017-08-16,2017-08-30,2017-08-22,2017-06-29,0.31828,0.32596,0.33964,0.31325,0.36479
cperagm,GR,1000,falling,gcc_75,2016-06-23,2016-06-19,2016-06-14,2016-06-24,2016-06-20,2016-06-15,2016-06-22,2016-06-18,2016-06-13,0.32005,0.33051,0.35133,0.31348,0.38366
cperagm,GR,1000,falling,gcc_50,2018-06-19,2018-06-13,2018-06-09,2018-07-27,2018-06-14,2018-06-10,2018-06-17,2018-06-12,2018-06-08,0.31187,0.32204,0.34241,0.30447,0.37927
cperagm,GR,1000,falling,gcc_50,2017-09-02,2017-08-26,2017-08-14,2017-09-04,2017-08-27,2017-08-15,2017-08-30,2017-08-23,2017-06-29,0.31624,0.32301,0.33668,0.31138,0.36196
cperagm,GR,1000,falling,gcc_50,2016-06-22,2016-06-19,2016-06-14,2016-06-23,2016-06-20,2016-06-15,2016-06-21,2016-06-17,2016-06-13,0.31896,0.32728,0.34805,0.31274,0.38075
cperagm,GR,1000,falling,gcc_mean,2018-06-20,2018-06-13,2018-06-09,2018-07-28,2018-06-14,2018-06-10,2018-06-17,2018-06-12,2018-06-08,0.31137,0.32276,0.34277,0.30406,0.37929
cperagm,GR,1000,falling,gcc_mean,2017-09-02,2017-08-25,2017-08-16,2017-09-04,2017-08-27,2017-08-17,2017-08-30,2017-08-23,2017-06-29,0.3159,0.32381,0.3368,0.31144,0.36202
cperagm,GR,1000,falling,gcc_mean,2016-06-22,2016-06-19,2016-06-14,2016-06-23,2016-06-20,2016-06-15,2016-06-21,2016-06-17,2016-06-13,0.31894,0.32741,0.34808,0.31279,0.38103
