#
# 1-day summary product time series for donanaresoliman
#
# Site: donanaresoliman
# Veg Type: WL
# ROI ID Number: 1000
# Lat: 37.0733
# Lon: -6.4334
# Elev: 1
# UTC Offset: 1
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-04-10
# Creation Time: 22:25:52
# Update Date: 2019-01-14
# Update Time: 05:20:33
# Final Processing Date:: 2019-01-14
# Final Processing Time:: 16:09:15
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2017-08-14,2017,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33611,0.33578,0.33716,0.3385,0.39146,0.39339,0.39657,0.39734,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-15,2017,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33705,0.33681,0.33813,0.33924,0.39268,0.39486,0.39767,0.3984,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-16,2017,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33787,0.33766,0.33903,0.33998,0.39391,0.39628,0.39877,0.39952,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-17,2017,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33854,0.33832,0.33982,0.34069,0.39515,0.39767,0.39987,0.40067,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-18,2017,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33901,0.33875,0.34043,0.34124,0.39638,0.399,0.40098,0.40186,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-19,2017,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33922,0.33885,0.34077,0.34161,0.39761,0.4003,0.40208,0.40308,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-20,2017,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33917,0.33872,0.3408,0.34166,0.39884,0.40155,0.40319,0.40434,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-21,2017,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33874,0.33829,0.34019,0.34101,0.40005,0.40274,0.40429,0.4056,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-22,2017,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33828,0.33794,0.33955,0.34031,0.40128,0.40387,0.4054,0.40691,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-08-23,2017,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33783,0.33763,0.33891,0.33964,0.40248,0.40491,0.4065,0.40822,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
