#
# Transition date estimate for eastend
#
# Site: eastend
# Veg Type: WL
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:11:59
# Spline RMSE gcc_mean: 0.0022
# Spline RMSE gcc_50: 0.00228
# Spline RMSE gcc_75: 0.00204
# Spline RMSE gcc_90: 0.0021
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
eastend,WL,1000,rising,gcc_90,2014-07-31,2014-08-12,2014-08-30,2014-07-28,2014-08-10,2014-08-28,2014-08-04,2014-08-15,2014-09-01,0.35013,0.35859,0.37305,0.345,0.40065
eastend,WL,1000,rising,gcc_90,2015-04-07,2015-04-09,2015-04-14,2014-12-31,2014-12-31,2014-12-31,2015-04-23,2015-04-23,2015-04-23,0.34571,0.35404,0.385,0.33687,0.43153
eastend,WL,1000,rising,gcc_90,2016-03-17,2016-04-02,2016-04-20,2016-03-11,2016-04-01,2016-04-17,2016-03-24,2016-04-04,2016-04-23,0.34645,0.35823,0.382,0.33825,0.42566
eastend,WL,1000,rising,gcc_75,2014-08-03,2014-08-13,2014-09-01,2014-07-31,2014-08-11,2014-08-30,2014-08-07,2014-08-16,2014-09-02,0.34884,0.35695,0.3713,0.34402,0.39747
eastend,WL,1000,rising,gcc_75,2015-04-07,2015-04-09,2015-04-17,2014-12-31,2014-12-31,2014-12-31,2015-04-23,2015-04-23,2015-04-23,0.34414,0.35012,0.38174,0.33531,0.42505
eastend,WL,1000,rising,gcc_75,2016-03-13,2016-04-01,2016-04-17,2016-03-06,2016-03-31,2016-04-14,2016-03-18,2016-04-03,2016-04-20,0.34263,0.35414,0.37521,0.33482,0.41515
eastend,WL,1000,rising,gcc_50,2014-07-19,2014-08-07,2014-08-31,2014-07-15,2014-08-04,2014-08-29,2014-07-23,2014-08-11,2014-09-02,0.33977,0.34782,0.36299,0.33416,0.3915
eastend,WL,1000,rising,gcc_50,2015-04-09,2015-04-10,2015-04-18,2014-12-31,2014-12-31,2014-12-31,2015-04-23,2015-04-23,2015-04-23,0.34749,0.35576,0.38052,0.34189,0.41782
eastend,WL,1000,rising,gcc_50,2016-03-11,2016-04-01,2016-04-17,2016-03-03,2016-03-30,2016-04-14,2016-03-17,2016-04-03,2016-04-20,0.3401,0.3518,0.37234,0.33234,0.41147
eastend,WL,1000,rising,gcc_mean,2014-07-17,2014-08-06,2014-08-31,2014-07-14,2014-08-01,2014-08-28,2014-07-22,2014-08-10,2014-09-02,0.33886,0.34713,0.36076,0.33404,0.38695
eastend,WL,1000,rising,gcc_mean,2015-03-29,2015-04-09,2015-04-18,2014-12-31,2014-12-31,2014-12-31,2015-04-23,2015-04-23,2015-04-23,0.34097,0.34701,0.37587,0.33325,0.41355
eastend,WL,1000,rising,gcc_mean,2016-03-09,2016-03-31,2016-04-14,2016-02-29,2016-03-29,2016-04-12,2016-03-16,2016-04-02,2016-04-17,0.33902,0.35033,0.36933,0.33187,0.40664
eastend,WL,1000,falling,gcc_90,2015-11-27,2015-11-21,2015-11-02,2015-11-29,2015-11-22,2015-11-06,2015-11-25,2015-11-18,2015-10-30,0.33977,0.35295,0.38045,0.33038,0.42989
eastend,WL,1000,falling,gcc_90,2014-12-23,2014-12-16,2014-12-07,2014-12-27,2014-12-19,2014-12-09,2014-12-19,2014-12-13,2014-12-05,0.35737,0.36461,0.3779,0.35252,0.40255
eastend,WL,1000,falling,gcc_75,2015-11-25,2015-11-20,2015-11-05,2015-11-27,2015-11-21,2015-11-09,2015-11-23,2015-11-18,2015-11-03,0.33713,0.34968,0.37667,0.3279,0.42332
eastend,WL,1000,falling,gcc_75,2014-12-29,2014-12-20,2014-12-08,2014-12-31,2014-12-23,2014-12-11,2014-12-25,2014-12-17,2014-12-07,0.35033,0.35928,0.37392,0.34602,0.3992
eastend,WL,1000,falling,gcc_50,2015-11-24,2015-11-19,2015-11-06,2015-11-26,2015-11-20,2015-11-09,2015-11-22,2015-11-16,2015-11-04,0.33506,0.34682,0.37148,0.32646,0.41608
eastend,WL,1000,falling,gcc_mean,2015-11-25,2015-11-19,2015-11-06,2015-11-26,2015-11-21,2015-11-09,2015-11-23,2015-11-17,2015-11-04,0.33407,0.34763,0.36924,0.32722,0.40921
