#
# Transition date estimate for elverde
#
# Site: elverde
# Veg Type: EB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:12:46
# Spline RMSE gcc_mean: 0.00241
# Spline RMSE gcc_50: 0.00251
# Spline RMSE gcc_75: 0.00253
# Spline RMSE gcc_90: 0.00306
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
elverde,EB,1000,rising,gcc_90,2015-05-08,2015-05-10,2015-05-13,2015-05-04,2015-05-09,2015-05-12,2015-05-10,2015-05-12,2015-05-14,0.38274,0.38502,0.39436,0.38028,0.40632
elverde,EB,1000,rising,gcc_90,2016-05-10,2016-05-12,2016-05-16,2016-05-09,2016-05-11,2016-05-14,2016-05-13,2016-05-15,2016-05-17,0.38076,0.38547,0.39351,0.38076,0.406
elverde,EB,1000,rising,gcc_90,2017-04-26,2017-04-28,2017-05-04,2017-04-25,2017-04-27,2017-05-01,2017-04-28,2017-04-30,2017-05-05,0.37772,0.38263,0.39344,0.37497,0.40846
elverde,EB,1000,rising,gcc_90,2018-06-16,2018-06-17,2018-06-20,2018-06-15,2018-06-16,2018-06-19,2018-06-17,2018-06-19,2018-06-21,0.36789,0.37113,0.38447,0.36423,0.40129
elverde,EB,1000,rising,gcc_75,2015-05-08,2015-05-10,2015-05-13,2015-05-04,2015-05-09,2015-05-12,2015-05-10,2015-05-12,2015-05-14,0.38038,0.38265,0.39094,0.37798,0.40329
elverde,EB,1000,rising,gcc_75,2016-05-10,2016-05-12,2016-05-16,2016-05-09,2016-05-11,2016-05-14,2016-05-12,2016-05-14,2016-05-17,0.37898,0.38286,0.39126,0.37792,0.4023
elverde,EB,1000,rising,gcc_75,2017-04-26,2017-04-28,2017-05-03,2017-04-25,2017-04-27,2017-05-01,2017-04-28,2017-04-30,2017-05-04,0.37602,0.38043,0.38999,0.37352,0.40542
elverde,EB,1000,rising,gcc_75,2018-06-16,2018-06-17,2018-06-20,2018-06-15,2018-06-16,2018-06-19,2018-06-18,2018-06-19,2018-06-21,0.36606,0.36868,0.38182,0.36328,0.39886
elverde,EB,1000,rising,gcc_50,2015-05-06,2015-05-10,2015-05-14,2015-05-04,2015-05-09,2015-05-12,2015-05-10,2015-05-12,2015-05-15,0.37706,0.37979,0.3889,0.37499,0.39828
elverde,EB,1000,rising,gcc_50,2016-05-11,2016-05-13,2016-05-16,2016-05-09,2016-05-12,2016-05-15,2016-05-14,2016-05-15,2016-05-17,0.37771,0.3803,0.38771,0.37646,0.39812
elverde,EB,1000,rising,gcc_50,2017-04-26,2017-04-28,2017-05-04,2017-04-25,2017-04-27,2017-05-02,2017-04-28,2017-04-30,2017-05-05,0.37384,0.37755,0.38792,0.37159,0.40242
elverde,EB,1000,rising,gcc_50,2018-06-16,2018-06-18,2018-06-21,2018-06-15,2018-06-17,2018-06-19,2018-06-18,2018-06-19,2018-06-22,0.36442,0.37023,0.38451,0.36164,0.39669
elverde,EB,1000,rising,gcc_mean,2015-05-06,2015-05-10,2015-05-13,2015-05-05,2015-05-09,2015-05-12,2015-05-10,2015-05-12,2015-05-14,0.37605,0.37883,0.38594,0.37414,0.39445
elverde,EB,1000,rising,gcc_mean,2016-05-11,2016-05-13,2016-05-16,2016-05-09,2016-05-11,2016-05-14,2016-05-13,2016-05-15,2016-05-17,0.3775,0.38043,0.38703,0.37534,0.39777
elverde,EB,1000,rising,gcc_mean,2017-04-26,2017-04-28,2017-05-04,2017-04-25,2017-04-27,2017-05-02,2017-04-28,2017-04-30,2017-05-05,0.3735,0.3774,0.3871,0.37116,0.40183
elverde,EB,1000,rising,gcc_mean,2018-06-15,2018-06-17,2018-06-20,2018-06-14,2018-06-16,2018-06-19,2018-06-17,2018-06-19,2018-06-21,0.3624,0.36707,0.37731,0.36132,0.39227
elverde,EB,1000,falling,gcc_90,2017-11-18,2017-11-16,2017-11-10,2017-11-22,2017-11-22,2017-11-22,2017-08-16,2017-08-16,2017-08-16,0.37519,0.38208,0.38966,0.37551,0.40276
elverde,EB,1000,falling,gcc_90,2017-02-11,2017-01-23,2017-01-15,2017-02-12,2017-02-11,2017-01-19,2017-02-10,2017-01-22,2016-12-24,0.37824,0.38259,0.38651,0.3796,0.39196
elverde,EB,1000,falling,gcc_90,2016-02-08,2016-01-04,2015-12-29,2016-02-09,2016-01-05,2015-12-30,2016-02-01,2015-12-31,2015-12-27,0.38524,0.38724,0.39198,0.38378,0.39851
elverde,EB,1000,falling,gcc_90,2015-02-19,2015-02-03,2015-01-26,2015-03-16,2015-02-19,2015-01-30,2015-02-18,2015-02-02,2015-01-25,0.37995,0.38217,0.38688,0.37938,0.3919
elverde,EB,1000,falling,gcc_75,2017-11-19,2017-11-17,2017-11-08,2017-11-22,2017-11-22,2017-11-22,2017-08-16,2017-08-16,2017-08-16,0.37521,0.37969,0.3877,0.37414,0.40048
elverde,EB,1000,falling,gcc_75,2017-02-11,2017-02-10,2017-02-05,2017-02-12,2017-02-11,2017-02-06,2017-02-10,2017-02-09,2016-11-24,0.37685,0.37902,0.38335,0.37736,0.38902
elverde,EB,1000,falling,gcc_75,2016-01-17,2016-01-03,2015-12-29,2016-01-18,2016-01-04,2015-12-30,2016-01-03,2015-12-30,2015-12-26,0.38247,0.3847,0.38869,0.38138,0.3957
elverde,EB,1000,falling,gcc_75,2015-02-18,2015-02-06,2015-01-27,2015-03-31,2015-02-18,2015-02-01,2015-02-15,2015-01-31,2015-01-26,0.37775,0.37996,0.38417,0.37691,0.38967
elverde,EB,1000,falling,gcc_50,2017-11-18,2017-11-16,2017-11-06,2017-11-22,2017-11-22,2017-11-22,2017-08-16,2017-08-16,2017-08-16,0.37277,0.377,0.38503,0.37191,0.39769
elverde,EB,1000,falling,gcc_50,2017-02-11,2017-01-19,2017-01-15,2017-04-04,2017-02-11,2017-01-16,2017-02-10,2017-01-18,2016-11-21,0.37553,0.3781,0.38104,0.37548,0.38643
elverde,EB,1000,falling,gcc_50,2016-01-05,2015-12-31,2015-11-05,2016-01-06,2016-01-01,2015-11-06,2015-12-31,2015-12-28,2015-10-09,0.38019,0.38195,0.38666,0.37858,0.39471
elverde,EB,1000,falling,gcc_50,2015-02-18,2015-02-07,2015-01-26,2015-03-14,2015-02-18,2015-01-27,2015-02-15,2015-02-01,2015-01-25,0.37468,0.37703,0.38122,0.37367,0.38743
elverde,EB,1000,falling,gcc_mean,2017-11-18,2017-11-16,2017-11-09,2017-11-22,2017-11-22,2017-11-22,2017-08-16,2017-08-16,2017-08-16,0.37231,0.37703,0.38384,0.37173,0.39563
elverde,EB,1000,falling,gcc_mean,2017-01-19,2017-01-08,2016-11-24,2017-02-12,2017-01-20,2016-11-27,2017-01-18,2017-01-07,2016-11-02,0.37714,0.37859,0.38175,0.3761,0.38652
elverde,EB,1000,falling,gcc_mean,2016-01-06,2016-01-03,2015-12-30,2016-03-16,2016-01-07,2016-01-02,2016-01-02,2015-12-30,2015-12-28,0.37876,0.38005,0.38289,0.37792,0.38703
elverde,EB,1000,falling,gcc_mean,2015-02-18,2015-02-06,2015-01-25,2015-03-14,2015-02-17,2015-01-26,2015-02-15,2015-02-01,2015-01-22,0.37409,0.37676,0.38089,0.37318,0.38765
