#
# Transition date estimate for eslm1
#
# Site: eslm1
# Veg Type: EB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:12:59
# Spline RMSE gcc_mean: 0.00213
# Spline RMSE gcc_50: 0.00215
# Spline RMSE gcc_75: 0.00356
# Spline RMSE gcc_90: 0.00416
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
eslm1,EB,1000,rising,gcc_90,2016-03-26,2016-03-29,2016-04-05,2016-03-23,2016-03-28,2016-04-02,2016-03-27,2016-03-30,2016-04-06,0.38212,0.38659,0.40018,0.37823,0.41899
eslm1,EB,1000,rising,gcc_90,2018-03-06,2018-03-23,2018-04-07,2018-02-27,2018-03-06,2018-03-31,2018-03-24,2018-04-02,2018-04-11,0.37149,0.37418,0.37932,0.36964,0.38811
eslm1,EB,1000,rising,gcc_75,2015-03-30,2015-04-04,2015-04-16,2015-03-29,2015-04-03,2015-04-15,2015-04-02,2015-04-07,2016-04-05,0.379,0.38399,0.39384,0.37617,0.41051
eslm1,EB,1000,rising,gcc_75,2018-03-10,2018-03-28,2018-04-08,2018-03-01,2018-03-11,2018-04-02,2018-03-28,2018-04-04,2018-04-13,0.37059,0.37319,0.37776,0.36884,0.38651
eslm1,EB,1000,rising,gcc_50,2016-03-26,2016-04-02,2016-04-09,2016-03-23,2016-03-31,2016-04-07,2016-03-27,2016-04-03,2016-04-10,0.37623,0.38151,0.39481,0.37264,0.41143
eslm1,EB,1000,rising,gcc_mean,2016-03-25,2016-04-02,2016-04-08,2016-03-23,2016-03-31,2016-04-06,2016-03-26,2016-04-03,2016-04-09,0.37555,0.38182,0.39207,0.37253,0.40987
eslm1,EB,1000,rising,gcc_mean,2018-03-28,2018-03-31,2018-04-08,2018-03-02,2018-03-28,2018-04-02,2018-04-01,2018-04-04,2018-04-13,0.36825,0.37008,0.37461,0.36718,0.38137
eslm1,EB,1000,falling,gcc_90,2017-10-07,2017-08-05,2017-06-12,2017-11-01,2017-08-06,2017-06-13,2017-09-22,2017-07-23,2017-06-04,0.37191,0.37574,0.38229,0.36938,0.39503
eslm1,EB,1000,falling,gcc_75,2017-10-13,2017-08-11,2017-06-14,2017-11-02,2017-08-12,2017-06-15,2017-09-26,2017-07-29,2017-06-06,0.36991,0.37373,0.38035,0.36748,0.39281
eslm1,EB,1000,falling,gcc_50,2018-10-03,2018-07-31,2018-07-06,2018-10-04,2018-08-01,2018-07-07,2018-10-02,2018-07-16,2018-07-02,0.37339,0.37619,0.38111,0.37162,0.39018
eslm1,EB,1000,falling,gcc_mean,2017-10-02,2017-08-04,2017-06-11,2017-10-03,2017-08-05,2017-06-12,2017-09-18,2017-07-24,2017-06-03,0.36789,0.37161,0.37822,0.36552,0.3906
