#
# ROI color statistics timeseries for eslm1
#
# Site: eslm1
# Veg Type: EB
# ROI ID Number: 1000
# Lat: 39.9426889
# Lon: -5.7786833
# Elev: 265
# UTC Offset: 0
# Resize Flag: False
# Version: 1
# Creation Date: 2018-04-11
# Creation Time: 00:33:47
# Update Date: 2019-01-14
# Update Time: 04:25:19
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2014-06-24,12:01:05,175,eslm1_2014_06_24_120105.jpg,72.67788,NA,1,0.37348,0.41358,67.40930,21.86159,32,40,52,67,82,95,104,60.87395,22.44002,25,32,45,61,76,90,98,34.70644,17.31985,7,12,22,34,46,57,64,0.98076,0.96640,0.94715
2014-06-24,12:31:06,175,eslm1_2014_06_24_123106.jpg,73.42223,NA,1,0.37844,0.42787,72.52516,24.36569,34,42,56,72,88,104,114,64.14674,25.06464,24,32,46,63,81,97,106,32.83144,19.69633,2,7,18,32,46,59,67,0.98014,0.96924,0.95038
2014-06-24,13:01:05,175,eslm1_2014_06_24_130105.jpg,71.84135,NA,1,0.38029,0.43300,67.16834,23.27831,31,39,51,66,83,97,106,58.99267,23.83070,22,29,42,58,75,90,99,28.96372,18.51069,1,5,14,28,42,54,62,0.97939,0.96583,0.94466
2014-06-24,13:31:04,175,eslm1_2014_06_24_133104.jpg,68.44872,NA,1,0.37804,0.43523,69.79538,24.31184,31,39,53,69,86,101,111,60.62422,24.71350,21,29,43,60,77,93,102,29.94632,19.12948,1,5,15,29,43,56,63,0.98176,0.96768,0.94898
2014-06-24,14:31:05,175,eslm1_2014_06_24_143105.jpg,58.84278,NA,1,0.37378,0.43474,74.00410,26.04944,33,41,56,73,91,108,119,63.62700,26.45320,23,30,44,62,82,99,109,32.59462,20.57237,2,6,16,31,47,61,69,0.97989,0.97246,0.95117
2014-06-25,10:01:05,176,eslm1_2014_06_25_100105.jpg,55.39062,NA,1,0.37034,0.40053,75.60002,23.13284,39,45,59,76,91,105,114,69.90160,23.69465,32,39,52,70,86,101,109,43.24953,18.18654,15,20,30,43,56,67,74,0.98273,0.96917,0.95136
2014-06-25,10:31:06,176,eslm1_2014_06_25_103106.jpg,60.73500,NA,1,0.37117,0.40157,72.64972,22.42550,36,43,57,73,88,101,110,67.14926,23.03361,30,37,50,67,83,97,105,41.11492,17.55061,13,18,28,41,53,64,71,0.98311,0.96753,0.95022
2014-06-25,11:01:06,176,eslm1_2014_06_25_110106.jpg,65.65888,NA,1,0.37235,0.40344,73.12429,22.81313,35,43,57,73,89,102,111,67.49016,23.51772,29,36,51,68,84,98,106,40.63821,18.06249,12,17,28,40,53,64,71,0.98235,0.96782,0.94968
2014-06-25,11:31:07,176,eslm1_2014_06_25_113107.jpg,69.82450,NA,1,0.37453,0.40739,72.37654,23.08820,35,43,56,72,88,102,111,66.53811,23.64024,28,36,50,66,83,97,106,38.74502,18.28933,9,15,26,38,51,62,70,0.98403,0.96868,0.95363
2014-06-25,12:01:04,176,eslm1_2014_06_25_120104.jpg,72.63977,NA,1,0.37566,0.41134,71.65147,23.63624,33,42,56,72,87,102,111,65.43604,24.19731,26,34,48,65,82,97,106,37.10282,18.68747,7,13,24,37,50,62,69,0.98278,0.96815,0.94973
2014-06-25,12:31:05,176,eslm1_2014_06_25_123105.jpg,73.40108,NA,1,0.37685,0.41368,71.23696,23.77984,33,41,55,71,87,102,111,64.89591,24.49987,25,33,48,65,82,97,106,36.07223,18.92790,6,11,22,35,49,61,68,0.98104,0.96747,0.94714
2014-06-25,13:01:06,176,eslm1_2014_06_25_130106.jpg,71.83567,NA,1,0.37888,0.42359,70.66628,23.65691,33,41,54,70,87,101,110,63.20666,24.33793,25,32,46,62,80,95,104,32.95276,18.95243,4,8,19,32,46,58,66,0.98035,0.96759,0.94709
2014-06-25,13:31:05,176,eslm1_2014_06_25_133105.jpg,68.45529,NA,1,0.37763,0.42528,70.92392,25.26718,30,39,54,70,88,103,113,62.97643,25.68286,22,30,45,62,81,97,106,32.86773,19.68310,2,7,18,32,46,59,67,0.98178,0.96619,0.94590
2014-06-25,14:01:05,176,eslm1_2014_06_25_140105.jpg,63.96715,NA,1,0.37635,0.41817,71.50754,25.28907,31,40,54,71,89,104,114,64.35735,25.81814,23,31,46,64,82,98,108,35.13825,19.93427,4,9,20,34,49,62,70,0.98172,0.96997,0.94994
2014-06-25,14:31:05,176,eslm1_2014_06_25_143105.jpg,58.86473,NA,1,0.37390,0.41430,70.18022,24.79741,31,39,52,69,87,103,112,63.33688,25.10209,25,31,44,62,81,97,106,35.87613,19.31819,7,11,21,35,49,62,69,0.98182,0.97074,0.95062
2014-06-26,10:01:05,177,eslm1_2014_06_26_100105.jpg,55.33312,NA,1,0.37063,0.40397,74.70578,22.85156,38,45,58,75,90,104,113,68.54029,23.36638,31,38,51,68,85,99,107,41.68346,17.98361,14,18,28,41,54,65,72,0.98223,0.96877,0.95022
