#
# ROI color statistics timeseries for eslma
#
# Site: eslma
# Veg Type: EB
# ROI ID Number: 1000
# Lat: 39.9403
# Lon: -5.7746
# Elev: 265
# UTC Offset: 1
# Resize Flag: False
# Version: 1
# Creation Date: 2018-12-21
# Creation Time: 13:45:28
# Update Date: 2019-01-14
# Update Time: 04:25:23
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2016-01-01,12:31:03,1,eslma_2016_01_01_123103.jpg,25.75899,NA,1,0.36910,0.40150,71.06600,24.82486,31,40,54,71,88,103,112,65.33079,25.08633,24,33,48,65,83,98,107,40.60334,22.25532,5,11,24,39,56,71,79,0.99013,0.95583,0.93919
2016-01-01,13:01:02,1,eslma_2016_01_01_130102.jpg,26.79142,NA,1,0.37201,0.40730,70.68268,25.24853,29,39,54,70,87,103,113,64.55907,25.30254,23,32,47,64,81,97,107,38.29986,21.71626,2,9,22,38,54,67,74,0.98972,0.95443,0.93859
2016-01-01,13:31:03,1,eslma_2016_01_01_133103.jpg,27.06109,NA,1,0.36984,0.41296,85.59862,26.97411,43,52,67,84,103,121,132,76.66073,26.95881,33,43,58,76,95,112,122,45.02346,23.38025,6,14,28,45,61,76,84,0.98762,0.96043,0.94269
2016-01-01,14:01:03,1,eslma_2016_01_01_140103.jpg,26.55691,NA,1,0.36649,0.39845,80.31834,26.71215,39,47,62,79,98,115,126,73.87645,26.84643,31,40,55,73,92,109,120,47.38120,23.39728,9,17,31,47,63,78,86,0.98981,0.95728,0.94134
2016-01-01,14:31:03,1,eslma_2016_01_01_143103.jpg,25.29787,NA,1,0.36591,0.38783,71.78288,24.38010,32,41,55,71,89,103,112,67.72696,24.73493,27,36,51,68,85,100,108,45.58097,22.27400,9,17,29,45,61,75,83,0.99013,0.95671,0.94223
2016-01-02,10:01:03,2,eslma_2016_01_02_100103.jpg,11.01610,NA,1,0.34982,0.40025,88.17300,49.54252,12,26,50,84,123,156,174,77.06362,45.89237,8,20,42,72,109,140,158,55.05785,38.02431,1,8,25,50,81,108,124,0.99330,0.98514,0.97520
2016-01-02,10:31:03,2,eslma_2016_01_02_103103.jpg,15.01255,NA,1,0.34584,0.40340,90.14513,47.93078,16,27,52,89,124,153,170,77.28300,43.94852,12,21,41,76,109,136,152,56.03588,36.04582,5,11,26,53,81,105,119,0.99351,0.98582,0.97620
2016-01-02,11:01:04,2,eslma_2016_01_02_110104.jpg,18.57038,NA,1,0.34539,0.39926,97.47723,43.19074,28,39,65,99,128,153,168,84.32434,40.27722,21,30,53,85,113,137,150,62.34056,33.67481,11,18,36,61,86,107,119,0.99353,0.98552,0.97679
2016-01-02,11:31:03,2,eslma_2016_01_02_113103.jpg,21.60549,NA,1,0.34484,0.39689,112.65677,42.61582,42,54,81,114,143,167,181,97.88434,40.26808,32,42,68,99,126,150,163,73.31071,34.39535,19,27,47,73,97,118,130,0.99341,0.98557,0.97761
2016-01-02,12:01:05,2,eslma_2016_01_02_120105.jpg,24.04854,NA,1,0.34507,0.39571,111.29916,41.02215,42,54,82,113,140,163,177,97.05415,38.67574,32,43,68,99,125,147,159,72.90821,32.97488,20,28,48,73,96,116,127,0.99342,0.98342,0.97480
2016-01-02,12:31:03,2,eslma_2016_01_02_123103.jpg,25.81888,NA,1,0.34577,0.39577,116.18951,42.97002,44,56,84,118,148,171,184,101.51051,40.77329,34,45,71,103,131,154,166,75.88100,35.00211,20,29,49,76,101,123,134,0.99374,0.98251,0.97436
2016-01-02,13:01:04,2,eslma_2016_01_02_130104.jpg,26.86535,NA,1,0.34629,0.39592,113.13295,42.52150,44,55,81,114,144,168,182,98.95240,40.29536,34,44,68,100,129,152,164,73.66267,34.34171,21,29,47,73,98,120,131,0.99362,0.98074,0.97217
2016-01-02,13:31:04,2,eslma_2016_01_02_133104.jpg,27.14691,NA,1,0.34677,0.39530,114.68698,41.45488,50,60,82,114,145,170,184,100.60722,39.35321,40,49,70,100,130,153,166,74.83471,33.53335,25,32,49,72,99,121,133,0.99325,0.97889,0.96955
2016-01-02,14:01:03,2,eslma_2016_01_02_140103.jpg,26.65434,NA,1,0.34591,0.39471,119.14850,44.78326,53,62,84,116,150,181,198,104.41970,41.96670,43,52,71,101,133,162,178,78.29883,35.68862,28,35,51,74,102,128,143,0.99279,0.98009,0.96971
2016-01-02,14:31:04,2,eslma_2016_01_02_143104.jpg,25.40443,NA,1,0.34676,0.39952,116.47124,45.83337,49,58,80,113,149,179,196,101.09177,43.17125,38,47,67,97,132,161,177,73.96633,36.62367,22,30,45,70,99,125,140,0.99278,0.97862,0.96812
2016-01-03,10:01:03,3,eslma_2016_01_03_100103.jpg,11.02229,NA,1,0.36951,0.39834,70.54125,25.49445,29,38,53,70,88,103,113,65.43536,25.79086,23,32,47,66,83,98,108,41.11260,22.60134,4,11,24,41,57,71,78,0.99070,0.96052,0.94685
2016-01-03,10:31:03,3,eslma_2016_01_03_103103.jpg,15.02918,NA,1,0.36781,0.39895,71.07630,25.19951,30,39,54,71,88,103,113,65.52853,25.53544,24,33,48,65,83,98,108,41.55328,22.43875,5,12,25,41,58,71,79,0.99042,0.95918,0.94473
2016-01-03,11:01:03,3,eslma_2016_01_03_110103.jpg,18.59668,NA,1,0.37002,0.39887,76.81298,26.24713,34,44,59,76,94,111,121,71.25692,26.51438,28,37,53,71,89,105,115,44.50756,23.17330,6,13,28,44,61,75,82,0.98912,0.96097,0.94613
2016-01-03,11:31:03,3,eslma_2016_01_03_113103.jpg,21.64612,NA,1,0.37276,0.38123,64.20174,25.29084,22,32,47,64,81,96,106,62.77570,25.73816,20,29,45,63,81,96,105,41.43075,22.68442,4,11,25,41,58,72,79,0.99054,0.95785,0.94406
2016-01-03,12:01:05,3,eslma_2016_01_03_120105.jpg,24.10239,NA,1,0.37233,0.40464,72.57610,25.63580,31,40,55,72,90,105,115,66.78100,25.86195,24,34,49,67,84,100,110,40.00073,22.47087,3,10,23,39,56,70,77,0.98975,0.95763,0.94280
2016-01-03,12:31:03,3,eslma_2016_01_03_123103.jpg,25.88623,NA,1,0.37029,0.40147,81.98435,26.45785,40,49,64,81,99,116,127,75.61706,26.75209,33,42,57,75,93,110,121,46.60649,23.22748,8,16,30,46,62,77,85,0.98903,0.95986,0.94535
2016-01-03,13:01:02,3,eslma_2016_01_03_130102.jpg,26.94529,NA,1,0.36802,0.40226,75.43055,25.21762,35,44,58,75,92,108,118,69.01077,25.49788,28,37,51,69,86,102,112,43.07655,22.25771,7,14,27,43,59,72,80,0.98966,0.95853,0.94436
2016-01-03,13:31:02,3,eslma_2016_01_03_133102.jpg,27.24032,NA,1,0.37485,0.40013,68.33890,25.36311,27,36,51,68,85,101,110,64.02147,25.60110,22,31,46,64,81,97,106,38.43167,22.07706,2,9,22,38,54,68,75,0.98979,0.95466,0.93942
2016-01-03,14:01:03,3,eslma_2016_01_03_140103.jpg,26.75901,NA,1,0.37559,0.39439,73.36306,26.79976,30,40,55,73,91,108,119,69.86610,27.08482,26,35,51,70,88,105,115,42.78887,23.40171,4,11,26,42,59,73,82,0.99018,0.95940,0.94553
2016-01-03,14:31:03,3,eslma_2016_01_03_143103.jpg,25.51979,NA,1,0.37595,0.39345,74.35820,27.23888,31,40,56,73,92,110,121,71.05064,27.51838,26,36,52,70,89,107,117,43.58229,23.77017,4,12,26,43,60,75,83,0.99036,0.95829,0.94445
2016-01-04,10:01:02,4,eslma_2016_01_04_100102.jpg,11.03268,NA,1,0.37573,0.39129,67.38582,26.38517,24,34,50,67,85,101,112,64.70630,26.61437,21,31,46,65,83,99,109,40.12156,23.15491,2,9,23,40,56,70,79,0.99107,0.95579,0.94388
2016-01-04,10:31:03,4,eslma_2016_01_04_103103.jpg,15.05260,NA,1,0.36758,0.38497,70.91381,25.62159,30,39,53,70,88,104,114,67.71094,26.11608,26,35,49,67,86,102,111,45.58079,23.51133,8,15,28,45,62,76,85,0.99111,0.95910,0.94832
2016-01-04,11:01:03,4,eslma_2016_01_04_110103.jpg,18.63183,NA,1,0.36770,0.40579,81.74221,27.27947,39,48,63,81,100,118,128,74.06893,27.49906,30,39,55,73,93,110,120,45.62616,24.53108,6,14,28,45,63,78,87,0.98987,0.96187,0.94782
