#
# Transition date estimate for farewellgap
#
# Site: farewellgap
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2013
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:13:56
# Spline RMSE gcc_mean: 0.00393
# Spline RMSE gcc_50: 0.00393
# Spline RMSE gcc_75: 0.00396
# Spline RMSE gcc_90: 0.00436
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
farewellgap,SH,1000,rising,gcc_90,2013-05-21,2013-05-26,2013-06-02,2013-05-19,2013-05-24,2013-05-29,2013-05-26,2013-05-29,2013-06-05,0.336,0.3412,0.35199,0.33365,0.36982
farewellgap,SH,1000,rising,gcc_90,2014-05-20,2014-05-26,2014-05-30,2014-05-16,2014-05-25,2014-05-28,2014-05-21,2014-05-28,2014-06-01,0.33248,0.33757,0.35157,0.32866,0.37068
farewellgap,SH,1000,rising,gcc_90,2015-05-29,2015-06-01,2015-06-07,2015-05-27,2015-05-30,2015-06-06,2015-05-30,2015-06-03,2015-06-09,0.32887,0.33591,0.34745,0.32523,0.36819
farewellgap,SH,1000,rising,gcc_90,2016-06-01,2016-06-03,2016-06-07,2016-05-31,2016-06-01,2016-06-04,2016-06-02,2016-06-05,2016-06-09,0.33873,0.34427,0.35373,0.33703,0.36771
farewellgap,SH,1000,rising,gcc_75,2013-05-21,2013-05-26,2013-06-02,2013-05-18,2013-05-24,2013-05-29,2013-05-26,2013-05-29,2013-06-05,0.336,0.3412,0.35199,0.33365,0.36982
farewellgap,SH,1000,rising,gcc_75,2014-05-20,2014-05-26,2014-05-30,2014-05-16,2014-05-25,2014-05-27,2014-05-21,2014-05-28,2014-06-01,0.33248,0.33757,0.35157,0.32866,0.37068
farewellgap,SH,1000,rising,gcc_75,2015-05-29,2015-06-01,2015-06-07,2015-05-27,2015-05-30,2015-06-06,2015-05-31,2015-06-04,2015-06-09,0.32887,0.33591,0.34745,0.32535,0.36807
farewellgap,SH,1000,rising,gcc_75,2016-06-01,2016-06-03,2016-06-07,2016-05-31,2016-06-01,2016-06-04,2016-06-02,2016-06-05,2016-06-09,0.3387,0.34425,0.35373,0.33703,0.36777
farewellgap,SH,1000,rising,gcc_50,2013-05-21,2013-05-26,2013-06-02,2013-05-18,2013-05-24,2013-05-29,2013-05-26,2013-05-29,2013-06-05,0.336,0.3412,0.35199,0.33365,0.36982
farewellgap,SH,1000,rising,gcc_50,2014-05-20,2014-05-26,2014-05-29,2014-05-15,2014-05-25,2014-05-27,2014-05-21,2014-05-28,2014-05-31,0.33248,0.33757,0.34963,0.32866,0.36932
