#
# Transition date estimate for freemangrass
#
# Site: freemangrass
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:14:04
# Spline RMSE gcc_mean: 0.00187
# Spline RMSE gcc_50: 0.00267
# Spline RMSE gcc_75: 0.0032
# Spline RMSE gcc_90: 0.00379
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
freemangrass,GR,1000,rising,gcc_90,2012-09-20,2012-09-24,2012-09-29,2012-09-17,2012-09-23,2012-09-27,2012-09-23,2012-09-26,2012-09-30,0.32828,0.33468,0.34917,0.32405,0.36972
freemangrass,GR,1000,rising,gcc_90,2013-02-05,2013-03-15,2013-04-03,2013-01-26,2013-03-12,2013-04-01,2013-02-09,2013-03-18,2013-04-04,0.32122,0.33134,0.35247,0.31413,0.38744
freemangrass,GR,1000,rising,gcc_90,2013-09-05,2013-09-07,2013-09-11,2013-09-04,2013-09-06,2013-09-09,2013-09-07,2013-09-08,2013-09-12,0.3273,0.33848,0.3546,0.3273,0.37883
freemangrass,GR,1000,rising,gcc_75,2012-09-20,2012-09-24,2012-09-28,2012-09-18,2012-09-23,2012-09-27,2012-09-23,2012-09-26,2012-09-30,0.32653,0.33253,0.34464,0.32298,0.36607
freemangrass,GR,1000,rising,gcc_75,2013-02-03,2013-03-15,2013-04-03,2013-01-26,2013-03-10,2013-04-01,2013-02-08,2013-03-18,2013-04-04,0.31992,0.33054,0.34893,0.31336,0.38232
freemangrass,GR,1000,rising,gcc_75,2013-09-05,2013-09-07,2013-09-11,2013-09-04,2013-09-06,2013-09-09,2013-09-07,2013-09-08,2013-09-12,0.32409,0.33543,0.3524,0.32409,0.37559
freemangrass,GR,1000,rising,gcc_50,2012-09-23,2012-09-25,2012-09-29,2012-09-21,2012-09-24,2012-09-27,2012-09-25,2012-09-27,2012-10-01,0.32736,0.33262,0.3438,0.32378,0.36333
freemangrass,GR,1000,rising,gcc_50,2013-01-29,2013-03-12,2013-04-03,2013-01-26,2013-03-09,2013-04-01,2013-02-07,2013-03-16,2013-04-04,0.31854,0.32808,0.34586,0.31205,0.37707
freemangrass,GR,1000,rising,gcc_50,2013-09-05,2013-09-06,2013-09-10,2013-09-04,2013-09-05,2013-09-08,2013-09-06,2013-09-08,2013-09-11,0.32246,0.32775,0.347,0.32013,0.3712
freemangrass,GR,1000,rising,gcc_mean,2012-09-22,2012-09-26,2012-09-29,2012-09-20,2012-09-25,2012-09-27,2012-09-24,2012-09-27,2012-09-30,0.32726,0.33325,0.34689,0.32334,0.3661
freemangrass,GR,1000,rising,gcc_mean,2013-02-03,2013-03-13,2013-04-02,2013-01-26,2013-03-08,2013-04-01,2013-02-07,2013-03-16,2013-04-03,0.31797,0.32761,0.3489,0.3115,0.37845
freemangrass,GR,1000,rising,gcc_mean,2013-09-06,2013-09-07,2013-09-12,2013-09-05,2013-09-06,2013-09-10,2013-09-07,2013-09-08,2013-09-13,0.33019,0.33697,0.35195,0.32928,0.3726
freemangrass,GR,1000,falling,gcc_90,2013-12-02,2013-11-16,2013-10-31,2013-12-19,2013-11-18,2013-11-04,2013-11-26,2013-11-13,2013-10-20,0.32452,0.33092,0.34623,0.31936,0.37132
freemangrass,GR,1000,falling,gcc_90,2013-06-27,2013-06-24,2013-06-20,2013-06-28,2013-06-25,2013-06-21,2013-06-26,2013-06-23,2013-06-19,0.33682,0.34682,0.36735,0.33249,0.39781
freemangrass,GR,1000,falling,gcc_90,2012-11-24,2012-11-18,2012-11-11,2012-11-26,2012-11-20,2012-11-13,2012-11-21,2012-11-16,2012-11-06,0.31601,0.32559,0.34069,0.3116,0.36968
freemangrass,GR,1000,falling,gcc_90,2012-06-30,2012-06-19,2012-06-08,2012-07-02,2012-06-23,2012-06-09,2012-06-29,2012-06-18,2012-06-06,0.32975,0.34272,0.36387,0.3231,0.40219
freemangrass,GR,1000,falling,gcc_75,2013-12-02,2013-11-16,2013-11-01,2013-12-08,2013-11-18,2013-11-04,2013-11-25,2013-11-13,2013-10-21,0.32387,0.33042,0.34416,0.31892,0.36901
freemangrass,GR,1000,falling,gcc_75,2013-06-26,2013-06-24,2013-06-20,2013-06-28,2013-06-25,2013-06-21,2013-06-25,2013-06-23,2013-06-19,0.33583,0.34219,0.36136,0.32996,0.39201
freemangrass,GR,1000,falling,gcc_75,2012-11-23,2012-11-18,2012-11-11,2012-11-26,2012-11-19,2012-11-14,2012-11-20,2012-11-16,2012-11-08,0.31544,0.32399,0.33952,0.31006,0.36695
