#
# Transition date estimate for goodwater
#
# Site: goodwater
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:16:51
# Spline RMSE gcc_mean: 0.00322
# Spline RMSE gcc_50: 0.00354
# Spline RMSE gcc_75: 0.00457
# Spline RMSE gcc_90: 0.005
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
goodwater,AG,1000,rising,gcc_90,2016-03-12,2016-03-15,2016-03-26,2016-03-11,2016-03-14,2016-03-25,2016-03-13,2016-03-16,2016-04-01,0.37664,0.38614,0.40266,0.37283,0.43201
goodwater,AG,1000,rising,gcc_90,2016-10-27,2016-10-29,2016-11-05,2016-10-26,2016-10-28,2016-11-04,2016-10-29,2016-11-01,2016-11-10,0.3691,0.37708,0.39735,0.3636,0.43033
goodwater,AG,1000,rising,gcc_90,2017-06-16,2017-06-22,2017-06-29,2017-06-12,2017-06-20,2017-06-26,2017-06-20,2017-06-25,2017-06-30,0.35835,0.37068,0.39497,0.35076,0.43202
goodwater,AG,1000,rising,gcc_90,2018-02-26,2018-03-17,2018-04-09,2018-02-22,2018-03-14,2018-03-29,2018-03-04,2018-03-21,2018-04-12,0.3492,0.36521,0.39391,0.33893,0.44856
goodwater,AG,1000,rising,gcc_90,2018-07-14,2018-07-17,2018-07-23,2018-07-12,2018-07-16,2018-07-21,2018-07-16,2018-07-20,2018-07-24,0.34906,0.35942,0.38819,0.34205,0.42528
goodwater,AG,1000,rising,gcc_75,2016-03-12,2016-03-15,2016-03-25,2016-03-11,2016-03-14,2016-03-24,2016-03-13,2016-03-16,2016-03-31,0.37368,0.38304,0.3971,0.37016,0.42342
goodwater,AG,1000,rising,gcc_75,2016-10-16,2016-10-21,2016-10-28,2016-10-12,2016-10-20,2016-10-27,2016-10-20,2016-10-24,2016-10-29,0.34089,0.34996,0.37061,0.33559,0.40086
goodwater,AG,1000,rising,gcc_75,2017-06-16,2017-06-22,2017-06-28,2017-06-12,2017-06-20,2017-06-26,2017-06-20,2017-06-25,2017-06-30,0.3568,0.36785,0.38728,0.34964,0.42489
goodwater,AG,1000,rising,gcc_75,2018-02-26,2018-03-17,2018-04-08,2018-02-22,2018-03-14,2018-03-29,2018-03-04,2018-03-20,2018-04-11,0.34811,0.36309,0.38914,0.3383,0.43987
goodwater,AG,1000,rising,gcc_75,2018-07-14,2018-07-17,2018-07-23,2018-07-12,2018-07-16,2018-07-22,2018-07-16,2018-07-20,2018-07-24,0.34619,0.35609,0.38435,0.33906,0.42194
goodwater,AG,1000,rising,gcc_50,2015-09-27,2015-09-28,2015-09-30,2015-09-26,2015-09-27,2015-09-29,2015-09-29,2015-09-29,2015-10-02,0.36476,0.37338,0.38424,0.3656,0.39958
