#
# Transition date estimate for grandteton
#
# Site: grandteton
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:17:44
# Spline RMSE gcc_mean: 0.00189
# Spline RMSE gcc_50: 0.00188
# Spline RMSE gcc_75: 0.00154
# Spline RMSE gcc_90: 0.00155
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
grandteton,SH,1000,rising,gcc_90,2016-04-24,2016-05-05,2016-05-17,2016-02-12,2016-05-04,2016-05-15,2016-04-29,2016-05-06,2016-05-18,0.34158,0.34836,0.36015,0.33799,0.37984
grandteton,SH,1000,rising,gcc_90,2017-05-10,2017-05-20,2017-05-29,2017-05-09,2017-05-19,2017-05-27,2017-05-12,2017-05-21,2017-05-30,0.34173,0.34933,0.36234,0.33796,0.38484
grandteton,SH,1000,rising,gcc_90,2018-05-04,2018-05-07,2018-05-18,2018-05-03,2018-05-06,2018-05-16,2018-05-06,2018-05-09,2018-05-19,0.3408,0.34695,0.36195,0.33803,0.3831
grandteton,SH,1000,rising,gcc_75,2016-04-24,2016-05-04,2016-05-16,2016-02-12,2016-05-03,2016-05-14,2016-04-29,2016-05-06,2016-05-17,0.34123,0.34651,0.35754,0.33765,0.37708
grandteton,SH,1000,rising,gcc_75,2017-05-10,2017-05-20,2017-05-29,2017-05-09,2017-05-19,2017-05-27,2017-05-12,2017-05-22,2017-05-30,0.34067,0.34824,0.36025,0.3375,0.38285
grandteton,SH,1000,rising,gcc_75,2018-05-05,2018-05-08,2018-05-18,2018-05-04,2018-05-07,2018-05-16,2018-05-06,2018-05-09,2018-05-19,0.34158,0.34827,0.36075,0.3376,0.38193
grandteton,SH,1000,rising,gcc_50,2016-04-19,2016-05-04,2016-05-16,2016-02-12,2016-05-02,2016-05-14,2016-04-29,2016-05-06,2016-05-17,0.33998,0.34635,0.35654,0.33707,0.37493
grandteton,SH,1000,rising,gcc_50,2017-05-10,2017-05-18,2017-05-29,2017-05-09,2017-05-17,2017-05-27,2017-05-13,2017-05-20,2017-05-30,0.34076,0.3474,0.35934,0.33694,0.37972
grandteton,SH,1000,rising,gcc_50,2018-05-04,2018-05-09,2018-05-18,2018-05-03,2018-05-08,2018-05-16,2018-05-06,2018-05-10,2018-05-19,0.34047,0.34744,0.35991,0.33683,0.38029
grandteton,SH,1000,rising,gcc_mean,2016-04-18,2016-05-04,2016-05-18,2016-02-12,2016-05-02,2016-05-16,2016-04-29,2016-05-07,2016-05-19,0.33876,0.34547,0.35592,0.33636,0.37369
