#
# Transition date estimate for groundhog
#
# Site: groundhog
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:18:16
# Spline RMSE gcc_mean: 0.00249
# Spline RMSE gcc_50: 0.00247
# Spline RMSE gcc_75: 0.00239
# Spline RMSE gcc_90: 0.00241
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
groundhog,DB,2000,rising,gcc_90,2012-05-10,2012-05-14,2012-05-18,2012-04-28,2012-05-13,2012-05-16,2012-05-12,2012-05-15,2012-05-19,0.35192,0.36145,0.38215,0.34608,0.40931
groundhog,DB,2000,rising,gcc_90,2013-04-28,2013-05-16,2013-05-26,2013-04-24,2013-05-15,2013-05-24,2013-05-04,2013-05-18,2013-05-27,0.35012,0.35691,0.37789,0.34384,0.40666
groundhog,DB,2000,rising,gcc_75,2012-05-10,2012-05-14,2012-05-18,2012-04-28,2012-05-13,2012-05-17,2012-05-12,2012-05-15,2012-05-19,0.35135,0.36014,0.37926,0.3451,0.40797
groundhog,DB,2000,rising,gcc_75,2013-04-26,2013-05-16,2013-05-26,2013-04-23,2013-05-15,2013-05-24,2013-05-02,2013-05-18,2013-05-27,0.34898,0.35577,0.3762,0.34285,0.40496
groundhog,DB,2000,rising,gcc_50,2012-05-09,2012-05-14,2012-05-18,2012-04-27,2012-05-13,2012-05-17,2012-05-12,2012-05-15,2012-05-19,0.35013,0.359,0.37746,0.34402,0.40683
groundhog,DB,2000,rising,gcc_50,2013-04-25,2013-05-16,2013-05-26,2013-04-23,2013-05-15,2013-05-24,2013-04-30,2013-05-18,2013-05-27,0.34741,0.3549,0.37512,0.34174,0.40384
groundhog,DB,2000,rising,gcc_mean,2012-05-07,2012-05-14,2012-05-18,2012-04-27,2012-05-13,2012-05-17,2012-05-08,2012-05-15,2012-05-19,0.34914,0.35831,0.37703,0.34316,0.40513
groundhog,DB,2000,rising,gcc_mean,2013-04-25,2013-05-16,2013-05-26,2013-04-23,2013-05-15,2013-05-24,2013-04-30,2013-05-18,2013-05-27,0.3469,0.35422,0.37321,0.34163,0.40166
groundhog,DB,2000,falling,gcc_90,2013-10-06,2013-09-29,2013-09-23,2013-10-14,2013-09-30,2013-09-25,2013-10-02,2013-09-28,2013-09-22,0.35348,0.36104,0.37551,0.34827,0.40056
groundhog,DB,2000,falling,gcc_90,2012-10-05,2012-10-03,2012-09-30,2012-10-06,2012-10-04,2012-10-01,2012-10-04,2012-10-02,2012-09-29,0.35395,0.36027,0.37299,0.3497,0.39533
groundhog,DB,2000,falling,gcc_75,2013-10-12,2013-09-29,2013-09-23,2013-10-15,2013-09-30,2013-09-25,2013-10-02,2013-09-28,2013-09-22,0.35257,0.3604,0.37468,0.34732,0.40035
groundhog,DB,2000,falling,gcc_75,2012-10-05,2012-10-03,2012-09-30,2012-10-06,2012-10-04,2012-10-01,2012-10-04,2012-10-02,2012-09-29,0.3533,0.3595,0.3719,0.34908,0.39414
groundhog,DB,2000,falling,gcc_50,2013-10-14,2013-09-30,2013-09-23,2013-10-16,2013-10-01,2013-09-25,2013-10-09,2013-09-28,2013-09-22,0.35024,0.3576,0.37351,0.34554,0.39779
groundhog,DB,2000,falling,gcc_50,2012-10-05,2012-10-03,2012-09-30,2012-10-06,2012-10-04,2012-10-01,2012-10-04,2012-10-02,2012-09-29,0.35217,0.35817,0.37064,0.34791,0.39254
groundhog,DB,2000,falling,gcc_mean,2013-10-13,2013-09-30,2013-09-23,2013-10-16,2013-10-01,2013-09-25,2013-10-03,2013-09-28,2013-09-22,0.35051,0.3568,0.37277,0.34538,0.39813
groundhog,DB,2000,falling,gcc_mean,2012-10-05,2012-10-03,2012-09-29,2012-10-07,2012-10-04,2012-10-01,2012-10-04,2012-10-02,2012-09-28,0.3519,0.3576,0.37333,0.34739,0.39254
