#
# Transition date estimate for groundhog
#
# Site: groundhog
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2014
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:18:36
# Spline RMSE gcc_mean: 0.00371
# Spline RMSE gcc_50: 0.00381
# Spline RMSE gcc_75: 0.00364
# Spline RMSE gcc_90: 0.00359
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
groundhog,EN,2000,rising,gcc_90,2012-03-10,2012-03-13,2012-03-18,2012-03-09,2012-03-12,2012-03-16,2012-03-12,2012-03-14,2012-03-19,0.34469,0.35262,0.36556,0.3417,0.38743
groundhog,EN,2000,rising,gcc_90,2013-04-11,2013-04-23,2013-04-30,2013-03-24,2013-04-21,2013-04-28,2013-04-12,2013-04-26,2013-05-02,0.34449,0.35127,0.36581,0.34016,0.39067
groundhog,EN,2000,rising,gcc_90,2014-04-18,2014-04-20,2014-05-07,2014-04-17,2014-04-19,2014-05-02,2014-04-19,2014-04-26,2014-05-09,0.34797,0.35326,0.36639,0.34361,0.38862
groundhog,EN,2000,rising,gcc_75,2012-03-10,2012-03-13,2012-03-18,2012-03-09,2012-03-12,2012-03-16,2012-03-12,2012-03-14,2012-03-19,0.34376,0.35178,0.36495,0.34079,0.3866
groundhog,EN,2000,rising,gcc_75,2013-04-11,2013-04-23,2013-04-30,2013-03-24,2013-04-21,2013-04-28,2013-04-12,2013-04-25,2013-05-01,0.34323,0.35036,0.3652,0.33939,0.38785
groundhog,EN,2000,rising,gcc_75,2014-04-17,2014-04-20,2014-05-07,2014-04-16,2014-04-19,2014-05-02,2014-04-18,2014-04-23,2014-05-09,0.34484,0.35269,0.36567,0.34232,0.38758
groundhog,EN,2000,rising,gcc_50,2012-03-12,2012-03-14,2012-03-19,2012-03-11,2012-03-13,2012-03-18,2012-03-13,2012-03-16,2012-03-20,0.34833,0.35446,0.3672,0.34456,0.38546
groundhog,EN,2000,rising,gcc_50,2013-04-11,2013-04-23,2013-04-29,2013-03-24,2013-04-16,2013-04-27,2013-04-12,2013-04-25,2013-05-01,0.34142,0.34896,0.36235,0.3373,0.38686
groundhog,EN,2000,rising,gcc_50,2014-04-17,2014-04-20,2014-05-06,2014-04-16,2014-04-19,2014-05-02,2014-04-18,2014-04-23,2014-05-08,0.34338,0.35125,0.36398,0.34076,0.38631
groundhog,EN,2000,rising,gcc_mean,2012-03-12,2012-03-14,2012-03-19,2012-03-11,2012-03-13,2012-03-18,2012-03-14,2012-03-16,2012-03-20,0.34777,0.35396,0.36717,0.34433,0.38508
groundhog,EN,2000,rising,gcc_mean,2013-04-11,2013-04-23,2013-04-29,2013-03-24,2013-04-21,2013-04-27,2013-04-12,2013-04-25,2013-04-30,0.34134,0.34843,0.36226,0.33722,0.38633
groundhog,EN,2000,rising,gcc_mean,2014-04-17,2014-04-20,2014-05-06,2014-04-15,2014-04-19,2014-05-02,2014-04-18,2014-04-24,2014-05-08,0.34311,0.35045,0.36367,0.34028,0.38557
groundhog,EN,2000,falling,gcc_90,2013-11-08,2013-11-06,2013-10-22,2013-11-09,2013-11-07,2013-10-24,2013-11-07,2013-11-04,2013-10-21,0.34343,0.35232,0.36581,0.34202,0.3871
groundhog,EN,2000,falling,gcc_90,2012-10-31,2012-10-30,2012-10-24,2012-11-01,2012-10-31,2012-10-27,2012-10-30,2012-10-29,2012-10-03,0.34424,0.34891,0.36474,0.34204,0.38731
groundhog,EN,2000,falling,gcc_75,2013-11-08,2013-11-06,2013-10-21,2013-11-09,2013-11-07,2013-10-23,2013-11-07,2013-11-04,2013-10-20,0.34297,0.35192,0.36687,0.34144,0.38926
groundhog,EN,2000,falling,gcc_75,2012-10-31,2012-10-30,2012-10-25,2012-11-01,2012-10-31,2012-10-27,2012-10-30,2012-10-29,2012-10-03,0.34284,0.34752,0.36382,0.34066,0.38636
groundhog,EN,2000,falling,gcc_50,2013-11-06,2013-10-24,2013-10-11,2013-11-07,2013-10-25,2013-10-21,2013-11-04,2013-10-22,2013-09-26,0.34971,0.35694,0.36831,0.34773,0.3877
groundhog,EN,2000,falling,gcc_50,2012-10-31,2012-10-29,2012-10-24,2012-11-01,2012-10-30,2012-10-25,2012-10-30,2012-10-28,2012-10-03,0.34169,0.35051,0.36243,0.33944,0.38509
groundhog,EN,2000,falling,gcc_mean,2013-11-06,2013-10-24,2013-10-13,2013-11-07,2013-10-25,2013-10-20,2013-11-04,2013-10-22,2013-09-29,0.35001,0.35579,0.36718,0.3471,0.38664
groundhog,EN,2000,falling,gcc_mean,2012-10-31,2012-10-30,2012-10-24,2012-11-01,2012-10-31,2012-10-25,2012-10-30,2012-10-29,2012-10-03,0.34208,0.34644,0.36209,0.33912,0.38436
