#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:20:23
# Spline RMSE gcc_mean: 0.00779
# Spline RMSE gcc_50: 0.00881
# Spline RMSE gcc_75: 0.00813
# Spline RMSE gcc_90: 0.00791
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,EN,1000,rising,gcc_90,2013-03-28,2013-04-05,2013-04-13,2013-03-26,2013-04-02,2013-04-11,2013-04-01,2013-04-07,2013-04-15,0.34749,0.35942,0.38104,0.33948,0.42002
harvardbarn2,EN,1000,rising,gcc_90,2014-04-02,2014-04-05,2014-04-13,2014-03-31,2014-04-04,2014-04-10,2014-04-04,2014-04-08,2014-04-16,0.3509,0.35987,0.38094,0.34464,0.41651
harvardbarn2,EN,1000,rising,gcc_90,2015-04-09,2015-04-12,2015-04-17,2015-04-08,2015-04-11,2015-04-15,2015-04-11,2015-04-14,2015-04-18,0.35068,0.36312,0.38835,0.34507,0.42592
harvardbarn2,EN,1000,rising,gcc_90,2016-03-06,2016-03-10,2016-04-18,2016-03-05,2016-03-09,2016-04-15,2016-03-09,2016-03-13,2016-04-21,0.35822,0.36872,0.3877,0.35413,0.42084
harvardbarn2,EN,1000,rising,gcc_90,2017-04-03,2017-04-08,2017-04-16,2017-04-01,2017-04-06,2017-04-12,2017-04-06,2017-04-10,2017-04-22,0.36381,0.37678,0.39714,0.35826,0.43332
harvardbarn2,EN,1000,rising,gcc_90,2018-04-11,2018-04-20,2018-04-27,2018-04-07,2018-04-13,2018-04-25,2018-04-14,2018-04-23,2018-04-28,0.36639,0.37558,0.39454,0.35986,0.42646
harvardbarn2,EN,1000,rising,gcc_75,2013-03-28,2013-04-04,2013-04-13,2013-03-26,2013-04-02,2013-04-10,2013-04-01,2013-04-07,2013-04-15,0.34396,0.3558,0.37841,0.33708,0.41721
harvardbarn2,EN,1000,rising,gcc_75,2014-04-01,2014-04-05,2014-04-13,2014-03-30,2014-04-03,2014-04-10,2014-04-04,2014-04-07,2014-04-15,0.34621,0.35791,0.37844,0.34128,0.41271
harvardbarn2,EN,1000,rising,gcc_75,2015-04-09,2015-04-12,2015-04-16,2015-04-07,2015-04-11,2015-04-14,2015-04-11,2015-04-14,2015-04-17,0.34828,0.36049,0.38139,0.3423,0.41868
harvardbarn2,EN,1000,rising,gcc_75,2016-03-07,2016-03-10,2016-04-19,2016-03-05,2016-03-09,2016-04-16,2016-03-10,2016-03-14,2016-04-21,0.35881,0.36602,0.38613,0.35296,0.41861
harvardbarn2,EN,1000,rising,gcc_75,2017-04-03,2017-04-07,2017-04-14,2017-04-01,2017-04-06,2017-04-11,2017-04-06,2017-04-09,2017-04-18,0.36059,0.37128,0.39164,0.35554,0.42697
harvardbarn2,EN,1000,rising,gcc_75,2018-04-10,2018-04-19,2018-04-27,2018-04-07,2018-04-12,2018-04-24,2018-04-14,2018-04-22,2018-04-28,0.36117,0.3723,0.39097,0.35664,0.42045
harvardbarn2,EN,1000,rising,gcc_50,2013-03-28,2013-04-03,2013-04-12,2013-03-26,2013-03-31,2013-04-09,2013-04-01,2013-04-06,2013-04-15,0.33919,0.35097,0.37161,0.33244,0.41048
harvardbarn2,EN,1000,rising,gcc_50,2014-04-01,2014-04-05,2014-04-12,2014-03-30,2014-04-03,2014-04-09,2014-04-04,2014-04-07,2014-04-15,0.3418,0.35381,0.37183,0.33693,0.4059
harvardbarn2,EN,1000,rising,gcc_50,2015-04-07,2015-04-11,2015-04-16,2015-04-03,2015-04-10,2015-04-14,2015-04-10,2015-04-14,2015-04-18,0.34038,0.35214,0.3751,0.33434,0.41457
harvardbarn2,EN,1000,rising,gcc_50,2016-03-07,2016-04-05,2016-04-19,2016-03-04,2016-03-09,2016-04-14,2016-03-10,2016-04-06,2016-04-22,0.35588,0.36569,0.38213,0.35022,0.41231
harvardbarn2,EN,1000,rising,gcc_50,2017-04-03,2017-04-06,2017-04-12,2017-03-31,2017-04-04,2017-04-09,2017-04-06,2017-04-09,2017-04-15,0.35629,0.36516,0.38416,0.35093,0.41466
