#
# Transition date estimate for harvardblo
#
# Site: harvardblo
# Veg Type: UN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:21:59
# Spline RMSE gcc_mean: 0.00269
# Spline RMSE gcc_50: 0.0026
# Spline RMSE gcc_75: 0.0035
# Spline RMSE gcc_90: 0.00402
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardblo,UN,1000,rising,gcc_90,2009-04-28,2009-05-03,2009-05-09,2009-04-26,2009-05-02,2009-05-07,2009-05-01,2009-05-05,2009-05-10,0.35262,0.3665,0.39239,0.34579,0.43284
harvardblo,UN,1000,rising,gcc_90,2010-04-24,2010-04-28,2010-05-03,2010-04-22,2010-04-27,2010-05-01,2010-04-26,2010-04-29,2010-05-04,0.35301,0.3674,0.39185,0.34401,0.43817
harvardblo,UN,1000,rising,gcc_90,2011-05-03,2011-05-07,2011-05-12,2011-05-01,2011-05-06,2011-05-10,2011-05-05,2011-05-09,2011-05-13,0.35413,0.36971,0.39799,0.34567,0.44304
harvardblo,UN,1000,rising,gcc_90,2012-04-24,2012-04-30,2012-05-06,2012-04-13,2012-04-29,2012-05-04,2012-04-27,2012-05-02,2012-05-07,0.35525,0.36739,0.39512,0.34636,0.43677
harvardblo,UN,1000,rising,gcc_90,2013-05-01,2013-05-04,2013-05-10,2013-04-29,2013-05-03,2013-05-08,2013-05-03,2013-05-06,2013-05-11,0.35626,0.3675,0.3991,0.34757,0.44594
harvardblo,UN,1000,rising,gcc_90,2014-05-08,2014-05-12,2014-05-17,2014-05-06,2014-05-11,2014-05-15,2014-05-11,2014-05-14,2014-05-18,0.35703,0.36988,0.39988,0.34854,0.44474
harvardblo,UN,1000,rising,gcc_90,2015-05-02,2015-05-05,2015-05-11,2015-05-01,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.35542,0.36791,0.40189,0.34858,0.4478
harvardblo,UN,1000,rising,gcc_90,2016-05-06,2016-05-11,2016-05-17,2016-05-04,2016-05-10,2016-05-16,2016-05-09,2016-05-13,2016-05-18,0.35825,0.37266,0.40066,0.35034,0.44839
harvardblo,UN,1000,rising,gcc_90,2017-04-27,2017-05-05,2017-05-14,2017-04-24,2017-05-04,2017-05-12,2017-05-01,2017-05-08,2017-05-15,0.35936,0.37366,0.40236,0.35013,0.45324
harvardblo,UN,1000,rising,gcc_90,2018-05-02,2018-05-07,2018-05-13,2018-04-30,2018-05-06,2018-05-11,2018-05-05,2018-05-09,2018-05-14,0.3588,0.37256,0.40419,0.3508,0.44879
harvardblo,UN,1000,rising,gcc_75,2009-04-28,2009-05-02,2009-05-08,2009-04-26,2009-05-01,2009-05-06,2009-05-01,2009-05-04,2009-05-09,0.35104,0.36137,0.3856,0.34502,0.42178
harvardblo,UN,1000,rising,gcc_75,2010-04-23,2010-04-27,2010-05-03,2010-04-21,2010-04-26,2010-05-01,2010-04-26,2010-04-29,2010-05-04,0.34947,0.36096,0.38857,0.34318,0.42758
harvardblo,UN,1000,rising,gcc_75,2011-05-03,2011-05-07,2011-05-12,2011-05-01,2011-05-06,2011-05-10,2011-05-05,2011-05-08,2011-05-13,0.35278,0.36668,0.39177,0.34479,0.43247
harvardblo,UN,1000,rising,gcc_75,2012-04-22,2012-04-30,2012-05-06,2012-04-12,2012-04-28,2012-05-04,2012-04-27,2012-05-02,2012-05-07,0.35356,0.36545,0.39194,0.34542,0.42954
harvardblo,UN,1000,rising,gcc_75,2013-05-01,2013-05-05,2013-05-10,2013-04-29,2013-05-04,2013-05-08,2013-05-03,2013-05-06,2013-05-11,0.35433,0.36942,0.39434,0.3465,0.4383
harvardblo,UN,1000,rising,gcc_75,2014-05-08,2014-05-12,2014-05-17,2014-05-05,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.35587,0.36752,0.3942,0.34756,0.43192
harvardblo,UN,1000,rising,gcc_75,2015-05-02,2015-05-05,2015-05-10,2015-05-01,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-11,0.35366,0.36567,0.39315,0.34756,0.43595
harvardblo,UN,1000,rising,gcc_75,2016-05-06,2016-05-11,2016-05-17,2016-05-02,2016-05-10,2016-05-15,2016-05-09,2016-05-13,2016-05-18,0.3567,0.37002,0.39595,0.3494,0.43471
harvardblo,UN,1000,rising,gcc_75,2017-04-27,2017-05-04,2017-05-13,2017-04-23,2017-05-03,2017-05-11,2017-04-30,2017-05-07,2017-05-14,0.35789,0.3697,0.39595,0.34907,0.43844
harvardblo,UN,1000,rising,gcc_75,2018-05-03,2018-05-07,2018-05-13,2018-05-01,2018-05-06,2018-05-11,2018-05-05,2018-05-09,2018-05-14,0.35893,0.36961,0.39944,0.35008,0.44055
harvardblo,UN,1000,rising,gcc_50,2009-04-28,2009-05-03,2009-05-08,2009-04-27,2009-05-02,2009-05-06,2009-05-01,2009-05-04,2009-05-09,0.34966,0.36186,0.38172,0.34446,0.41552
harvardblo,UN,1000,rising,gcc_50,2010-04-24,2010-04-28,2010-05-04,2010-04-22,2010-04-27,2010-05-02,2010-04-26,2010-04-29,2010-05-05,0.34968,0.36101,0.38712,0.34217,0.42261
