#
# Transition date estimate for harvardhemlock2
#
# Site: harvardhemlock2
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:25:19
# Spline RMSE gcc_mean: 0.00582
# Spline RMSE gcc_50: 0.00496
# Spline RMSE gcc_75: 0.00414
# Spline RMSE gcc_90: 0.00413
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardhemlock2,EN,1000,rising,gcc_90,2016-04-11,2016-05-09,2016-05-26,2016-04-09,2016-05-05,2016-05-23,2016-04-16,2016-05-20,2016-05-28,0.33726,0.34329,0.35394,0.33458,0.37105
harvardhemlock2,EN,1000,rising,gcc_90,2017-04-08,2017-04-26,2017-05-29,2017-04-06,2017-04-12,2017-05-25,2017-04-10,2017-05-03,2017-05-31,0.33638,0.34578,0.36138,0.3312,0.38998
harvardhemlock2,EN,1000,rising,gcc_90,2018-04-10,2018-04-23,2018-05-18,2018-03-22,2018-04-21,2018-05-02,2018-04-11,2018-04-25,2018-05-24,0.3412,0.3502,0.36536,0.33558,0.39465
harvardhemlock2,EN,1000,rising,gcc_75,2016-04-12,2016-05-09,2016-05-26,2016-04-09,2016-05-05,2016-05-23,2016-04-20,2016-05-21,2016-05-27,0.33634,0.34146,0.35237,0.33271,0.36926
harvardhemlock2,EN,1000,rising,gcc_75,2017-04-07,2017-04-24,2017-05-29,2017-04-06,2017-04-11,2017-05-24,2017-04-10,2017-05-13,2017-05-31,0.33333,0.34331,0.35901,0.32886,0.38709
harvardhemlock2,EN,1000,rising,gcc_75,2018-04-10,2018-04-23,2018-05-08,2018-04-09,2018-04-21,2018-05-02,2018-04-11,2018-04-26,2018-05-24,0.33838,0.34799,0.36295,0.33368,0.39202
harvardhemlock2,EN,1000,rising,gcc_50,2016-04-13,2016-05-11,2016-05-25,2016-04-08,2016-04-22,2016-05-22,2016-04-25,2016-05-20,2016-05-27,0.33111,0.33659,0.34614,0.32777,0.36366
harvardhemlock2,EN,1000,rising,gcc_50,2017-04-07,2017-04-17,2017-05-26,2017-04-04,2017-04-11,2017-05-20,2017-04-10,2017-05-13,2017-05-30,0.33051,0.33879,0.35322,0.32493,0.38086
harvardhemlock2,EN,1000,rising,gcc_50,2018-04-12,2018-04-22,2018-05-08,2018-04-09,2018-04-19,2018-05-02,2018-04-16,2018-04-26,2018-05-25,0.33389,0.34246,0.35759,0.32869,0.38633
harvardhemlock2,EN,1000,rising,gcc_mean,2016-04-04,2016-04-18,2016-05-22,2016-03-24,2016-04-08,2016-05-16,2016-04-12,2016-05-06,2016-05-25,0.32525,0.33084,0.34098,0.32164,0.35997
harvardhemlock2,EN,1000,rising,gcc_mean,2017-04-05,2017-04-13,2017-05-22,2017-03-22,2017-04-09,2017-05-17,2017-04-09,2017-04-24,2017-05-28,0.32534,0.33402,0.34941,0.31984,0.3782
harvardhemlock2,EN,1000,rising,gcc_mean,2018-04-09,2018-04-21,2018-05-08,2018-03-22,2018-04-15,2018-04-30,2018-04-13,2018-04-25,2018-05-24,0.32961,0.3391,0.3543,0.32505,0.38317
harvardhemlock2,EN,1000,falling,gcc_90,2018-11-17,2018-11-14,2018-10-18,2018-11-18,2018-11-15,2018-10-29,2018-11-16,2018-11-12,2018-10-13,0.34235,0.35084,0.36429,0.33851,0.38974
harvardhemlock2,EN,1000,falling,gcc_90,2017-12-09,2017-12-05,2017-11-02,2017-12-10,2017-12-06,2017-11-06,2017-12-07,2017-12-02,2017-10-13,0.33429,0.34356,0.35998,0.33007,0.38893
harvardhemlock2,EN,1000,falling,gcc_90,2016-12-06,2016-11-24,2016-10-19,2016-12-09,2016-12-03,2016-11-07,2016-12-03,2016-11-19,2016-10-11,0.33083,0.3376,0.349,0.32672,0.37105
harvardhemlock2,EN,1000,falling,gcc_75,2018-11-16,2018-11-14,2018-10-16,2018-11-18,2018-11-15,2018-10-20,2018-11-14,2018-11-11,2018-10-12,0.34084,0.34672,0.36183,0.33595,0.38731
harvardhemlock2,EN,1000,falling,gcc_75,2017-12-07,2017-11-28,2017-10-30,2017-12-09,2017-12-05,2017-11-05,2017-12-05,2017-11-23,2017-10-12,0.33622,0.34436,0.3584,0.33086,0.38592
harvardhemlock2,EN,1000,falling,gcc_75,2016-12-06,2016-11-24,2016-10-16,2016-12-08,2016-12-02,2016-11-05,2016-12-03,2016-11-19,2016-10-12,0.32775,0.33492,0.34648,0.32424,0.36851
harvardhemlock2,EN,1000,falling,gcc_50,2018-11-17,2018-11-13,2018-10-12,2018-11-18,2018-11-15,2018-10-16,2018-11-14,2018-11-10,2018-10-09,0.33307,0.34149,0.35558,0.32976,0.37995
harvardhemlock2,EN,1000,falling,gcc_50,2017-12-07,2017-11-24,2017-10-12,2017-12-08,2017-11-27,2017-11-05,2017-12-04,2017-11-10,2017-10-08,0.33036,0.33936,0.35372,0.32705,0.37936
