#
# Transition date estimate for harvardhemlock
#
# Site: harvardhemlock
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2012
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:25:28
# Spline RMSE gcc_mean: 0.00347
# Spline RMSE gcc_50: 0.00305
# Spline RMSE gcc_75: 0.00457
# Spline RMSE gcc_90: 0.00758
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardhemlock,EN,1000,rising,gcc_90,2011-03-12,2011-03-26,2011-04-10,2011-02-21,2011-03-14,2011-04-01,2011-03-27,2011-04-03,2011-04-17,0.39046,0.39504,0.40427,0.38731,0.4204
harvardhemlock,EN,1000,rising,gcc_90,2012-04-30,2012-05-07,2012-05-17,2012-03-20,2012-05-02,2012-05-12,2012-05-07,2012-05-13,2012-05-20,0.40439,0.40949,0.42031,0.40105,0.43805
harvardhemlock,EN,1000,rising,gcc_75,2011-03-14,2011-03-30,2011-04-19,2011-03-05,2011-03-20,2011-04-13,2011-03-24,2011-04-10,2011-04-27,0.38637,0.39119,0.39928,0.38341,0.41487
harvardhemlock,EN,1000,rising,gcc_75,2012-03-21,2012-05-01,2012-05-15,2012-03-17,2012-04-23,2012-05-11,2012-03-29,2012-05-07,2012-05-17,0.39222,0.39875,0.40905,0.38888,0.42843
harvardhemlock,EN,1000,rising,gcc_50,2011-03-15,2011-04-06,2011-04-20,2011-03-08,2011-03-31,2011-04-16,2011-03-30,2011-04-11,2011-04-24,0.3793,0.38378,0.39179,0.37645,0.40704
harvardhemlock,EN,1000,rising,gcc_50,2012-03-14,2012-04-27,2012-05-14,2012-03-12,2012-03-21,2012-05-11,2012-03-19,2012-05-04,2012-05-16,0.384,0.39051,0.40113,0.38094,0.4197
harvardhemlock,EN,1000,rising,gcc_mean,2011-03-12,2011-03-30,2011-04-15,2011-03-04,2011-03-21,2011-04-10,2011-03-25,2011-04-06,2011-04-20,0.37893,0.38322,0.39099,0.37629,0.40514
harvardhemlock,EN,1000,rising,gcc_mean,2012-03-15,2012-04-27,2012-05-13,2012-03-12,2012-03-20,2012-05-10,2012-03-19,2012-05-04,2012-05-15,0.38453,0.39039,0.40048,0.38063,0.42011
harvardhemlock,EN,1000,falling,gcc_90,2011-12-04,2011-11-19,2011-10-20,2011-12-30,2011-12-04,2011-11-06,2011-11-16,2011-10-27,2011-10-08,0.39513,0.39959,0.40672,0.39258,0.42079
harvardhemlock,EN,1000,falling,gcc_90,2010-12-15,2010-12-02,2010-10-28,2010-12-30,2010-12-10,2010-11-21,2010-12-04,2010-11-23,2010-10-15,0.39275,0.3991,0.41043,0.38838,0.43241
harvardhemlock,EN,1000,falling,gcc_75,2011-11-27,2011-11-02,2011-10-12,2011-12-07,2011-11-19,2011-10-19,2011-11-07,2011-10-22,2011-10-05,0.38898,0.39315,0.40086,0.38622,0.41489
harvardhemlock,EN,1000,falling,gcc_75,2010-12-05,2010-11-23,2010-10-23,2010-12-11,2010-11-29,2010-11-01,2010-11-29,2010-11-16,2010-10-14,0.38705,0.3933,0.4041,0.38328,0.42482
harvardhemlock,EN,1000,falling,gcc_50,2011-11-26,2011-10-26,2011-10-12,2011-12-01,2011-11-02,2011-10-17,2011-11-17,2011-10-20,2011-10-08,0.38304,0.38719,0.39415,0.38067,0.40696
harvardhemlock,EN,1000,falling,gcc_50,2010-12-03,2010-11-22,2010-10-22,2010-12-07,2010-11-26,2010-10-30,2010-11-29,2010-11-17,2010-10-16,0.37876,0.38582,0.39709,0.37484,0.41926
harvardhemlock,EN,1000,falling,gcc_mean,2011-11-30,2011-11-05,2011-10-17,2011-12-06,2011-11-28,2011-10-23,2011-11-24,2011-10-25,2011-10-12,0.3829,0.3866,0.3928,0.38069,0.40448
harvardhemlock,EN,1000,falling,gcc_mean,2010-12-06,2010-11-27,2010-10-24,2010-12-10,2010-11-30,2010-11-04,2010-12-01,2010-11-21,2010-10-17,0.37958,0.3857,0.39688,0.37593,0.41747
