#
# ROI color statistics timeseries for harvardlph
#
# Site: harvardlph
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 42.542
# Lon: -72.185
# Elev: 380
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2018-05-01
# Creation Time: 06:42:08
# Update Date: 2019-01-14
# Update Time: 04:31:33
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2010-06-15,10:08:34,166,harvardlph_2010_06_15_100834.jpg,61.65304,NA,1,0.40645,0.32569,63.71921,27.06948,23,30,44,62,81,98,110,79.52014,28.44499,36,43,59,78,98,116,128,52.40496,24.83238,16,22,35,50,68,84,96,0.98548,0.95698,0.96754
2010-06-15,10:38:34,166,harvardlph_2010_06_15_103834.jpg,65.83753,NA,1,0.40796,0.32448,65.67720,27.85955,24,31,45,64,83,101,114,82.57454,29.38058,37,45,61,82,102,120,132,54.15672,25.70351,16,23,36,52,70,87,99,0.98508,0.95736,0.96861
2010-06-15,11:08:35,166,harvardlph_2010_06_15_110835.jpg,69.01529,NA,1,0.40758,0.32348,64.44350,27.71552,23,30,44,63,82,100,112,81.19664,29.25162,36,44,60,80,100,119,131,53.57642,25.66423,16,22,35,52,69,87,98,0.98492,0.95795,0.96954
2010-06-15,11:38:35,166,harvardlph_2010_06_15_113835.jpg,70.65882,NA,1,0.40759,0.32324,64.00040,27.90026,22,29,44,62,82,100,112,80.70246,29.50064,35,43,59,80,100,118,131,53.29627,25.83151,15,22,35,51,69,87,98,0.98531,0.95762,0.97021
2010-06-15,12:38:34,166,harvardlph_2010_06_15_123834.jpg,68.23507,NA,1,0.40582,0.32305,61.11668,26.67398,22,28,41,59,78,96,108,76.77681,28.40830,34,41,56,75,95,114,126,51.29352,24.66914,16,22,33,49,66,83,95,0.98552,0.95422,0.96982
2010-06-15,13:08:34,166,harvardlph_2010_06_15_130834.jpg,64.71931,NA,1,0.40480,0.32390,61.82945,28.04374,21,27,41,60,79,98,111,77.27241,29.83567,33,40,55,76,96,116,129,51.78628,25.88702,15,21,33,49,67,86,98,0.98604,0.95538,0.97026
2010-06-15,13:38:34,166,harvardlph_2010_06_15_133834.jpg,60.32646,NA,1,0.40356,0.32370,59.09770,26.07676,22,28,39,57,76,93,105,73.67897,27.83406,33,39,53,72,92,110,122,49.79432,23.97208,16,22,32,47,64,81,93,0.98620,0.95246,0.96871
2010-06-15,14:38:35,166,harvardlph_2010_06_15_143835.jpg,50.17973,NA,1,0.40127,0.32462,56.43341,25.77579,22,27,37,53,72,90,103,69.75838,27.52579,31,37,49,67,87,106,118,47.65013,23.68725,16,21,31,44,61,79,91,0.98730,0.94987,0.96755
2010-06-15,15:08:35,166,harvardlph_2010_06_15_150835.jpg,44.77924,NA,1,0.39946,0.32465,54.97225,27.42136,19,24,34,51,71,91,104,67.64065,29.29486,28,33,45,64,86,106,120,46.71617,25.18674,14,19,29,42,61,80,93,0.98777,0.95051,0.96818
2010-06-15,15:38:35,166,harvardlph_2010_06_15_153835.jpg,39.29000,NA,1,0.39733,0.32574,53.68093,28.06355,18,22,32,49,70,91,105,65.47850,30.01551,26,31,42,61,84,105,119,45.63858,25.65985,13,18,28,41,59,79,93,0.98836,0.94830,0.96709
2010-06-15,16:08:35,166,harvardlph_2010_06_15_160835.jpg,33.77180,NA,1,0.39547,0.32677,51.29542,27.49424,17,21,30,46,67,87,101,62.08020,29.44792,24,28,39,58,80,101,115,43.60183,24.96308,12,17,27,39,56,76,89,0.98823,0.94218,0.96316
2010-06-15,16:38:35,166,harvardlph_2010_06_15_163835.jpg,28.27035,NA,1,0.39351,0.32960,50.05457,26.61968,18,22,30,45,65,85,99,59.76046,28.53752,24,28,38,55,76,97,111,42.04881,23.89974,12,17,26,37,54,72,86,0.98820,0.93559,0.95870
2010-06-15,17:08:35,166,harvardlph_2010_06_15_170835.jpg,22.82449,NA,1,0.39069,0.33305,49.30231,25.23287,19,23,31,44,63,82,96,57.83568,27.00777,25,29,37,53,73,94,107,40.89640,22.33433,13,18,27,36,51,69,82,0.98828,0.92925,0.95322
2010-06-15,17:38:35,166,harvardlph_2010_06_15_173835.jpg,17.47100,NA,1,0.38557,0.33809,46.41124,23.10230,20,23,30,41,58,77,89,52.92878,24.74763,23,27,34,48,66,86,98,37.93398,20.02613,13,18,26,34,46,63,74,0.98784,0.91816,0.94444
2010-06-15,18:08:35,166,harvardlph_2010_06_15_180835.jpg,12.24769,NA,1,0.38163,0.34730,46.91767,22.76827,22,25,31,41,58,77,89,51.55575,24.12644,24,27,34,46,64,83,96,36.62016,19.05319,13,18,26,33,44,60,71,0.98918,0.90811,0.93132
2010-06-15,18:38:35,166,harvardlph_2010_06_15_183835.jpg,7.20793,NA,1,0.37424,0.36400,47.42478,21.57537,25,27,32,42,58,76,88,48.75961,22.27152,24,27,33,43,60,79,91,34.10473,16.98269,13,18,25,31,40,54,65,0.99116,0.89174,0.90557
2010-06-15,19:08:35,166,harvardlph_2010_06_15_190835.jpg,2.46643,NA,1,0.34291,0.43839,41.66995,22.67546,16,20,27,37,50,67,83,32.59432,17.92604,8,12,20,30,42,56,66,20.78824,12.34182,3,7,12,19,27,37,44,0.94298,0.91736,0.86684
2010-06-15,19:38:35,166,harvardlph_2010_06_15_193835.jpg,-1.42476,NA,1,0.37773,0.26813,24.97508,13.77653,3,7,15,24,34,43,49,35.18342,16.08086,8,14,24,35,46,56,62,32.98625,12.33388,13,17,25,33,41,49,54,0.95704,0.85939,0.89889
2010-06-15,20:08:35,166,harvardlph_2010_06_15_200835.jpg,-6.73256,NA,1,0.25574,0.37046,46.20234,6.74055,35,38,42,46,50,54,57,31.89432,5.88146,22,25,29,32,35,39,41,46.61859,6.89389,35,38,42,47,51,55,57,0.73670,0.71899,0.66426
