#
# Transition date estimate for harvardlph
#
# Site: harvardlph
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:27:12
# Spline RMSE gcc_mean: 0.00213
# Spline RMSE gcc_50: 0.00223
# Spline RMSE gcc_75: 0.00246
# Spline RMSE gcc_90: 0.00283
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardlph,DB,3000,rising,gcc_90,2015-05-04,2015-05-07,2015-05-11,2015-05-03,2015-05-06,2015-05-10,2015-05-06,2015-05-09,2015-05-12,0.32811,0.34019,0.36191,0.32314,0.39933
harvardlph,DB,3000,rising,gcc_90,2016-05-10,2016-05-15,2016-05-20,2016-05-09,2016-05-14,2016-05-19,2016-05-12,2016-05-16,2016-05-21,0.33154,0.34576,0.36878,0.32347,0.41331
harvardlph,DB,3000,rising,gcc_90,2017-05-07,2017-05-11,2017-05-17,2017-05-02,2017-05-10,2017-05-15,2017-05-09,2017-05-13,2017-05-18,0.33122,0.34202,0.37076,0.3246,0.40527
harvardlph,DB,3000,rising,gcc_90,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-12,2018-05-07,2018-05-10,2018-05-14,0.33169,0.34294,0.3671,0.32491,0.40926
harvardlph,DB,3000,rising,gcc_75,2015-05-05,2015-05-08,2015-05-12,2015-05-04,2015-05-07,2015-05-10,2015-05-07,2015-05-09,2015-05-13,0.33053,0.34281,0.36589,0.32692,0.3968
harvardlph,DB,3000,rising,gcc_75,2016-05-10,2016-05-15,2016-05-21,2016-05-08,2016-05-14,2016-05-19,2016-05-12,2016-05-16,2016-05-22,0.33041,0.34374,0.37101,0.32205,0.4108
harvardlph,DB,3000,rising,gcc_75,2017-05-07,2017-05-12,2017-05-17,2017-05-01,2017-05-11,2017-05-16,2017-05-10,2017-05-13,2017-05-18,0.33045,0.34241,0.36594,0.32344,0.40301
harvardlph,DB,3000,rising,gcc_75,2018-05-06,2018-05-09,2018-05-14,2018-05-05,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-15,0.33207,0.34258,0.36691,0.3239,0.40635
harvardlph,DB,3000,rising,gcc_50,2015-05-06,2015-05-08,2015-05-12,2015-05-05,2015-05-07,2015-05-11,2015-05-07,2015-05-10,2015-05-13,0.33196,0.33954,0.36147,0.32531,0.39372
harvardlph,DB,3000,rising,gcc_50,2016-05-10,2016-05-15,2016-05-21,2016-05-08,2016-05-14,2016-05-19,2016-05-12,2016-05-16,2016-05-22,0.32884,0.34142,0.36729,0.32053,0.40677
harvardlph,DB,3000,rising,gcc_50,2017-05-07,2017-05-12,2017-05-17,2017-04-30,2017-05-11,2017-05-16,2017-05-09,2017-05-14,2017-05-18,0.32977,0.33964,0.36134,0.3221,0.39984
harvardlph,DB,3000,rising,gcc_50,2018-05-06,2018-05-10,2018-05-15,2018-05-05,2018-05-09,2018-05-13,2018-05-08,2018-05-11,2018-05-16,0.32914,0.34147,0.36734,0.32257,0.4034
harvardlph,DB,3000,rising,gcc_mean,2015-05-06,2015-05-08,2015-05-12,2015-05-05,2015-05-07,2015-05-11,2015-05-07,2015-05-10,2015-05-13,0.33156,0.3389,0.36052,0.32518,0.39212
harvardlph,DB,3000,rising,gcc_mean,2016-05-10,2016-05-15,2016-05-21,2016-05-09,2016-05-14,2016-05-19,2016-05-12,2016-05-16,2016-05-22,0.32855,0.34116,0.36702,0.32074,0.4053
harvardlph,DB,3000,rising,gcc_mean,2017-05-07,2017-05-12,2017-05-17,2017-05-01,2017-05-11,2017-05-16,2017-05-09,2017-05-14,2017-05-18,0.32984,0.33976,0.36135,0.32227,0.39914
harvardlph,DB,3000,rising,gcc_mean,2018-05-06,2018-05-09,2018-05-14,2018-05-05,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-15,0.33008,0.33976,0.36253,0.32261,0.4006
harvardlph,DB,3000,falling,gcc_90,2018-11-01,2018-10-27,2018-10-14,2018-11-03,2018-10-28,2018-10-17,2018-10-30,2018-10-25,2018-10-12,0.33817,0.34866,0.36745,0.33238,0.40075
harvardlph,DB,3000,falling,gcc_90,2017-10-28,2017-10-25,2017-10-18,2017-10-29,2017-10-26,2017-10-20,2017-10-26,2017-10-23,2017-10-17,0.32876,0.34003,0.36399,0.3231,0.39904
