#
# Transition date estimate for hawbeckereddy
#
# Site: hawbeckereddy
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:28:12
# Spline RMSE gcc_mean: 0.00307
# Spline RMSE gcc_50: 0.00314
# Spline RMSE gcc_75: 0.00303
# Spline RMSE gcc_90: 0.00313
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hawbeckereddy,DB,1000,rising,gcc_90,2016-04-24,2016-04-30,2016-05-13,2016-04-22,2016-04-29,2016-05-11,2016-04-26,2016-05-02,2016-05-14,0.35389,0.36637,0.38778,0.34612,0.42865
hawbeckereddy,DB,1000,rising,gcc_90,2017-04-18,2017-04-24,2017-04-30,2017-04-13,2017-04-23,2017-04-29,2017-04-21,2017-04-26,2017-05-01,0.35284,0.36331,0.39088,0.34445,0.43204
hawbeckereddy,DB,1000,rising,gcc_75,2016-04-24,2016-04-30,2016-05-14,2016-04-22,2016-04-29,2016-05-12,2016-04-26,2016-05-02,2016-05-15,0.35296,0.36475,0.38662,0.34536,0.42609
hawbeckereddy,DB,1000,rising,gcc_75,2017-04-18,2017-04-24,2017-04-30,2017-04-12,2017-04-23,2017-04-28,2017-04-21,2017-04-26,2017-05-01,0.35177,0.36217,0.38902,0.3437,0.42761
hawbeckereddy,DB,1000,rising,gcc_50,2016-04-23,2016-04-30,2016-05-13,2016-04-20,2016-04-29,2016-05-11,2016-04-26,2016-05-01,2016-05-15,0.35112,0.3626,0.38083,0.34452,0.41698
hawbeckereddy,DB,1000,rising,gcc_50,2017-04-18,2017-04-24,2017-04-30,2017-04-12,2017-04-23,2017-04-29,2017-04-22,2017-04-26,2017-05-01,0.35015,0.36016,0.38574,0.34265,0.42402
hawbeckereddy,DB,1000,rising,gcc_mean,2016-04-23,2016-04-29,2016-05-13,2016-04-20,2016-04-28,2016-05-11,2016-04-26,2016-05-01,2016-05-14,0.35099,0.3602,0.38018,0.34446,0.41486
hawbeckereddy,DB,1000,rising,gcc_mean,2017-04-18,2017-04-24,2017-04-30,2017-04-11,2017-04-23,2017-04-28,2017-04-21,2017-04-26,2017-05-01,0.35025,0.35962,0.38439,0.34266,0.42077
hawbeckereddy,DB,1000,falling,gcc_90,2017-11-03,2017-10-22,2017-10-15,2017-11-05,2017-10-23,2017-10-16,2017-10-26,2017-10-21,2017-10-14,0.35129,0.36134,0.38164,0.34411,0.41653
hawbeckereddy,DB,1000,falling,gcc_90,2016-10-20,2016-10-17,2016-10-11,2016-10-21,2016-10-18,2016-10-13,2016-10-18,2016-10-15,2016-10-10,0.35839,0.36825,0.38605,0.35434,0.41608
hawbeckereddy,DB,1000,falling,gcc_90,2015-10-18,2015-10-12,2015-10-07,2015-10-19,2015-10-13,2015-10-09,2015-10-14,2015-10-11,2015-10-06,0.35979,0.36784,0.38198,0.3562,0.4035
hawbeckereddy,DB,1000,falling,gcc_75,2017-11-03,2017-10-22,2017-10-15,2017-11-05,2017-10-23,2017-10-16,2017-10-26,2017-10-21,2017-10-14,0.35002,0.35984,0.38008,0.34351,0.41307
hawbeckereddy,DB,1000,falling,gcc_75,2016-10-19,2016-10-17,2016-10-11,2016-10-20,2016-10-18,2016-10-13,2016-10-18,2016-10-15,2016-10-10,0.35921,0.36635,0.38448,0.35344,0.41298
hawbeckereddy,DB,1000,falling,gcc_75,2015-10-18,2015-10-12,2015-10-07,2015-10-19,2015-10-14,2015-10-09,2015-10-14,2015-10-11,2015-10-06,0.35906,0.36669,0.37918,0.3554,0.40069
hawbeckereddy,DB,1000,falling,gcc_50,2017-11-02,2017-10-22,2017-10-16,2017-11-05,2017-10-23,2017-10-18,2017-10-26,2017-10-21,2017-10-15,0.34913,0.35824,0.3759,0.34277,0.407
hawbeckereddy,DB,1000,falling,gcc_50,2016-10-20,2016-10-17,2016-10-11,2016-10-21,2016-10-18,2016-10-13,2016-10-18,2016-10-15,2016-10-10,0.35447,0.36445,0.38103,0.35128,0.40927
hawbeckereddy,DB,1000,falling,gcc_50,2015-10-18,2015-10-13,2015-10-07,2015-10-19,2015-10-14,2015-10-09,2015-10-15,2015-10-11,2015-10-06,0.35696,0.36316,0.377,0.35336,0.39641
hawbeckereddy,DB,1000,falling,gcc_mean,2017-11-03,2017-10-22,2017-10-16,2017-11-05,2017-10-23,2017-10-17,2017-10-26,2017-10-21,2017-10-15,0.34856,0.35813,0.37559,0.34263,0.4051
hawbeckereddy,DB,1000,falling,gcc_mean,2016-10-20,2016-10-17,2016-10-11,2016-10-21,2016-10-18,2016-10-13,2016-10-18,2016-10-15,2016-10-09,0.35447,0.36332,0.37889,0.35149,0.40495
hawbeckereddy,DB,1000,falling,gcc_mean,2015-10-18,2015-10-13,2015-10-08,2015-10-19,2015-10-14,2015-10-09,2015-10-15,2015-10-11,2015-10-07,0.35669,0.36241,0.37391,0.35324,0.39443
