#
# 1-day summary product time series for honouliuli
#
# Site: honouliuli
# Veg Type: EB
# ROI ID Number: 1000
# Lat: 21.37
# Lon: -158.15
# Elev: 870
# UTC Offset: -10
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-07-23
# Creation Time: 19:13:16
# Update Date: 2019-01-14
# Update Time: 05:24:29
# Final Processing Date:: 2019-01-14
# Final Processing Time:: 16:28:16
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2017-06-30,2017,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36127,0.36161,0.36314,0.36518,0.35823,0.35911,0.3666,0.37119,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-01,2017,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35901,0.35942,0.36277,0.36499,0.35397,0.35569,0.36426,0.36922,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-02,2017,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35713,0.35762,0.36242,0.36485,0.35047,0.35289,0.36225,0.3676,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-03,2017,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35561,0.3562,0.36211,0.36474,0.34772,0.35071,0.36057,0.36632,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-04,2017,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35441,0.3551,0.36184,0.36465,0.3456,0.34905,0.35922,0.36533,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-05,2017,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3536,0.3544,0.3616,0.36459,0.34424,0.34803,0.35829,0.36472,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-06,2017,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35317,0.35408,0.36139,0.36456,0.34361,0.34763,0.35775,0.36448,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-07,2017,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35294,0.35396,0.36121,0.3645,0.34338,0.34753,0.35742,0.36438,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-08,2017,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35313,0.35428,0.36106,0.36449,0.34407,0.34816,0.35728,0.36453,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2017-07-09,2017,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35354,0.35482,0.36092,0.36445,0.34522,0.34916,0.35736,0.36486,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
