#
# ROI color statistics timeseries for hubbardbrook
#
# Site: hubbardbrook
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 43.9438
# Lon: -71.701
# Elev: 253
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2018-05-01
# Creation Time: 09:09:08
# Update Date: 2019-01-14
# Update Time: 04:32:12
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2009-01-19,14:01:37,19,hubbardbrook_2009_01_19_140137.jpg,19.91423,NA,1,0.31872,0.33094,69.10036,29.44895,37,42,52,63,78,102,122,66.54898,31.56972,33,38,48,59,76,102,124,73.14931,32.59414,39,44,53,66,83,111,133,0.99181,0.99453,0.98347
2009-01-19,14:31:37,19,hubbardbrook_2009_01_19_143137.jpg,16.88631,NA,1,0.31509,0.32045,65.04964,28.66248,33,38,48,59,74,98,118,63.96173,31.33271,30,35,45,57,74,101,122,73.98171,33.09927,39,44,53,66,84,114,136,0.99046,0.99391,0.98042
2009-01-19,15:01:37,19,hubbardbrook_2009_01_19_150137.jpg,13.37736,NA,1,0.31521,0.31612,61.45500,25.83983,33,38,46,56,69,92,109,61.27821,28.82729,31,36,44,54,69,96,115,71.67109,31.32112,39,44,53,64,80,109,130,0.98987,0.99332,0.97925
2009-01-19,15:31:37,19,hubbardbrook_2009_01_19_153137.jpg,9.46497,NA,1,0.31609,0.31693,72.67721,31.49962,39,45,54,66,81,109,130,72.48481,34.03403,37,43,52,64,82,114,137,84.15715,35.80581,47,52,62,75,94,129,155,0.99001,0.99082,0.97405
2009-01-19,16:01:37,19,hubbardbrook_2009_01_19_160137.jpg,5.23827,NA,1,0.30488,0.31163,70.25267,28.00371,41,46,55,64,78,100,118,68.73013,31.08665,36,42,51,62,77,104,124,86.45076,33.12257,52,57,66,78,96,127,149,0.98557,0.98525,0.95985
2009-01-19,16:31:37,19,hubbardbrook_2009_01_19_163137.jpg,0.90745,NA,1,0.24848,0.29410,28.62481,6.06244,21,23,25,28,31,35,39,24.18450,9.20889,14,16,19,22,27,34,40,44.52120,12.48044,32,34,38,42,47,57,65,0.88299,0.96501,0.82862
2009-01-19,17:01:37,19,hubbardbrook_2009_01_19_170137.jpg,-2.85154,NA,1,0.17559,0.40397,24.08063,3.05604,19,20,22,24,26,28,29,10.46684,2.91628,6,7,9,11,12,14,15,25.06291,3.22692,20,21,23,25,27,29,30,0.87230,0.84583,0.81172
2009-01-19,17:31:37,19,hubbardbrook_2009_01_19_173137.jpg,-9.34078,NA,1,0.18325,0.40407,24.55213,2.80403,20,21,23,25,26,28,29,11.13436,2.67778,7,8,10,11,13,14,15,25.07523,2.98158,20,21,23,25,27,29,30,0.87235,0.83209,0.80535
2009-01-19,18:01:37,19,hubbardbrook_2009_01_19_180137.jpg,-14.51004,NA,1,0.18392,0.40380,24.48444,2.86102,20,21,23,25,26,28,29,11.15223,2.74590,6,8,10,11,13,14,15,24.99808,3.05026,20,21,23,25,27,29,30,0.88139,0.83352,0.81532
2009-01-19,18:31:37,19,hubbardbrook_2009_01_19_183137.jpg,-19.79166,NA,1,0.18289,0.40450,24.56143,2.86646,20,21,23,25,26,28,29,11.10522,2.74177,6,8,10,11,13,14,15,25.05343,3.03238,20,21,23,25,27,29,30,0.87695,0.83419,0.81379
2009-01-19,19:01:37,19,hubbardbrook_2009_01_19_190137.jpg,-25.14772,NA,1,0.18305,0.40312,24.51980,2.80467,20,21,23,25,26,28,29,11.13415,2.69161,7,8,10,11,13,14,15,25.17095,2.97130,20,22,23,25,27,29,30,0.87946,0.83750,0.82091
