#
# ROI color statistics timeseries for hubbardbrooksfws
#
# Site: hubbardbrooksfws
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 43.9269
# Lon: -71.7407
# Elev: 650
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2018-05-01
# Creation Time: 09:42:46
# Update Date: 2019-01-14
# Update Time: 04:32:22
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2012-04-12,09:10:02,103,hubbardbrooksfws_2012_04_12_091002.jpg,41.15779,NA,1,0.33643,0.37186,118.69562,43.30361,57,70,91,114,137,173,207,107.38507,42.25156,51,62,81,101,124,160,195,93.11346,41.49250,38,49,67,87,110,145,179,0.99020,0.99201,0.97910
2012-04-12,10:10:02,103,hubbardbrooksfws_2012_04_12_101002.jpg,49.14307,NA,1,0.33545,0.37319,125.69238,42.50244,66,78,99,121,144,180,215,112.98168,41.45706,59,69,87,106,129,166,201,98.12953,40.90223,45,55,72,91,114,150,185,0.98877,0.99247,0.97869
2012-04-12,13:38:26,103,hubbardbrooksfws_2012_04_12_133826.jpg,47.62331,NA,1,0.33585,0.37602,107.87648,24.61045,71,81,96,108,117,129,147,96.35444,23.39983,62,71,86,95,105,116,133,82.66281,24.19418,44,53,70,85,94,103,115,0.98662,0.96574,0.94016
2012-04-12,15:10:02,103,hubbardbrooksfws_2012_04_12_151002.jpg,34.10581,NA,1,0.33738,0.37178,97.26651,23.50644,59,68,85,98,109,119,128,88.26727,22.73800,53,61,76,89,100,110,118,76.09246,23.92602,37,46,61,79,89,100,107,0.99209,0.97939,0.97106
2012-04-12,16:10:02,103,hubbardbrooksfws_2012_04_12_161002.jpg,23.79200,NA,1,0.33641,0.34843,101.74994,18.03614,74,81,94,102,109,117,128,98.23936,17.76769,71,77,90,98,106,114,123,92.03688,20.40453,57,64,79,95,104,113,118,0.98679,0.93481,0.89604
2012-04-12,17:10:02,103,hubbardbrooksfws_2012_04_12_171002.jpg,13.08763,NA,1,0.33602,0.37585,101.71779,32.68303,59,68,83,98,114,134,157,90.93689,30.63973,51,60,74,88,102,119,139,77.97607,29.38681,35,45,62,77,91,105,119,0.98375,0.96080,0.91883
2012-04-12,18:10:00,103,hubbardbrooksfws_2012_04_12_181000.jpg,2.55140,NA,1,0.32967,0.35901,66.32919,13.17198,47,52,60,66,72,78,86,60.90836,12.79312,42,46,54,61,66,72,79,57.51821,14.56740,34,38,47,60,66,72,76,0.98222,0.92697,0.87081
2012-04-12,19:10:02,103,hubbardbrooksfws_2012_04_12_191002.jpg,-8.08725,NA,1,0.33250,0.33365,14.54749,6.42235,4,6,10,14,19,23,25,14.49747,6.41902,4,6,10,14,19,23,25,14.55614,6.42420,4,6,10,14,19,23,25,0.99815,0.99870,0.99865
2012-04-13,07:10:02,104,hubbardbrooksfws_2012_04_13_071002.jpg,21.31825,NA,1,0.33499,0.38073,85.59202,22.20583,50,60,75,86,95,106,117,75.30860,20.82634,42,50,65,76,85,94,103,63.91099,21.37451,28,36,51,67,76,84,91,0.98214,0.96123,0.91388
2012-04-13,08:10:02,104,hubbardbrooksfws_2012_04_13_081002.jpg,31.80541,NA,1,0.33424,0.38904,90.82718,21.41595,55,66,82,92,99,109,121,78.03205,20.07351,45,54,69,79,87,95,105,64.60347,20.72046,29,38,53,68,75,83,90,0.98351,0.96542,0.93005
2012-04-13,10:10:02,104,hubbardbrooksfws_2012_04_13_101002.jpg,49.49339,NA,1,0.33448,0.39078,95.49274,20.06343,62,72,88,97,103,111,123,81.73498,18.88339,51,60,74,83,90,96,106,67.13610,19.64216,33,41,57,70,78,84,89,0.98488,0.96780,0.94019
2012-04-13,11:10:02,104,hubbardbrooksfws_2012_04_13_111002.jpg,54.50366,NA,1,0.33554,0.38753,95.24077,21.25746,62,71,87,96,103,112,128,82.46382,20.10103,52,60,73,83,90,98,113,68.05723,20.82272,34,42,56,70,79,85,95,0.98639,0.96795,0.94331
2012-04-13,12:10:02,104,hubbardbrooksfws_2012_04_13_121002.jpg,55.10453,NA,1,0.33594,0.38884,97.09981,22.04651,63,73,88,98,105,115,131,83.88822,20.79142,53,61,74,84,92,100,115,68.72613,21.52906,34,42,57,71,80,87,96,0.98650,0.96858,0.94856
2012-04-13,13:10:02,104,hubbardbrooksfws_2012_04_13_131002.jpg,51.08401,NA,1,0.33595,0.38696,98.30860,21.53176,65,74,89,99,107,115,132,85.34985,20.36651,55,63,76,85,94,102,116,70.39421,21.14399,36,44,58,72,82,89,97,0.98669,0.97061,0.95042
2012-04-13,14:10:02,104,hubbardbrooksfws_2012_04_13_141002.jpg,43.68245,NA,1,0.33613,0.38934,98.09512,22.91585,64,74,88,97,106,116,136,84.68931,21.36432,54,62,75,84,93,101,119,69.17045,21.82980,35,43,57,71,80,88,99,0.98588,0.96507,0.94267
2012-04-13,15:10:02,104,hubbardbrooksfws_2012_04_13_151002.jpg,34.33102,NA,1,0.33501,0.39246,93.81818,21.97504,61,70,84,93,102,111,129,80.08348,20.43188,50,58,71,79,88,96,111,65.14979,20.61821,32,40,54,67,75,83,91,0.98548,0.96116,0.93142
2012-04-13,17:10:02,104,hubbardbrooksfws_2012_04_13_171002.jpg,13.28844,NA,1,0.33688,0.35962,80.26176,25.21966,47,55,66,78,90,104,122,75.18776,23.26851,44,51,62,73,84,96,111,67.73615,22.56060,33,41,55,68,79,89,98,0.98122,0.93855,0.87770
2012-04-13,18:10:00,104,hubbardbrooksfws_2012_04_13_181000.jpg,2.74713,NA,1,0.33805,0.34263,62.90873,17.75221,42,46,55,61,67,78,91,62.06822,15.35607,41,45,54,62,68,75,83,58.62845,16.61300,33,38,46,62,69,75,79,0.93937,0.89588,0.71856
2012-04-13,19:10:02,104,hubbardbrooksfws_2012_04_13_191002.jpg,-7.85759,NA,1,0.33114,0.33353,15.17243,6.97908,4,6,10,15,20,24,27,15.06358,6.97518,4,6,10,15,20,24,27,15.25434,6.99101,4,6,11,15,20,24,27,0.99727,0.99693,0.99635
2012-04-14,07:10:02,105,hubbardbrooksfws_2012_04_14_071002.jpg,21.60990,NA,1,0.33787,0.36118,77.85508,17.63000,50,58,69,78,86,95,103,72.83023,16.79494,46,53,64,73,81,89,96,64.87392,17.70535,35,41,55,67,75,82,88,0.98580,0.94323,0.90052
2012-04-14,08:10:02,105,hubbardbrooksfws_2012_04_14_081002.jpg,32.10756,NA,1,0.33394,0.38668,91.87027,20.05734,58,68,83,93,100,109,120,79.34120,18.67022,48,57,71,81,87,95,104,66.37829,19.55100,33,41,55,70,77,84,90,0.98167,0.95949,0.91844
2012-04-14,09:10:02,105,hubbardbrooksfws_2012_04_14_091002.jpg,41.80448,NA,1,0.33504,0.38779,92.35581,20.99270,57,67,84,94,101,109,121,79.79132,19.57286,48,56,71,81,88,95,106,66.01096,20.32029,31,40,54,69,77,84,90,0.98482,0.96340,0.93466
2012-04-14,10:10:02,105,hubbardbrooksfws_2012_04_14_101002.jpg,49.84048,NA,1,0.33531,0.38995,94.97996,20.95002,60,70,86,96,103,112,125,81.67308,19.47984,50,59,73,83,90,97,109,66.91873,20.32192,32,41,55,70,78,85,91,0.98503,0.96282,0.93786
2012-04-14,11:10:02,105,hubbardbrooksfws_2012_04_14_111002.jpg,54.86757,NA,1,0.33524,0.38941,99.60554,21.29861,65,75,90,101,108,117,132,85.75109,19.92354,54,63,76,86,94,102,116,70.43028,20.83517,36,44,58,73,82,89,97,0.98571,0.96538,0.94285
2012-04-14,12:10:02,105,hubbardbrooksfws_2012_04_14_121002.jpg,55.45300,NA,1,0.33536,0.38572,96.62339,19.40411,63,70,83,100,109,116,121,84.00854,18.03342,54,60,72,86,96,102,107,69.87138,19.25309,37,43,56,74,83,90,94,0.98790,0.98237,0.97159
2012-04-14,13:10:02,105,hubbardbrooksfws_2012_04_14_131002.jpg,51.38718,NA,1,0.33654,0.37724,96.64327,18.87252,67,76,89,96,104,112,127,86.21838,17.90390,59,66,78,86,94,101,114,73.32585,19.08054,41,49,62,75,84,91,98,0.98683,0.95936,0.93228
2012-04-14,14:10:02,105,hubbardbrooksfws_2012_04_14_141002.jpg,43.93878,NA,1,0.33736,0.37688,90.88857,17.32254,63,71,83,91,99,106,118,81.35858,16.42382,56,62,73,81,89,96,106,68.91621,17.45628,40,46,58,70,79,86,92,0.98781,0.96317,0.94070
2012-04-14,15:10:02,105,hubbardbrooksfws_2012_04_14_151002.jpg,34.55442,NA,1,0.33478,0.34093,128.02232,21.10405,91,101,117,130,139,148,157,125.71234,21.05707,90,98,113,127,137,147,155,121.77404,25.65404,77,86,103,128,139,149,155,0.98651,0.94658,0.91205
2012-04-14,16:10:02,105,hubbardbrooksfws_2012_04_14_161002.jpg,24.20436,NA,1,0.33722,0.35472,108.19166,19.10023,79,87,100,108,115,125,141,102.85367,18.47374,75,82,94,102,110,118,133,93.95935,20.82052,58,66,81,97,106,114,120,0.98549,0.92836,0.88629
2012-04-14,17:10:02,105,hubbardbrooksfws_2012_04_14_171002.jpg,13.48830,NA,1,0.33500,0.34241,138.09723,35.55139,83,95,116,137,157,178,200,135.11026,34.39564,81,94,114,134,153,172,192,130.10651,35.58627,70,82,108,132,152,170,184,0.98397,0.93844,0.89196
2012-04-14,18:10:00,105,hubbardbrooksfws_2012_04_14_181000.jpg,2.94300,NA,1,0.33693,0.32890,58.91504,12.40424,42,45,53,58,63,70,77,60.35264,11.57690,42,45,53,61,66,71,75,59.86011,13.83567,37,41,49,63,69,75,78,0.93646,0.90757,0.73389
2012-04-14,19:10:02,105,hubbardbrooksfws_2012_04_14_191002.jpg,-7.62724,NA,1,0.33831,0.32824,14.01992,6.68888,3,6,10,14,18,22,25,14.44972,6.69176,4,6,10,14,19,23,26,14.24247,6.68352,4,6,10,14,18,23,26,0.99175,0.99770,0.99710
