#
# Transition date estimate for hubbardbrooksfws
#
# Site: hubbardbrooksfws
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:31:27
# Spline RMSE gcc_mean: 0.00398
# Spline RMSE gcc_50: 0.00401
# Spline RMSE gcc_75: 0.00318
# Spline RMSE gcc_90: 0.00278
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hubbardbrooksfws,DB,3000,rising,gcc_90,2015-05-05,2015-05-12,2015-05-19,2015-05-02,2015-05-11,2015-05-17,2015-05-08,2015-05-14,2015-05-20,0.36853,0.37624,0.39614,0.36224,0.4252
hubbardbrooksfws,DB,3000,rising,gcc_90,2016-05-18,2016-05-21,2016-05-26,2016-05-17,2016-05-20,2016-05-24,2016-05-20,2016-05-23,2016-05-27,0.37085,0.37885,0.40509,0.36509,0.43345
hubbardbrooksfws,DB,3000,rising,gcc_90,2017-04-12,2017-05-14,2017-05-21,2017-04-06,2017-05-13,2017-05-19,2017-04-28,2017-05-16,2017-05-22,0.37138,0.37883,0.39713,0.36562,0.42443
hubbardbrooksfws,DB,3000,rising,gcc_90,2018-04-30,2018-05-16,2018-05-22,2018-04-25,2018-05-14,2018-05-20,2018-05-05,2018-05-18,2018-05-23,0.3741,0.38209,0.39975,0.36842,0.42701
hubbardbrooksfws,DB,3000,rising,gcc_75,2015-05-04,2015-05-13,2015-05-19,2015-05-01,2015-05-12,2015-05-18,2015-05-09,2015-05-14,2015-05-20,0.36735,0.37747,0.39489,0.3614,0.42662
hubbardbrooksfws,DB,3000,rising,gcc_75,2016-05-18,2016-05-22,2016-05-26,2016-05-17,2016-05-21,2016-05-24,2016-05-20,2016-05-23,2016-05-27,0.36959,0.38035,0.4031,0.36408,0.43202
hubbardbrooksfws,DB,3000,rising,gcc_75,2017-04-10,2017-05-14,2017-05-21,2017-04-05,2017-05-13,2017-05-19,2017-04-26,2017-05-16,2017-05-22,0.37013,0.37756,0.39506,0.36462,0.42215
hubbardbrooksfws,DB,3000,rising,gcc_75,2018-04-29,2018-05-16,2018-05-22,2018-04-25,2018-05-14,2018-05-20,2018-05-05,2018-05-19,2018-05-23,0.37322,0.38109,0.39894,0.36794,0.42546
hubbardbrooksfws,DB,3000,rising,gcc_50,2015-05-04,2015-05-12,2015-05-19,2015-05-01,2015-05-11,2015-05-17,2015-05-09,2015-05-14,2015-05-20,0.36593,0.37415,0.39301,0.35997,0.42413
hubbardbrooksfws,DB,3000,rising,gcc_50,2016-05-18,2016-05-22,2016-05-26,2016-04-14,2016-05-21,2016-05-25,2016-05-21,2016-05-24,2016-05-27,0.36789,0.37633,0.39798,0.36263,0.42761
hubbardbrooksfws,DB,3000,rising,gcc_50,2017-04-24,2017-05-15,2017-05-21,2017-04-08,2017-05-14,2017-05-19,2017-05-13,2017-05-17,2017-05-23,0.37066,0.37685,0.39126,0.36584,0.41668
hubbardbrooksfws,DB,3000,rising,gcc_50,2018-04-29,2018-05-17,2018-05-22,2018-04-25,2018-05-15,2018-05-20,2018-05-05,2018-05-19,2018-05-23,0.37255,0.3807,0.39758,0.36748,0.42346
hubbardbrooksfws,DB,3000,rising,gcc_mean,2015-05-05,2015-05-12,2015-05-19,2015-05-02,2015-05-10,2015-05-17,2015-05-08,2015-05-14,2015-05-20,0.36532,0.37523,0.39274,0.35979,0.42178
hubbardbrooksfws,DB,3000,rising,gcc_mean,2016-05-16,2016-05-19,2016-05-25,2016-05-13,2016-05-18,2016-05-23,2016-05-18,2016-05-21,2016-05-26,0.3684,0.37554,0.39377,0.36259,0.42235
hubbardbrooksfws,DB,3000,rising,gcc_mean,2017-04-16,2017-05-12,2017-05-21,2017-04-06,2017-05-09,2017-05-18,2017-05-08,2017-05-15,2017-05-22,0.36924,0.37569,0.38848,0.36492,0.40988
hubbardbrooksfws,DB,3000,rising,gcc_mean,2018-04-29,2018-05-13,2018-05-21,2018-04-25,2018-05-11,2018-05-19,2018-05-07,2018-05-16,2018-05-22,0.37249,0.37992,0.39507,0.36758,0.42112
hubbardbrooksfws,DB,3000,falling,gcc_90,2018-10-24,2018-10-05,2018-09-11,2018-11-10,2018-10-09,2018-09-20,2018-10-18,2018-10-02,2018-09-07,0.37587,0.38389,0.3983,0.37038,0.42563
hubbardbrooksfws,DB,3000,falling,gcc_90,2017-10-12,2017-10-03,2017-09-12,2017-10-23,2017-10-06,2017-09-17,2017-10-08,2017-09-30,2017-09-09,0.37568,0.38287,0.39592,0.37098,0.41982
hubbardbrooksfws,DB,3000,falling,gcc_90,2016-10-11,2016-10-04,2016-09-19,2016-10-13,2016-10-06,2016-09-22,2016-10-08,2016-10-02,2016-09-16,0.37631,0.38587,0.4007,0.37129,0.42984
hubbardbrooksfws,DB,3000,falling,gcc_90,2015-10-07,2015-09-26,2015-09-06,2015-10-09,2015-09-30,2015-09-09,2015-10-03,2015-09-21,2015-09-04,0.37081,0.37937,0.39475,0.36535,0.4222
hubbardbrooksfws,DB,3000,falling,gcc_90,2014-10-13,2014-10-01,2014-09-21,2014-10-20,2014-10-02,2014-09-23,2014-10-07,2014-09-28,2014-09-18,0.36965,0.37777,0.39432,0.36384,0.42449
hubbardbrooksfws,DB,3000,falling,gcc_75,2018-10-25,2018-10-03,2018-09-11,2018-11-10,2018-10-07,2018-09-20,2018-10-16,2018-09-29,2018-09-08,0.3752,0.38346,0.39767,0.36984,0.4245
hubbardbrooksfws,DB,3000,falling,gcc_75,2017-10-13,2017-10-04,2017-09-14,2017-11-05,2017-10-07,2017-09-20,2017-10-08,2017-09-30,2017-09-10,0.37441,0.38084,0.39287,0.37026,0.41536
hubbardbrooksfws,DB,3000,falling,gcc_75,2016-10-11,2016-10-05,2016-09-20,2016-10-14,2016-10-06,2016-09-24,2016-10-08,2016-10-02,2016-09-17,0.3751,0.38298,0.39899,0.36976,0.42723
hubbardbrooksfws,DB,3000,falling,gcc_75,2015-10-08,2015-09-26,2015-09-05,2015-10-10,2015-09-30,2015-09-08,2015-10-03,2015-09-20,2015-09-03,0.36905,0.37848,0.3949,0.36433,0.42313
hubbardbrooksfws,DB,3000,falling,gcc_75,2014-10-14,2014-10-01,2014-09-21,2014-10-22,2014-10-03,2014-09-24,2014-10-07,2014-09-29,2014-09-19,0.36835,0.37737,0.3936,0.36243,0.42245
hubbardbrooksfws,DB,3000,falling,gcc_50,2018-11-02,2018-10-01,2018-09-13,2018-11-11,2018-10-06,2018-09-21,2018-10-14,2018-09-27,2018-09-09,0.37355,0.38106,0.39548,0.36828,0.4216
hubbardbrooksfws,DB,3000,falling,gcc_50,2017-10-17,2017-10-06,2017-09-19,2017-11-09,2017-10-09,2017-09-28,2017-10-10,2017-10-02,2017-09-14,0.37195,0.37822,0.38937,0.36774,0.41007
hubbardbrooksfws,DB,3000,falling,gcc_50,2016-10-20,2016-10-07,2016-09-25,2016-11-18,2016-10-09,2016-09-29,2016-10-11,2016-10-04,2016-09-20,0.36929,0.3779,0.39374,0.3635,0.42378
hubbardbrooksfws,DB,3000,falling,gcc_50,2015-10-08,2015-09-28,2015-09-06,2015-10-12,2015-10-02,2015-09-09,2015-10-03,2015-09-21,2015-09-04,0.36821,0.37652,0.39208,0.36268,0.42053
hubbardbrooksfws,DB,3000,falling,gcc_50,2014-10-17,2014-10-02,2014-09-23,2014-10-26,2014-10-04,2014-09-24,2014-10-07,2014-09-29,2014-09-11,0.36636,0.37474,0.39034,0.3607,0.41952
hubbardbrooksfws,DB,3000,falling,gcc_mean,2018-10-22,2018-10-02,2018-09-13,2018-11-04,2018-10-06,2018-09-18,2018-10-12,2018-09-28,2018-09-09,0.37483,0.38221,0.39552,0.37004,0.42022
hubbardbrooksfws,DB,3000,falling,gcc_mean,2017-10-19,2017-10-06,2017-09-20,2017-11-07,2017-10-10,2017-09-26,2017-10-11,2017-10-02,2017-09-13,0.3717,0.37779,0.38866,0.36764,0.40871
