#
# Transition date estimate for huyckpreserveny
#
# Site: huyckpreserveny
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:32:32
# Spline RMSE gcc_mean: 0.00492
# Spline RMSE gcc_50: 0.00511
# Spline RMSE gcc_75: 0.00532
# Spline RMSE gcc_90: 0.0055
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
huyckpreserveny,DB,1000,rising,gcc_90,2015-05-04,2015-05-07,2015-05-11,2015-05-03,2015-05-06,2015-05-10,2015-05-06,2015-05-09,2015-05-12,0.36428,0.37504,0.39825,0.35907,0.43125
huyckpreserveny,DB,1000,rising,gcc_90,2016-05-11,2016-05-16,2016-05-22,2016-05-08,2016-05-15,2016-05-21,2016-05-14,2016-05-18,2016-05-23,0.36692,0.3748,0.39666,0.3602,0.43044
huyckpreserveny,DB,1000,rising,gcc_90,2017-05-08,2017-05-13,2017-05-17,2017-05-04,2017-05-12,2017-05-16,2017-05-12,2017-05-15,2017-05-18,0.37143,0.38018,0.39968,0.36488,0.43403
huyckpreserveny,DB,1000,rising,gcc_90,2018-05-11,2018-05-13,2018-05-18,2018-05-10,2018-05-12,2018-05-16,2018-05-13,2018-05-15,2018-05-19,0.37364,0.38147,0.40489,0.36825,0.43426
huyckpreserveny,DB,1000,rising,gcc_75,2015-05-04,2015-05-07,2015-05-11,2015-05-03,2015-05-06,2015-05-10,2015-05-06,2015-05-08,2015-05-12,0.36322,0.37379,0.39664,0.35761,0.42886
huyckpreserveny,DB,1000,rising,gcc_75,2016-05-10,2016-05-16,2016-05-22,2016-05-07,2016-05-15,2016-05-20,2016-05-14,2016-05-18,2016-05-23,0.36493,0.37354,0.39487,0.35876,0.42694
huyckpreserveny,DB,1000,rising,gcc_75,2017-05-07,2017-05-13,2017-05-17,2017-05-02,2017-05-12,2017-05-16,2017-05-11,2017-05-14,2017-05-18,0.36974,0.37883,0.39761,0.36302,0.43042
huyckpreserveny,DB,1000,rising,gcc_75,2018-05-11,2018-05-13,2018-05-18,2018-05-10,2018-05-12,2018-05-16,2018-05-12,2018-05-15,2018-05-19,0.37243,0.38008,0.40304,0.36632,0.43031
huyckpreserveny,DB,1000,rising,gcc_50,2015-05-05,2015-05-08,2015-05-11,2015-05-04,2015-05-07,2015-05-10,2015-05-07,2015-05-09,2015-05-12,0.36482,0.37662,0.39464,0.36163,0.42529
huyckpreserveny,DB,1000,rising,gcc_50,2016-05-09,2016-05-16,2016-05-22,2016-05-06,2016-05-15,2016-05-20,2016-05-13,2016-05-18,2016-05-23,0.36273,0.37219,0.3923,0.35733,0.41997
