#
# Transition date estimate for huyckpreserveny
#
# Site: huyckpreserveny
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:32:42
# Spline RMSE gcc_mean: 0.00469
# Spline RMSE gcc_50: 0.00527
# Spline RMSE gcc_75: 0.0047
# Spline RMSE gcc_90: 0.00475
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
huyckpreserveny,EN,1000,rising,gcc_90,2016-02-27,2016-03-06,2016-03-18,2016-02-19,2016-03-01,2016-03-12,2016-03-03,2016-03-10,2016-05-10,0.37805,0.3824,0.39051,0.37502,0.40557
huyckpreserveny,EN,1000,rising,gcc_90,2017-02-18,2017-02-24,2017-04-06,2017-02-13,2017-02-20,2017-04-01,2017-02-23,2017-02-28,2017-04-12,0.38322,0.38761,0.39491,0.38085,0.40839
huyckpreserveny,EN,1000,rising,gcc_90,2018-02-21,2018-03-22,2018-04-14,2018-02-14,2018-02-24,2018-03-31,2018-03-13,2018-03-30,2018-05-04,0.38604,0.3899,0.39591,0.38402,0.4077
huyckpreserveny,EN,1000,rising,gcc_75,2016-03-10,2016-03-21,2016-05-12,2016-03-04,2016-03-12,2016-05-05,2016-03-18,2016-05-05,2016-05-18,0.38185,0.38551,0.39146,0.37965,0.40321
huyckpreserveny,EN,1000,rising,gcc_75,2017-02-21,2017-03-04,2017-04-06,2017-02-12,2017-02-23,2017-03-29,2017-03-01,2017-03-29,2017-04-15,0.38142,0.38498,0.39115,0.3791,0.40262
huyckpreserveny,EN,1000,rising,gcc_75,2018-03-10,2018-03-19,2018-04-03,2018-02-02,2018-03-12,2018-03-27,2018-03-17,2018-03-27,2018-05-03,0.38214,0.38592,0.39208,0.37987,0.40412
huyckpreserveny,EN,1000,rising,gcc_50,2016-02-21,2016-03-02,2016-03-28,2016-02-12,2016-02-24,2016-03-12,2016-03-01,2016-03-11,2016-05-10,0.37219,0.37569,0.38215,0.37,0.39414
huyckpreserveny,EN,1000,rising,gcc_50,2017-02-21,2017-03-25,2017-04-09,2017-02-11,2017-02-21,2017-04-01,2017-03-03,2017-04-03,2017-04-17,0.37844,0.38133,0.38641,0.37657,0.39581
huyckpreserveny,EN,1000,rising,gcc_50,2018-03-10,2018-03-19,2018-03-31,2018-01-28,2018-03-11,2018-03-25,2018-03-18,2018-03-27,2018-04-09,0.37733,0.38077,0.38629,0.37539,0.39706
huyckpreserveny,EN,1000,rising,gcc_mean,2016-03-11,2016-04-17,2016-05-11,2016-03-02,2016-03-11,2016-05-01,2016-03-29,2016-05-06,2016-05-18,0.37704,0.37974,0.38436,0.37534,0.39298
huyckpreserveny,EN,1000,rising,gcc_mean,2017-02-22,2017-04-01,2017-04-12,2017-02-12,2017-03-15,2017-04-04,2017-04-01,2017-04-07,2017-04-20,0.37907,0.38198,0.38665,0.37746,0.39567
huyckpreserveny,EN,1000,rising,gcc_mean,2018-03-11,2018-03-22,2018-04-05,2018-02-05,2018-03-13,2018-03-28,2018-03-22,2018-03-30,2018-05-03,0.37851,0.38161,0.38687,0.37674,0.39652
huyckpreserveny,EN,1000,falling,gcc_90,2017-11-14,2017-10-29,2017-09-19,2017-12-02,2017-11-09,2017-10-21,2017-11-01,2017-10-22,2017-08-28,0.38575,0.3892,0.39512,0.38343,0.40677
huyckpreserveny,EN,1000,falling,gcc_90,2016-12-11,2016-12-04,2016-11-17,2016-12-15,2016-12-09,2016-11-18,2016-12-05,2016-11-27,2016-09-15,0.38252,0.38637,0.39292,0.38048,0.40529
huyckpreserveny,EN,1000,falling,gcc_90,2015-11-15,2015-10-07,2015-09-20,2015-11-28,2015-10-24,2015-09-29,2015-10-08,2015-09-28,2015-09-11,0.38395,0.38701,0.39243,0.38191,0.40252
