#
# Transition date estimate for imcrkfen
#
# Site: imcrkfen
# Veg Type: TN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2013
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:34:42
# Spline RMSE gcc_mean: 0.00087
# Spline RMSE gcc_50: 0.00125
# Spline RMSE gcc_75: 0.00176
# Spline RMSE gcc_90: 0.00171
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
imcrkfen,TN,1000,rising,gcc_90,2013-06-11,2013-06-15,2013-06-24,2013-06-09,2013-06-14,2013-06-21,2013-06-12,2013-06-17,2013-06-26,0.34171,0.34387,0.34888,0.34028,0.35681
imcrkfen,TN,1000,rising,gcc_90,2014-06-07,2014-06-10,2014-06-27,2014-06-04,2014-06-09,2014-06-24,2014-06-09,2014-06-14,2014-06-28,0.34053,0.34218,0.34672,0.3391,0.35375
imcrkfen,TN,1000,rising,gcc_90,2015-06-03,2015-06-09,2015-06-19,2015-05-20,2015-06-07,2015-06-17,2015-06-04,2015-06-13,2015-06-21,0.34196,0.34407,0.34813,0.34075,0.35547
imcrkfen,TN,1000,rising,gcc_90,2016-06-15,2016-06-17,2016-06-26,2016-06-09,2016-06-09,2016-06-09,2016-06-30,2016-06-30,2016-06-30,0.34144,0.34395,0.3481,0.3403,0.35502
imcrkfen,TN,1000,rising,gcc_90,2017-06-04,2017-06-14,2017-06-30,2017-06-01,2017-06-10,2017-06-25,2017-06-07,2017-06-17,2017-07-01,0.34164,0.34374,0.34767,0.34029,0.35441
imcrkfen,TN,1000,rising,gcc_75,2014-03-27,2014-06-12,2014-06-23,2014-03-10,2014-06-08,2014-06-20,2014-04-16,2014-06-16,2014-06-25,0.34009,0.34149,0.34392,0.33917,0.3485
imcrkfen,TN,1000,rising,gcc_75,2015-05-31,2015-06-10,2015-06-18,2015-05-18,2015-06-07,2015-06-15,2015-06-06,2015-06-13,2015-06-20,0.34146,0.34295,0.34587,0.3404,0.35106
imcrkfen,TN,1000,rising,gcc_75,2016-06-18,2016-06-19,2016-06-23,2016-06-09,2016-06-09,2016-06-09,2016-06-30,2016-06-30,2016-06-30,0.34108,0.34183,0.34652,0.34005,0.35217
imcrkfen,TN,1000,rising,gcc_75,2017-06-04,2017-06-10,2017-06-24,2017-06-02,2017-06-08,2017-06-19,2017-06-08,2017-06-14,2017-06-27,0.34083,0.34225,0.34509,0.34005,0.34978
imcrkfen,TN,1000,falling,gcc_90,2017-08-29,2017-08-27,2017-08-22,2017-08-31,2017-08-28,2017-08-24,2017-08-28,2017-08-25,2017-08-20,0.34099,0.34284,0.34669,0.33964,0.3536
imcrkfen,TN,1000,falling,gcc_90,2016-09-29,2016-09-04,2016-08-12,2016-10-03,2016-09-06,2016-08-17,2016-09-13,2016-09-01,2016-08-10,0.33996,0.34223,0.34674,0.33846,0.35434
imcrkfen,TN,1000,falling,gcc_90,2015-08-29,2015-08-24,2015-08-07,2015-08-31,2015-08-26,2015-08-10,2015-08-27,2015-08-18,2015-08-06,0.34077,0.34323,0.34798,0.3392,0.3559
imcrkfen,TN,1000,falling,gcc_90,2014-09-05,2014-08-31,2014-08-27,2014-10-09,2014-09-01,2014-08-28,2014-09-04,2014-08-29,2014-08-26,0.33995,0.34225,0.34633,0.33861,0.35387
imcrkfen,TN,1000,falling,gcc_90,2013-09-12,2013-08-20,2013-08-16,2013-09-13,2013-09-03,2013-08-17,2013-09-09,2013-08-19,2013-08-15,0.34123,0.34429,0.34889,0.33994,0.35734
imcrkfen,TN,1000,falling,gcc_75,2017-09-21,2017-08-28,2017-08-18,2017-09-25,2017-08-30,2017-08-22,2017-09-13,2017-08-24,2017-08-16,0.34038,0.34147,0.34485,0.33938,0.34988
imcrkfen,TN,1000,falling,gcc_75,2016-09-24,2016-09-05,2016-08-07,2016-10-01,2016-09-08,2016-08-12,2016-09-12,2016-08-31,2016-08-05,0.33986,0.34179,0.34547,0.33856,0.35197
imcrkfen,TN,1000,falling,gcc_75,2015-08-30,2015-08-22,2015-08-09,2015-09-03,2015-08-25,2015-08-13,2015-08-26,2015-08-19,2015-08-06,0.34022,0.34207,0.34522,0.3391,0.35103
imcrkfen,TN,1000,falling,gcc_75,2013-09-15,2013-09-09,2013-08-21,2013-09-20,2013-09-11,2013-08-28,2013-09-11,2013-09-05,2013-08-18,0.34041,0.34185,0.3445,0.33948,0.34949
